ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2014,2014-09-07,1,24.081,NYJ,,OAK,W 19-14,
2,2014,2014-09-14,2,24.088,NYJ,@,GNB,L 24-31,
3,2014,2014-09-22,3,24.096,NYJ,,CHI,L 19-27,
4,2014,2014-09-28,4,24.102,NYJ,,DET,L 17-24,
5,2014,2014-10-05,5,24.109,NYJ,@,SDG,L 0-31,
6,2014,2014-10-12,6,24.116,NYJ,,DEN,L 17-31,
7,2014,2014-10-16,7,24.120,NYJ,@,NWE,L 25-27,
8,2014,2014-10-26,8,24.130,NYJ,,BUF,L 23-43,
9,2014,2014-11-02,9,24.137,NYJ,@,KAN,L 10-24,
10,2014,2014-11-09,10,24.144,NYJ,,PIT,W 20-13,
11,2014,2014-11-24,11,24.159,NYJ,@,BUF,L 3-38,
12,2014,2014-12-01,12,24.166,NYJ,,MIA,L 13-16,
13,2014,2014-12-07,13,24.172,NYJ,@,MIN,L 24-30,
14,2014,2014-12-14,14,24.179,NYJ,@,TEN,W 16-11,
15,2014,2014-12-21,15,24.186,NYJ,,NWE,L 16-17,
16,2014,2014-12-28,16,24.193,NYJ,@,MIA,W 37-24,*
