ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,1997,1997-09-07,2,22.211,NWE,@,IND,W 31-6,
2,1998,1998-09-13,2,23.217,NWE,,IND,W 29-6,
3,1998,1998-10-11,5,23.245,NWE,,KAN,W 40-10,
4,1998,1998-11-01,8,23.266,NWE,@,IND,W 21-16,
5,1998,1998-11-08,9,23.273,NWE,,ATL,L 10-41,
6,1998,1998-11-15,10,23.280,NWE,@,BUF,L 10-13,
7,1998,1998-11-23,11,23.288,NWE,,MIA,W 26-23,
8,1998,1998-11-29,12,23.294,NWE,,BUF,W 25-21,
9,1998,1998-12-06,13,23.301,NWE,@,PIT,W 23-9,
10,1998,1998-12-13,14,23.308,NWE,@,STL,L 18-32,
11,1998,1998-12-20,15,23.315,NWE,,SFO,W 24-21,
12,1998,1998-12-27,16,23.322,NWE,@,NYJ,L 10-31,
13,1999,1999-09-19,2,24.223,NWE,,IND,W 31-28,
14,1999,1999-09-26,3,24.230,NWE,,NYG,W 16-14,
