ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1983,1983-09-04,1,21.287,ATL,@,CHI,W 20-17,1.0
2,1983,1983-09-11,2,21.294,ATL,,NYG,L 13-16,
3,1983,1983-09-18,3,21.301,ATL,@,DET,W 30-14,
4,1983,1983-09-25,4,21.308,ATL,@,SFO,L 20-24,
5,1983,1983-10-02,5,21.315,ATL,,PHI,L 24-28,
6,1983,1983-10-09,6,21.322,ATL,,NOR,L 17-19,
7,1983,1983-10-16,7,21.329,ATL,@,RAM,L 21-27,
8,1983,1983-10-23,8,21.336,ATL,@,NYJ,W 27-21,
9,1983,1983-10-30,9,21.343,ATL,,NWE,W 24-13,
10,1983,1983-11-06,10,21.350,ATL,@,NOR,L 10-27,
11,1983,1983-11-14,11,21.358,ATL,,RAM,L 13-36,
12,1983,1983-11-20,12,21.364,ATL,,SFO,W 28-24,
13,1983,1983-11-27,13,22.006,ATL,,GNB,W 47-41,
14,1983,1983-12-04,14,22.013,ATL,@,WAS,L 21-37,
15,1983,1983-12-10,15,22.019,ATL,@,MIA,L 24-31,
16,1983,1983-12-18,16,22.027,ATL,,BUF,W 31-14,
17,1984,1984-09-09,2,22.293,ATL,,DET,L 24-27,
18,1984,1984-09-16,3,22.300,ATL,@,MIN,L 20-27,
19,1984,1984-09-23,4,22.307,ATL,,HOU,W 42-10,
20,1984,1984-09-30,5,22.314,ATL,@,SFO,L 5-14,
21,1984,1984-10-07,6,22.321,ATL,@,RAM,W 30-28,
22,1984,1984-10-14,7,22.328,ATL,,NYG,L 7-19,
23,1984,1984-10-22,8,22.336,ATL,,RAM,L 10-24,1.0
24,1984,1984-10-28,9,22.342,ATL,@,PIT,L 10-35,
25,1984,1984-11-05,10,22.350,ATL,@,WAS,L 14-27,
26,1984,1984-11-11,11,22.356,ATL,,NOR,L 13-17,
27,1984,1984-11-18,12,22.363,ATL,,CLE,L 7-23,
28,1984,1984-11-25,13,23.004,ATL,@,CIN,L 14-35,
29,1984,1984-12-02,14,23.011,ATL,,SFO,L 17-35,
30,1984,1984-12-09,15,23.018,ATL,@,TAM,L 6-23,
31,1984,1984-12-16,16,23.025,ATL,,PHI,W 26-10,
32,1985,1985-09-08,1,23.291,ATL,,DET,L 27-28,
33,1985,1985-09-15,2,23.298,ATL,@,SFO,L 16-35,0.5
34,1985,1985-09-22,3,23.305,ATL,,DEN,L 28-44,1.0
35,1985,1985-09-29,4,23.312,ATL,@,RAM,L 6-17,
36,1985,1985-10-06,5,23.319,ATL,,SFO,L 17-38,
37,1985,1985-10-13,6,23.326,ATL,@,SEA,L 26-30,1.0
38,1985,1985-10-20,7,23.333,ATL,,NOR,W 31-24,
39,1985,1985-10-27,8,23.340,ATL,@,DAL,L 10-24,
40,1985,1985-11-03,9,23.347,ATL,,WAS,L 10-44,
41,1985,1985-11-10,10,23.354,ATL,@,PHI,L 17-23,1.0
42,1985,1985-11-17,11,23.361,ATL,,RAM,W 30-14,
43,1985,1985-11-24,12,24.003,ATL,@,CHI,L 0-36,
44,1985,1985-12-01,13,24.010,ATL,,RAI,L 24-34,
45,1985,1985-12-08,14,24.017,ATL,@,KAN,L 10-38,
46,1985,1985-12-15,15,24.024,ATL,,MIN,W 14-13,
47,1985,1985-12-22,16,24.031,ATL,@,NOR,W 16-10,
48,1986,1986-09-07,1,24.290,ATL,@,NOR,W 31-10,
49,1986,1986-09-14,2,24.297,ATL,,STL,W 33-13,
50,1986,1986-09-21,3,24.304,ATL,@,DAL,W 37-35,
51,1986,1986-09-28,4,24.311,ATL,@,TAM,W 23-20,
52,1986,1986-10-05,5,24.318,ATL,,PHI,L 0-16,
53,1987,1987-10-04,3,25.317,WAS,,STL,W 28-21,
54,1987,1987-10-11,4,25.324,WAS,@,NYG,W 38-12,2.0
55,1987,1987-10-19,5,25.332,WAS,@,DAL,W 13-7,
