ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,2001,2001-09-09,1,22.264,CAR,@,MIN,W 24-13,*,,,,
2,2001,2001-09-23,2,22.278,CAR,@,ATL,L 16-24,*,,,,
3,2001,2001-09-30,3,22.285,CAR,,GNB,L 7-28,*,,,,
4,2001,2001-11-04,8,22.320,CAR,@,MIA,L 6-23,*,,,,
5,2001,2001-11-18,10,22.334,CAR,,SFO,L 22-25,*,,,,
6,2001,2001-11-25,11,22.341,CAR,,ATL,L 7-10,*,,,,
7,2001,2001-12-02,12,22.348,CAR,@,NOR,L 23-27,*,,,,
8,2001,2001-12-09,13,22.355,CAR,@,BUF,L 24-25,*,1.0,0,0,0
9,2001,2001-12-23,14,23.004,CAR,,STL,L 32-38,*,0.0,1,10,0
10,2001,2001-12-30,15,23.011,CAR,,ARI,L 7-30,*,,,,
11,2001,2002-01-06,16,23.018,CAR,,NWE,L 6-38,*,,,,
12,2002,2002-09-08,1,23.263,CAR,,BAL,W 10-7,*,0.0,1,22,0
13,2002,2002-09-15,2,23.270,CAR,,DET,W 31-7,*,,,,
14,2002,2002-09-22,3,23.277,CAR,@,MIN,W 21-14,*,,,,
15,2002,2002-09-29,4,23.284,CAR,@,GNB,L 14-17,*,1.0,1,4,0
16,2002,2002-10-06,5,23.291,CAR,,ARI,L 13-16,*,,,,
17,2002,2002-10-13,6,23.298,CAR,@,DAL,L 13-14,*,,,,
18,2002,2002-10-27,8,23.312,CAR,,TAM,L 9-12,*,,,,
19,2002,2002-11-24,11,23.340,CAR,,ATL,L 0-41,*,,,,
20,2003,2003-09-07,1,24.262,CAR,,JAX,W 24-23,*,,,,
21,2003,2003-10-05,4,24.290,CAR,,NOR,W 19-13,*,,,,
22,2003,2003-10-12,5,24.297,CAR,@,IND,W 23-20,*,,,,
23,2003,2003-10-19,6,24.304,CAR,,TEN,L 17-37,*,,,,
24,2003,2003-10-26,7,24.311,CAR,@,NOR,W 23-20,*,,,,
25,2003,2003-11-09,9,24.325,CAR,,TAM,W 27-24,*,,,,
26,2003,2003-11-16,10,24.332,CAR,,WAS,W 20-17,*,,,,
27,2003,2003-11-23,11,24.339,CAR,@,DAL,L 20-24,*,,,,
28,2003,2003-11-30,12,24.346,CAR,,PHI,L 16-25,*,,,,
29,2003,2003-12-21,15,25.002,CAR,,DET,W 20-14,*,,,,
30,2003,2003-12-28,16,25.009,CAR,@,NYG,W 37-24,*,,,,
31,2004,2004-09-13,1,25.269,CAR,,GNB,L 14-24,*,,,,
32,2004,2004-09-19,2,25.275,CAR,@,KAN,W 28-17,*,1.0,0,0,0
33,2004,2004-10-03,3,25.289,CAR,,ATL,L 10-27,*,,,,
34,2004,2004-10-10,4,25.296,CAR,@,DEN,L 17-20,*,,,,
35,2004,2004-10-17,5,25.303,CAR,@,PHI,L 8-30,*,,,,
36,2004,2004-10-24,6,25.310,CAR,,SDG,L 6-17,*,1.0,0,0,0
37,2004,2004-10-31,7,25.317,CAR,@,SEA,L 17-23,*,,,,
38,2004,2004-11-14,9,25.331,CAR,@,SFO,W 37-27,*,,,,
39,2004,2004-12-12,13,25.359,CAR,,STL,W 20-7,*,0.0,2,20,0
40,2004,2004-12-18,14,25.365,CAR,@,ATL,L 31-34,*,,,,
41,2004,2004-12-26,15,26.007,CAR,@,TAM,W 37-20,*,,,,
42,2004,2005-01-02,16,26.014,CAR,,NOR,L 18-21,*,,,,
43,2005,2005-09-11,1,26.266,CAR,,NOR,L 20-23,*,,,,
44,2005,2005-09-18,2,26.273,CAR,,NWE,W 27-17,*,,,,
45,2005,2005-09-25,3,26.280,CAR,@,MIA,L 24-27,*,,,,
46,2005,2005-10-03,4,26.288,CAR,,GNB,W 32-29,*,,,,
47,2005,2005-10-09,5,26.294,CAR,@,ARI,W 24-20,*,1.0,0,0,0
48,2005,2005-10-16,6,26.301,CAR,@,DET,W 21-20,*,1.0,0,0,0
49,2005,2005-10-30,7,26.315,CAR,,MIN,W 38-13,*,1.0,0,0,0
50,2005,2005-11-06,8,26.322,CAR,@,TAM,W 34-14,*,,,,
51,2005,2005-11-13,9,26.329,CAR,,NYJ,W 30-3,*,,,,
52,2005,2005-11-20,10,26.336,CAR,@,CHI,L 3-13,*,,,,
53,2005,2005-12-11,13,26.357,CAR,,TAM,L 10-20,*,,,,
54,2005,2005-12-18,14,26.364,CAR,@,NOR,W 27-10,*,,,,
55,2005,2005-12-24,15,27.005,CAR,,DAL,L 20-24,*,,,,
56,2006,2006-09-10,1,27.265,CAR,,ATL,L 6-20,*,,,,
57,2007,2007-09-09,1,28.264,CAR,@,STL,W 27-13,*,,,,
58,2007,2007-09-16,2,28.271,CAR,,HOU,L 21-34,*,,,,
59,2007,2007-09-23,3,28.278,CAR,@,ATL,W 27-20,*,,,,
