ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1979,1979-09-02,1,22.205,CIN,@,DEN,L 0-10,3,43,14.33,0,0,0
2,1979,1979-09-09,2,22.212,CIN,@,BUF,L 24-51,,,,,,
3,1979,1979-09-16,3,22.219,CIN,,NWE,L 14-20,1,30,30.00,0,0,0
4,1979,1979-09-23,4,22.226,CIN,,HOU,L 27-30,1,12,12.00,0,0,0
5,1979,1979-09-30,5,22.233,CIN,@,DAL,L 13-38,1,18,18.00,0,0,0
6,1979,1979-10-07,6,22.240,CIN,,KAN,L 7-10,1,11,11.00,0,0,0
7,1979,1979-10-14,7,22.247,CIN,,PIT,W 34-10,2,21,10.50,1,1,6
8,1979,1979-10-21,8,22.254,CIN,@,CLE,L 27-28,5,72,14.40,0,0,0
9,1979,1979-10-28,9,22.261,CIN,,PHI,W 37-13,1,9,9.00,0,0,0
10,1979,1979-11-04,10,22.268,CIN,@,BAL,L 28-38,5,102,20.40,0,0,0
11,1979,1979-11-11,11,22.275,CIN,,SDG,L 24-26,,,,,,
12,1979,1979-11-18,12,22.282,CIN,@,HOU,L 21-42,2,23,11.50,0,0,0
13,1979,1979-11-25,13,22.289,CIN,,STL,W 34-28,5,46,9.20,0,0,0
14,1979,1979-12-02,14,22.296,CIN,@,PIT,L 17-37,5,46,9.20,0,0,0
15,1979,1979-12-09,15,22.303,CIN,@,WAS,L 14-28,5,54,10.80,0,0,0
16,1979,1979-12-16,16,22.310,CIN,,CLE,W 16-12,4,29,7.25,0,0,0
17,1980,1980-09-07,1,23.211,CIN,,TAM,L 12-17,2,22,11.00,1,1,6
18,1980,1980-09-14,2,23.218,CIN,@,MIA,L 16-17,1,16,16.00,0,0,0
19,1980,1980-09-21,3,23.225,CIN,,PIT,W 30-28,2,17,8.50,0,0,0
20,1980,1980-09-28,4,23.232,CIN,,HOU,L 10-13,2,28,14.00,0,0,0
21,1980,1980-10-05,5,23.239,CIN,@,GNB,L 9-14,,,,,,
22,1980,1980-10-12,6,23.246,CIN,@,PIT,W 17-16,3,25,8.33,0,0,0
23,1980,1980-10-19,7,23.253,CIN,,MIN,W 14-0,2,25,12.50,0,0,0
24,1980,1980-10-26,8,23.260,CIN,@,HOU,L 3-23,3,59,19.67,0,0,0
25,1980,1980-11-02,9,23.267,CIN,,SDG,L 14-31,8,87,10.88,0,0,0
26,1980,1980-11-09,10,23.274,CIN,@,OAK,L 17-28,6,58,9.67,1,1,6
27,1980,1980-11-16,11,23.281,CIN,,BUF,L 0-14,4,51,12.75,0,0,0
28,1980,1980-11-23,12,23.288,CIN,@,CLE,L 7-31,4,74,18.50,0,0,0
29,1980,1980-11-30,13,23.295,CIN,@,KAN,W 20-6,4,40,10.00,1,1,6
30,1980,1980-12-07,14,23.302,CIN,,BAL,W 34-33,7,96,13.71,1,1,6
31,1980,1980-12-14,15,23.309,CIN,@,CHI,W 17-14,3,49,16.33,0,0,0
32,1980,1980-12-21,16,23.316,CIN,,CLE,L 24-27,5,77,15.40,0,0,0
33,1981,1981-09-06,1,24.209,CIN,,SEA,W 27-21,3,33,11.00,0,0,0
