ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2011,2011-12-19,14,24.001,SFO,,PIT,W 20-3,,,,
2,2012,2012-09-09,1,24.266,SFO,@,GNB,W 30-22,,,,
3,2012,2012-09-16,2,24.273,SFO,,DET,W 27-19,,,,
4,2012,2012-09-23,3,24.280,SFO,@,MIN,L 13-24,,,,
5,2012,2012-09-30,4,24.287,SFO,@,NYJ,W 34-0,,,,
6,2012,2012-10-07,5,24.294,SFO,,BUF,W 45-3,,,,
7,2012,2012-10-14,6,24.301,SFO,,NYG,L 3-26,,,,
8,2012,2012-10-18,7,24.305,SFO,,SEA,W 13-6,,,,
9,2012,2012-10-29,8,24.316,SFO,@,ARI,W 24-3,,,,
10,2012,2012-11-11,9,24.329,SFO,,STL,T 24-24,,,,
11,2012,2012-11-19,10,24.337,SFO,,CHI,W 32-7,,,,
12,2012,2012-11-25,11,24.343,SFO,@,NOR,W 31-21,,,,
13,2012,2012-12-02,12,24.350,SFO,@,STL,L 13-16,,,,
14,2012,2012-12-09,13,24.357,SFO,,MIA,W 27-13,,,,
15,2012,2012-12-16,14,24.364,SFO,@,NWE,W 41-34,,,,
16,2012,2012-12-23,15,25.005,SFO,@,SEA,L 13-42,,,,
17,2012,2012-12-30,16,25.012,SFO,,ARI,W 27-13,,,,
18,2013,2013-09-08,1,25.264,SFO,,GNB,W 34-28,,,,
19,2013,2013-09-15,2,25.271,SFO,@,SEA,L 3-29,,,,
20,2013,2013-09-22,3,25.278,SFO,,IND,L 7-27,,,,
21,2013,2013-09-26,4,25.282,SFO,@,STL,W 35-11,,,,
22,2013,2013-10-06,5,25.292,SFO,,HOU,W 34-3,,,,
23,2013,2013-10-13,6,25.299,SFO,,ARI,W 32-20,,,,
24,2013,2013-10-20,7,25.306,SFO,@,TEN,W 31-17,,,,
25,2013,2013-10-27,8,25.313,SFO,@,JAX,W 42-10,,,,
26,2013,2013-11-10,9,25.327,SFO,,CAR,L 9-10,,,,
27,2013,2013-11-17,10,25.334,SFO,@,NOR,L 20-23,,,,
28,2013,2013-11-25,11,25.342,SFO,@,WAS,W 27-6,,,,
29,2013,2013-12-01,12,25.348,SFO,,STL,W 23-13,,,,
30,2013,2013-12-08,13,25.355,SFO,,SEA,W 19-17,,,,
31,2013,2013-12-15,14,25.362,SFO,@,TAM,W 33-14,,,,
32,2013,2013-12-23,15,26.005,SFO,,ATL,W 34-24,,,,
33,2013,2013-12-29,16,26.011,SFO,@,ARI,W 23-20,,,,
34,2014,2014-09-07,1,26.263,SFO,@,DAL,W 28-17,*,,,
35,2014,2014-09-14,2,26.270,SFO,,CHI,L 20-28,*,0.0,2,1
36,2014,2014-09-21,3,26.277,SFO,@,ARI,L 14-23,*,,,
37,2014,2014-09-28,4,26.284,SFO,,PHI,W 26-21,*,,,
38,2014,2014-10-05,5,26.291,SFO,,KAN,W 22-17,*,,,
39,2014,2014-10-13,6,26.299,SFO,@,STL,W 31-17,*,,,
40,2014,2014-10-19,7,26.305,SFO,@,DEN,L 17-42,*,,,
41,2015,2015-12-06,12,27.353,SFO,@,CHI,W 26-20,,0.0,0,0
42,2015,2015-12-13,13,27.360,SFO,@,CLE,L 10-24,,0.0,0,0
43,2015,2015-12-20,14,28.002,SFO,,CIN,L 14-24,*,0.0,0,0
44,2015,2015-12-27,15,28.009,SFO,@,DET,L 17-32,*,0.0,0,0
45,2015,2016-01-03,16,28.016,SFO,,STL,W 19-16,*,0.0,0,0
46,2016,2016-09-12,1,28.269,SFO,,LAR,W 28-0,*,0.0,0,0
47,2016,2016-09-18,2,28.275,SFO,@,CAR,L 27-46,*,0.0,0,0
48,2016,2016-09-25,3,28.282,SFO,@,SEA,L 18-37,*,0.0,0,0
49,2016,2016-10-02,4,28.289,SFO,,DAL,L 17-24,*,0.0,0,0
50,2016,2016-10-06,5,28.293,SFO,,ARI,L 21-33,*,0.0,0,0
51,2016,2016-10-16,6,28.303,SFO,@,BUF,L 16-45,*,0.0,0,0
52,2016,2016-10-23,7,28.310,SFO,,TAM,L 17-34,*,0.0,0,0
53,2016,2016-11-06,8,28.324,SFO,,NOR,L 23-41,*,0.0,0,0
54,2016,2016-11-13,9,28.331,SFO,@,ARI,L 20-23,*,0.0,0,0
55,2016,2016-11-20,10,28.338,SFO,,NWE,L 17-30,*,0.0,0,0
56,2016,2016-11-27,11,28.345,SFO,@,MIA,L 24-31,*,0.0,0,0
57,2016,2016-12-04,12,28.352,SFO,@,CHI,L 6-26,*,0.0,0,0
58,2016,2016-12-11,13,28.359,SFO,,NYJ,L 17-23,*,0.0,0,0
59,2017,2017-09-10,1,29.266,SFO,,CAR,L 3-23,*,0.0,0,0
60,2017,2017-09-17,2,29.273,SFO,@,SEA,L 9-12,*,0.0,0,0
61,2017,2017-09-21,3,29.277,SFO,,LAR,L 39-41,*,0.0,0,0
62,2017,2017-10-01,4,29.287,SFO,@,ARI,L 15-18,*,0.0,0,0
63,2017,2017-10-08,5,29.294,SFO,@,IND,L 23-26,*,0.0,0,0
64,2017,2017-10-15,6,29.301,SFO,@,WAS,L 24-26,*,0.0,0,0
65,2017,2017-10-22,7,29.308,SFO,,DAL,L 10-40,*,0.0,0,0
66,2017,2017-10-29,8,29.315,SFO,@,PHI,L 10-33,*,0.0,0,0
67,2017,2017-11-05,9,29.322,SFO,,ARI,L 10-20,*,0.0,0,0
68,2017,2017-11-12,10,29.329,SFO,,NYG,W 31-21,*,0.0,0,0
69,2017,2017-11-26,11,29.343,SFO,,SEA,L 13-24,*,0.0,0,0
70,2017,2017-12-03,12,29.350,SFO,@,CHI,W 15-14,*,0.0,0,0
71,2017,2017-12-10,13,29.357,SFO,@,HOU,W 26-16,*,0.0,0,0
72,2017,2017-12-17,14,29.364,SFO,,TEN,W 25-23,*,0.0,0,0
73,2017,2017-12-24,15,30.006,SFO,,JAX,W 44-33,*,0.0,0,0
74,2017,2017-12-31,16,30.013,SFO,@,LAR,W 34-13,*,0.0,0,0
75,2018,2018-09-09,1,30.265,MIA,,TEN,W 27-20,*,0.0,0,0
76,2018,2018-09-16,2,30.272,MIA,@,NYJ,W 20-12,*,0.0,0,0
77,2018,2018-09-23,3,30.279,MIA,,OAK,W 28-20,*,0.0,0,0
