ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1990,1990-09-09,1,24.183,NYJ,@,CIN,L 20-25,
2,1990,1990-09-16,2,24.190,NYJ,,CLE,W 24-21,
3,1990,1990-09-24,3,24.198,NYJ,,BUF,L 7-30,
4,1990,1990-09-30,4,24.204,NYJ,@,NWE,W 37-13,
5,1990,1990-10-14,6,24.218,NYJ,,SDG,L 3-39,1.0
6,1990,1990-10-21,7,24.225,NYJ,@,BUF,L 27-30,
7,1990,1990-10-28,8,24.232,NYJ,@,HOU,W 17-12,1.0
8,1990,1990-11-04,9,24.239,NYJ,,DAL,W 24-9,1.0
9,1990,1990-11-11,10,24.246,NYJ,,MIA,L 3-17,
10,1990,1990-11-18,11,24.253,NYJ,@,IND,L 14-17,1.0
11,1990,1990-11-25,12,24.260,NYJ,,PIT,L 7-24,
12,1990,1990-12-02,13,24.267,NYJ,@,SDG,L 17-38,
13,1990,1990-12-16,14,24.281,NYJ,,IND,L 21-29,
14,1990,1990-12-23,15,24.288,NYJ,,NWE,W 42-7,1.0
15,1990,1990-12-30,16,24.295,NYJ,@,TAM,W 16-14,
16,1991,1991-09-01,1,25.175,NYJ,,TAM,W 16-13,
17,1991,1991-09-08,2,25.182,NYJ,@,SEA,L 13-20,
18,1991,1991-09-15,3,25.189,NYJ,,BUF,L 20-23,1.0
19,1991,1991-09-23,4,25.197,NYJ,@,CHI,L 13-19,
20,1991,1991-09-29,5,25.203,NYJ,,MIA,W 41-23,
21,1991,1991-10-06,6,25.210,NYJ,@,CLE,W 17-14,
22,1991,1991-10-13,7,25.217,NYJ,,HOU,L 20-23,
23,1991,1991-10-20,8,25.224,NYJ,@,IND,W 17-6,
24,1991,1991-11-03,9,25.238,NYJ,,GNB,W 19-16,
25,1991,1991-11-10,10,25.245,NYJ,,IND,L 27-28,
26,1991,1991-11-17,11,25.252,NYJ,@,NWE,W 28-21,
27,1991,1991-11-24,12,25.259,NYJ,,SDG,W 24-3,
28,1991,1991-12-01,13,25.266,NYJ,@,BUF,L 13-24,
