ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-09-06,1,23.252,PIT,@,HOU,W 29-24,,0,0,,0,0,0,0.0,1,34,0
2,1992,1992-09-13,2,23.259,PIT,,NYJ,W 27-10,,0,0,,0,0,0,0.0,1,0,0
3,1992,1992-09-20,3,23.266,PIT,@,SDG,W 23-6,,,,,,,,,,,
4,1992,1992-09-27,4,23.273,PIT,@,GNB,L 3-17,,,,,,,,,,,
5,1992,1992-10-11,5,23.287,PIT,@,CLE,L 9-17,,,,,,,,,,,
6,1992,1992-10-19,6,23.295,PIT,,CIN,W 20-0,,,,,,,,,,,
7,1992,1992-10-25,7,23.301,PIT,@,KAN,W 27-3,,0,0,,0,0,0,0.0,1,0,0
8,1992,1992-11-01,8,23.308,PIT,,HOU,W 21-20,,,,,,,,,,,
9,1992,1992-11-08,9,23.315,PIT,@,BUF,L 20-28,,,,,,,,,,,
10,1992,1992-11-15,10,23.322,PIT,,DET,W 17-14,,0,0,,0,0,0,0.0,1,13,0
11,1992,1992-11-22,11,23.329,PIT,,IND,W 30-14,,0,0,,0,0,0,0.0,2,22,0
12,1992,1992-11-29,12,23.336,PIT,@,CIN,W 21-9,,,,,,,,,,,
13,1992,1992-12-06,13,23.343,PIT,,SEA,W 20-14,,,,,,,,,,,
14,1992,1992-12-13,14,23.350,PIT,@,CHI,L 6-30,,,,,,,,,,,
15,1992,1992-12-20,15,23.357,PIT,,MIN,L 3-6,,,,,,,,,,,
16,1992,1992-12-27,16,23.364,PIT,,CLE,W 23-13,,,,,,,,,,,
17,1993,1993-09-05,1,24.250,PIT,,SFO,L 13-24,,,,,,,,,,,
18,1993,1993-09-12,2,24.257,PIT,@,RAM,L 0-27,,0,0,,0,0,0,0.0,1,17,0
19,1993,1993-09-19,3,24.264,PIT,,CIN,W 34-7,,0,0,,0,0,0,0.0,1,30,0
20,1993,1993-09-27,4,24.272,PIT,@,ATL,W 45-17,,,,,,,,,,,
21,1993,1993-10-10,5,24.285,PIT,,SDG,W 16-3,,0,0,,0,0,0,0.0,1,0,0
22,1993,1993-10-17,6,24.292,PIT,,NOR,W 37-14,,,,,,,,,,,
23,1993,1993-10-24,7,24.299,PIT,@,CLE,L 23-28,,,,,,,,,,,
24,1993,1993-11-07,8,24.313,PIT,@,CIN,W 24-16,,,,,,,,,,,
25,1993,1993-11-15,9,24.321,PIT,,BUF,W 23-0,,,,,,,,,,,
26,1993,1993-11-21,10,24.327,PIT,@,DEN,L 13-37,,,,,,,,,,,
27,1993,1993-11-28,11,24.334,PIT,@,HOU,L 3-23,,,,,,,,,,,
28,1993,1993-12-05,12,24.341,PIT,,NWE,W 17-14,,0,0,,0,0,0,0.0,1,14,0
29,1993,1993-12-13,13,24.349,PIT,@,MIA,W 21-20,,,,,,,,,,,
30,1993,1993-12-19,14,24.355,PIT,,HOU,L 17-26,,,,,,,,,,,
31,1993,1993-12-26,15,24.362,PIT,@,SEA,L 6-16,,,,,,,,,,,
32,1993,1994-01-02,16,25.004,PIT,,CLE,W 16-9,,,,,,,,,,,
33,1994,1994-09-04,1,25.249,PIT,,DAL,L 9-26,,0,0,,0,0,0,0.0,1,42,0
34,1994,1994-09-11,2,25.256,PIT,@,CLE,W 17-10,,0,0,,0,0,0,0.0,3,30,0
35,1994,1994-09-18,3,25.263,PIT,,IND,W 31-21,,,,,,,,,,,
36,1994,1994-09-25,4,25.270,PIT,@,SEA,L 13-30,,0,0,,0,0,0,0.0,1,0,0
37,1994,1994-10-03,5,25.278,PIT,,HOU,W 30-14,,,,,,,,,,,
38,1994,1994-10-16,6,25.291,PIT,,CIN,W 14-10,,,,,,,,,,,
39,1994,1994-10-23,7,25.298,PIT,@,NYG,W 10-6,,0,0,,0,0,0,0.0,1,2,0
40,1994,1994-10-30,8,25.305,PIT,@,ARI,L 17-20,,,,,,,,,,,
41,1994,1994-11-06,9,25.312,PIT,@,HOU,W 12-9,,,,,,,,,,,
42,1994,1994-11-14,10,25.320,PIT,,BUF,W 23-10,,,,,,,,,,,
43,1994,1994-11-20,11,25.326,PIT,,MIA,W 16-13,,,,,,,,,,,
44,1994,1994-11-27,12,25.333,PIT,@,RAI,W 21-3,,,,,,,,,,,
45,1994,1994-12-04,13,25.340,PIT,@,CIN,W 38-15,,,,,,,,,,,
46,1994,1994-12-11,14,25.347,PIT,,PHI,W 14-3,,0,0,,0,0,0,0.0,1,38,0
47,1994,1994-12-18,15,25.354,PIT,,CLE,W 17-7,,,,,,,,,,,
48,1994,1994-12-24,16,25.360,PIT,@,SDG,L 34-37,,,,,,,,,,,
49,1995,1995-09-03,1,26.248,PIT,,DET,W 23-20,,0,0,,0,0,0,0.0,1,26,0
50,1995,1995-09-10,2,26.255,PIT,@,HOU,W 34-17,,,,,,,,,,,
51,1995,1995-09-18,3,26.263,PIT,@,MIA,L 10-23,,,,,,,,,,,
52,1995,1995-09-24,4,26.269,PIT,,MIN,L 24-44,,0,0,,0,0,0,0.0,1,6,0
53,1995,1995-10-01,5,26.276,PIT,,SDG,W 31-16,,,,,,,,,,,
54,1995,1995-10-08,6,26.283,PIT,@,JAX,L 16-20,,,,,,,,,,,
55,1995,1995-10-19,7,26.294,PIT,,CIN,L 9-27,,,,,,,,,,,
56,1995,1995-10-29,8,26.304,PIT,,JAX,W 24-7,,,,,,,,,,,
57,1995,1995-11-05,9,26.311,PIT,@,CHI,W 37-34,,0,0,,0,0,0,0.0,1,16,0
58,1995,1995-11-13,10,26.319,PIT,,CLE,W 20-3,,,,,,,,,,,
59,1995,1995-11-19,11,26.325,PIT,@,CIN,W 49-31,,,,,,,,,,,
60,1995,1995-11-26,12,26.332,PIT,@,CLE,W 20-17,,,,,,,,,,,
61,1995,1995-12-03,13,26.339,PIT,,HOU,W 21-7,,0,0,,0,0,0,0.0,1,23,0
62,1995,1995-12-10,14,26.346,PIT,@,OAK,W 29-10,,,,,,,,,,,
63,1995,1995-12-16,15,26.352,PIT,,NWE,W 41-27,,,,,,,,,,,
64,1995,1995-12-24,16,26.360,PIT,@,GNB,L 19-24,,,,,,,,,,,
65,1996,1996-09-01,1,27.247,PIT,@,JAX,L 9-24,,0,0,,0,,,,,,
66,1996,1996-09-08,2,27.254,PIT,,BAL,W 31-17,,0,0,,0,,,,,,
67,1996,1996-09-16,3,27.262,PIT,,BUF,W 24-6,,0,0,,0,,,,,,
68,1996,1996-09-29,4,27.275,PIT,,HOU,W 30-16,,0,0,,0,1,6,0.0,2,40,1
69,1996,1996-10-07,5,27.283,PIT,@,KAN,W 17-7,,0,0,,0,,,,,,
70,1996,1996-10-13,6,27.289,PIT,,CIN,W 20-10,,1,8,8.00,0,0,0,0.0,0,0,0
71,1996,1996-10-20,7,27.296,PIT,@,HOU,L 13-23,,0,0,,0,,,,,,
72,1996,1996-10-27,8,27.303,PIT,@,ATL,W 20-17,,0,0,,0,0,0,0.0,1,23,0
73,1996,1996-11-03,9,27.310,PIT,,STL,W 42-6,,0,0,,0,,,,,,
74,1996,1996-11-10,10,27.317,PIT,@,CIN,L 24-34,,0,0,,0,,,,,,
75,1996,1996-11-17,11,27.324,PIT,,JAX,W 28-3,,0,0,,0,,,,,,
76,1996,1996-11-25,12,27.332,PIT,@,MIA,W 24-17,,0,0,,0,,,,,,
77,1996,1996-12-01,13,27.338,PIT,@,BAL,L 17-31,,0,0,,0,0,0,0.0,1,24,0
78,1996,1996-12-08,14,27.345,PIT,,SDG,W 16-3,,0,0,,0,0,0,0.0,1,28,0
79,1996,1996-12-15,15,27.352,PIT,,SFO,L 15-25,,0,0,,0,,,,,,
80,1996,1996-12-22,16,27.359,PIT,@,CAR,L 14-18,,0,0,,0,0,0,1.0,0,0,0
81,1997,1997-08-31,1,28.245,PIT,,DAL,L 7-37,,,,,,,,,,,
82,1997,1997-09-07,2,28.252,PIT,,WAS,W 14-13,,0,0,,0,0,0,0.0,1,17,0
83,1997,1997-09-22,3,28.267,PIT,@,JAX,L 21-30,,,,,,,,,,,
84,1997,1997-09-28,4,28.273,PIT,,TEN,W 37-24,,0,0,,0,0,0,1.0,0,0,0
85,1997,1997-10-05,6,28.280,NYJ,@,IND,W 16-12,,,,,,,,,,,
86,1997,1997-10-12,6,28.287,PIT,,IND,W 24-22,,,,,,,,,,,
87,1997,1997-10-19,7,28.294,PIT,@,CIN,W 26-10,,0,0,,0,0,0,0.0,1,0,0
88,1997,1997-10-26,8,28.301,PIT,,JAX,W 23-17,,,,,,,,,,,
89,1997,1997-11-03,9,28.309,PIT,@,KAN,L 10-13,,,,,,,,,,,
90,1997,1997-11-09,10,28.315,CIN,@,IND,W 28-13,,,,,,,,,,,
91,1997,1997-11-09,10,28.315,PIT,,BAL,W 37-0,,0,0,,0,0,0,0.0,1,42,0
92,1997,1997-11-16,11,28.322,PIT,,CIN,W 20-3,,,,,,,,,,,
93,1997,1997-11-23,12,28.329,PIT,@,PHI,L 20-23,,,,,,,,,,,
94,1997,1997-11-30,13,28.336,PIT,@,ARI,W 26-20,,,,,,,,,,,
95,1997,1997-12-07,14,28.343,PIT,,DEN,W 35-24,,,,,,,,,,,
96,1997,1997-12-13,15,28.349,PIT,@,NWE,W 24-21,,0,0,,0,0,0,0.0,1,18,0
97,1997,1997-12-21,16,28.357,PIT,@,TEN,L 6-16,,,,,,,,,,,
98,1998,1998-09-13,2,29.258,PIT,,CHI,W 17-12,,,,,,,,,,,
99,1998,1998-09-20,3,29.265,PIT,@,MIA,L 0-21,,,,,,,,,,,
100,1998,1998-10-11,5,29.286,PIT,@,CIN,L 20-25,,,,,,,,,,,
101,1998,1998-10-18,6,29.293,PIT,,BAL,W 16-6,,0,0,,0,0,0,0.0,1,29,0
102,1998,1998-10-26,7,29.301,PIT,@,KAN,W 20-13,,0,0,,0,0,0,0.0,1,40,0
103,1998,1998-11-01,8,29.307,PIT,,TEN,L 31-41,,,,,,,,,,,
104,1998,1998-11-09,9,29.315,PIT,,GNB,W 27-20,,,,,,,,,,,
105,1998,1998-11-15,10,29.321,PIT,@,TEN,L 14-23,,,,,,,,,,,
106,1998,1998-11-22,11,29.328,PIT,,JAX,W 30-15,,,,,,,,,,,
107,1998,1998-11-26,12,29.332,PIT,@,DET,L 16-19,,0,0,,0,0,0,0.5,0,0,0
108,1998,1998-12-06,13,29.342,PIT,,NWE,L 9-23,,,,,,,,,,,
109,1998,1998-12-13,14,29.349,PIT,@,TAM,L 3-16,,,,,,,,,,,
110,1998,1998-12-20,15,29.356,PIT,,CIN,L 24-25,,,,,,,,,,,
111,2000,2000-09-03,1,31.249,NOR,,DET,L 10-14,*,,,,,,,,,,
112,2000,2000-09-10,2,31.256,NOR,@,SDG,W 28-27,,,,,,,,,,,
113,2000,2000-09-17,3,31.263,NOR,@,SEA,L 10-20,*,,,,,,,,,,
114,2000,2000-09-24,4,31.270,NOR,,PHI,L 7-21,*,,,,,,,,,,
115,2000,2000-10-08,5,31.284,NOR,@,CHI,W 31-10,*,,,,,,,,,,
116,2000,2000-10-15,6,31.291,NOR,,CAR,W 24-6,,,,,,,,,,,
117,2000,2000-10-22,7,31.298,NOR,@,ATL,W 21-19,*,,,,,,,,,,
118,2000,2000-10-29,8,31.305,NOR,@,ARI,W 21-10,*,,,,,,,,,,
119,2000,2000-11-05,9,31.312,NOR,,SFO,W 31-15,*,,,,,,,,,,
120,2000,2000-11-12,10,31.319,NOR,@,CAR,W 20-10,*,0,0,,0,0,0,0.0,1,0,0
121,2000,2000-11-19,11,31.326,NOR,,OAK,L 22-31,,,,,,,,,,,
122,2000,2000-11-26,12,31.333,NOR,@,STL,W 31-24,,,,,,,,,,,
123,2000,2000-12-03,13,31.340,NOR,,DEN,L 23-38,,,,,,,,,,,
124,2000,2000-12-10,14,31.347,NOR,@,SFO,W 31-27,*,0,0,,0,0,0,0.0,2,3,0
125,2000,2000-12-17,15,31.354,NOR,,ATL,W 23-7,*,,,,,,,,,,
126,2000,2000-12-24,16,31.361,NOR,,STL,L 21-26,,,,,,,,,,,
