ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2000,2000-09-03,1,23.080,ARI,@,NYG,L 16-21,,,,,,,
2,2001,2001-09-09,1,24.086,PHI,,STL,L 17-20,,,,,,,
3,2001,2001-09-23,2,24.100,PHI,@,SEA,W 27-3,,,,,,,
4,2001,2001-09-30,3,24.107,PHI,,DAL,W 40-18,,,,,,,
5,2001,2001-10-07,4,24.114,PHI,,ARI,L 20-21,,,,,,,
6,2001,2001-11-18,9,24.156,PHI,@,DAL,W 36-3,,,,,,,
7,2001,2001-11-25,10,24.163,PHI,,WAS,L 3-13,,,,,,,
8,2001,2001-11-29,11,24.167,PHI,@,KAN,W 23-10,,,,,,,
9,2001,2001-12-16,13,24.184,PHI,@,WAS,W 20-6,,,,,,,
10,2001,2001-12-22,14,24.190,PHI,@,SFO,L 3-13,,,,,,,
11,2001,2002-01-06,16,24.205,PHI,@,TAM,W 17-13,,1.0,,,0,0,0
12,2002,2002-09-08,1,25.085,PHI,@,TEN,L 24-27,*,,,,,,
13,2002,2002-09-16,2,25.093,PHI,@,WAS,W 37-7,*,0.5,,,0,0,0
14,2002,2002-09-22,3,25.099,PHI,,DAL,W 44-13,*,1.0,,,0,0,0
15,2002,2002-09-29,4,25.106,PHI,,HOU,W 35-17,*,1.0,,,0,0,0
16,2002,2002-10-06,5,25.113,PHI,@,JAX,L 25-28,*,1.0,,,0,0,0
17,2002,2002-10-20,6,25.127,PHI,,TAM,W 20-10,*,1.0,,,0,0,0
18,2002,2002-10-28,7,25.135,PHI,,NYG,W 17-3,*,1.0,,,0,0,0
19,2002,2002-11-03,8,25.141,PHI,@,CHI,W 19-13,*,,,,,,
20,2002,2002-11-10,9,25.148,PHI,,IND,L 13-35,*,,,,,,
21,2002,2002-11-17,10,25.155,PHI,,ARI,W 38-14,*,,,,,,
22,2002,2002-11-25,11,25.163,PHI,@,SFO,W 38-17,*,1.0,,,0,0,0
23,2002,2002-12-01,12,25.169,PHI,,STL,W 10-3,*,,,,,,
24,2002,2002-12-08,13,25.176,PHI,@,SEA,W 27-20,*,,,,,,
25,2002,2002-12-15,14,25.183,PHI,,WAS,W 34-21,*,,,,,,
26,2002,2002-12-21,15,25.189,PHI,@,DAL,W 27-3,*,1.0,,,0,0,0
27,2002,2002-12-28,16,25.196,PHI,@,NYG,L 7-10,*,,,,,,
28,2003,2003-09-08,1,26.085,PHI,,TAM,L 0-17,*,,,,,,
29,2003,2003-09-14,2,26.091,PHI,,NWE,L 10-31,*,,,,,,
30,2003,2003-09-28,3,26.105,PHI,@,BUF,W 23-13,*,,,,,,
31,2003,2003-10-05,4,26.112,PHI,,WAS,W 27-25,*,1.0,,,0,0,0
32,2003,2003-10-12,5,26.119,PHI,@,DAL,L 21-23,*,,,,,,
33,2003,2003-10-19,6,26.126,PHI,@,NYG,W 14-10,*,,,,,,
34,2003,2003-10-26,7,26.133,PHI,,NYJ,W 24-17,*,1.0,,,0,0,0
35,2003,2003-11-02,8,26.140,PHI,@,ATL,W 23-16,*,1.0,,,0,0,0
36,2003,2003-11-10,9,26.148,PHI,@,GNB,W 17-14,*,,,,,,
37,2003,2003-11-16,10,26.154,PHI,,NYG,W 28-10,*,1.5,,,0,0,0
38,2003,2003-11-23,11,26.161,PHI,,NOR,W 33-20,*,,,,,,
39,2003,2003-11-30,12,26.168,PHI,@,CAR,W 25-16,*,,,,,,
40,2003,2003-12-07,13,26.175,PHI,,DAL,W 36-10,*,1.0,,,0,0,0
41,2003,2003-12-15,14,26.183,PHI,@,MIA,W 34-27,*,,,,,,
42,2003,2003-12-21,15,26.189,PHI,,SFO,L 28-31,*,,,,,,
43,2003,2003-12-27,16,26.195,PHI,@,WAS,W 31-7,*,0.5,,,0,0,0
44,2004,2004-09-12,1,27.089,PHI,,NYG,W 31-17,*,,,,,,
45,2004,2004-09-20,2,27.097,PHI,,MIN,W 27-16,*,1.0,,,0,0,0
46,2004,2004-09-26,3,27.103,PHI,@,DET,W 30-13,*,,,,,,
47,2004,2004-10-03,4,27.110,PHI,@,CHI,W 19-9,*,,,,,,
48,2004,2004-10-17,5,27.124,PHI,,CAR,W 30-8,*,,,,,,
49,2004,2004-10-24,6,27.131,PHI,@,CLE,W 34-31,*,,,,,,
50,2004,2004-10-31,7,27.138,PHI,,BAL,W 15-10,*,,,,,,
51,2004,2004-11-07,8,27.145,PHI,@,PIT,L 3-27,*,,,,,,
52,2004,2004-11-15,9,27.153,PHI,@,DAL,W 49-21,*,,,,,,
53,2004,2004-11-21,10,27.159,PHI,,WAS,W 28-6,*,,,,,,
54,2004,2004-11-28,11,27.166,PHI,@,NYG,W 27-6,*,0.5,,,0,0,0
55,2004,2004-12-05,12,27.173,PHI,,GNB,W 47-17,*,2.0,,,0,0,0
56,2004,2004-12-12,13,27.180,PHI,@,WAS,W 17-14,*,1.0,,,0,0,0
57,2004,2004-12-19,14,27.187,PHI,,DAL,W 12-7,*,,,,,,
58,2004,2004-12-27,15,27.195,PHI,@,STL,L 7-20,*,,,,,,
59,2004,2005-01-02,16,27.201,PHI,,CIN,L 10-38,*,,,,,,
60,2005,2005-09-12,1,28.089,PHI,@,ATL,L 10-14,*,1.5,,,0,0,0
61,2005,2005-09-18,2,28.095,PHI,,SFO,W 42-3,*,1.0,,,0,0,0
62,2005,2005-10-23,6,28.130,PHI,,SDG,W 20-17,*,,,,,,
63,2005,2005-10-30,7,28.137,PHI,@,DEN,L 21-49,*,,,,,,
64,2005,2005-11-06,8,28.144,PHI,@,WAS,L 10-17,*,,,,,,
65,2005,2005-11-14,9,28.152,PHI,,DAL,L 20-21,*,,,,,,
66,2005,2005-11-20,10,28.158,PHI,@,NYG,L 17-27,*,,,,,,
67,2005,2005-11-27,11,28.165,PHI,,GNB,W 19-14,*,,,,,,
68,2005,2005-12-05,12,28.173,PHI,,SEA,L 0-42,*,,,,,,
69,2005,2005-12-11,13,28.179,PHI,,NYG,L 23-26,,,,,,,
70,2005,2005-12-18,14,28.186,PHI,@,STL,W 17-16,*,,,,,,
71,2005,2005-12-24,15,28.192,PHI,@,ARI,L 21-27,*,,,,,,
72,2005,2006-01-01,16,28.200,PHI,,WAS,L 20-31,*,,,,,,
73,2006,2006-09-10,1,29.087,PHI,@,HOU,W 24-10,*,,,,,,
74,2006,2006-09-17,2,29.094,PHI,,NYG,L 24-30,*,1.0,,,0,0,0
75,2006,2006-09-24,3,29.101,PHI,@,SFO,W 38-24,*,,,,,,
76,2006,2006-10-02,4,29.109,PHI,,GNB,W 31-9,*,,,,,,
77,2006,2006-10-08,5,29.115,PHI,,DAL,W 38-24,*,3.0,,,0,0,0
78,2006,2006-10-15,6,29.122,PHI,@,NOR,L 24-27,*,0.0,,,1,6,0
79,2006,2006-10-22,7,29.129,PHI,@,TAM,L 21-23,*,1.0,,,0,0,0
80,2006,2006-10-29,8,29.136,PHI,,JAX,L 6-13,*,,,,,,
81,2006,2006-11-12,9,29.150,PHI,,WAS,W 27-3,*,,,,,,
82,2006,2006-11-19,10,29.157,PHI,,TEN,L 13-31,*,,,,,,
83,2006,2006-11-26,11,29.164,PHI,@,IND,L 21-45,,,,,,,
84,2006,2006-12-04,12,29.172,PHI,,CAR,W 27-24,*,,,,,,
85,2006,2006-12-10,13,29.178,PHI,@,WAS,W 21-19,*,,,,,,
86,2006,2006-12-17,14,29.185,PHI,@,NYG,W 36-22,*,,,,,,
87,2006,2006-12-25,15,29.193,PHI,@,DAL,W 23-7,*,1.0,,,0,0,0
88,2006,2006-12-31,16,29.199,PHI,,ATL,W 24-17,*,,,,,,
89,2007,2007-09-09,1,30.086,CHI,@,SDG,L 3-14,,,,,,,
90,2007,2007-09-16,2,30.093,CHI,,KAN,W 20-10,*,,,,,,
91,2007,2007-09-23,3,30.100,CHI,,DAL,L 10-34,*,,,,,,
92,2007,2007-09-30,4,30.107,CHI,@,DET,L 27-37,*,,,,,,
93,2007,2007-10-07,5,30.114,CHI,@,GNB,W 27-20,*,,,,,,
94,2007,2007-10-28,8,30.135,CHI,,DET,L 7-16,,,,,,,
95,2007,2007-11-11,9,30.149,CHI,@,OAK,W 17-6,,,,,,,
96,2007,2007-11-18,10,30.156,CHI,@,SEA,L 23-30,*,1.0,,,0,0,0
97,2007,2007-11-25,11,30.163,CHI,,DEN,W 37-34,*,,,,,,
98,2007,2007-12-02,12,30.170,CHI,,NYG,L 16-21,,,,,,,
99,2007,2007-12-06,13,30.174,CHI,@,WAS,L 16-24,*,,,,,,
100,2008,2008-09-07,1,31.084,CAR,@,SDG,W 26-24,,,,,,,
101,2008,2008-09-14,2,31.091,CAR,,CHI,W 20-17,,,,,,,
102,2008,2008-09-21,3,31.098,CAR,@,MIN,L 10-20,,0.0,0,0,0,0,0
103,2008,2008-09-28,4,31.105,CAR,,ATL,W 24-9,,0.0,1,0,0,0,0
104,2008,2008-10-05,5,31.112,CAR,,KAN,W 34-0,,0.0,2,0,0,0,0
105,2008,2008-10-19,7,31.126,CAR,,NOR,W 30-7,,,,,,,
