ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2001,2001-10-01,3,23.023,SFO,@,NYJ,W 19-17,
2,2001,2001-10-07,4,23.029,SFO,,CAR,W 24-14,
3,2001,2001-10-14,5,23.036,SFO,@,ATL,W 37-31,
4,2001,2001-10-28,6,23.050,SFO,@,CHI,L 31-37,
5,2001,2001-11-04,7,23.057,SFO,,DET,W 21-13,
6,2001,2001-11-11,8,23.064,SFO,,NOR,W 28-27,
7,2001,2001-11-18,9,23.071,SFO,@,CAR,W 25-22,
8,2001,2001-11-25,10,23.078,SFO,@,IND,W 40-21,
9,2001,2001-12-02,11,23.085,SFO,,BUF,W 35-0,
10,2001,2001-12-09,12,23.092,SFO,@,STL,L 14-27,
11,2001,2001-12-16,13,23.099,SFO,,MIA,W 21-0,
12,2001,2001-12-22,14,23.105,SFO,,PHI,W 13-3,
13,2001,2001-12-30,15,23.113,SFO,@,DAL,L 21-27,
14,2001,2002-01-06,16,23.120,SFO,@,NOR,W 38-0,
