ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1963,1963-12-01,12,23.352,DAL,,NYG,L 27-34,0,0,1,17,0
2,1964,1964-09-20,2,24.281,DAL,,WAS,W 24-18,0,0,1,1,0
3,1965,1965-11-14,9,25.335,DAL,,PIT,W 24-17,0,0,1,0,0
4,1965,1965-11-28,11,25.349,DAL,@,WAS,L 31-34,0,0,1,0,0
5,1966,1966-09-25,2,26.285,DAL,,MIN,W 28-17,0,0,1,12,0
6,1967,1967-09-24,2,27.284,DAL,,NYG,W 38-24,0,0,1,0,0
7,1967,1967-10-01,3,27.291,DAL,,RAM,L 13-35,0,0,1,8,0
8,1967,1967-12-03,12,27.354,DAL,@,BAL,L 17-23,1,6,1,26,1
9,1969,1969-09-28,2,29.288,DAL,@,NOR,W 21-17,0,0,1,0,0
10,1970,1970-09-20,1,30.280,DAL,@,PHI,W 17-7,,,,,
11,1970,1970-09-27,2,30.287,DAL,,NYG,W 28-10,,,,,
12,1970,1970-10-04,3,30.294,DAL,@,STL,L 7-20,,,,,
13,1970,1970-10-11,4,30.301,DAL,,ATL,W 13-0,,,,,
14,1970,1970-10-18,5,30.308,DAL,@,MIN,L 13-54,,,,,
15,1970,1970-10-25,6,30.315,DAL,@,KAN,W 27-16,,,,,
16,1970,1970-11-01,7,30.322,DAL,,PHI,W 21-17,,,,,
17,1970,1970-11-08,8,30.329,DAL,@,NYG,L 20-23,,,,,
18,1970,1970-11-16,9,30.337,DAL,,STL,L 0-38,,,,,
19,1970,1970-11-22,10,30.343,DAL,@,WAS,W 45-21,,,,,
20,1970,1970-11-26,11,30.347,DAL,,GNB,W 16-3,,,,,
21,1970,1970-12-12,13,30.363,DAL,@,CLE,W 6-2,0,0,2,2,0
22,1970,1970-12-20,14,31.006,DAL,,HOU,W 52-10,,,,,
23,1971,1971-09-19,1,31.279,DAL,@,BUF,W 49-37,,,,,
24,1971,1971-09-26,2,31.286,DAL,@,PHI,W 42-7,,,,,
25,1971,1971-10-03,3,31.293,DAL,,WAS,L 16-20,0,0,1,0,0
26,1971,1971-10-11,4,31.301,DAL,,NYG,W 20-13,,,,,
27,1971,1971-10-17,5,31.307,DAL,@,NOR,L 14-24,,,,,
28,1971,1971-10-24,6,31.314,DAL,,NWE,W 44-21,,,,,
29,1971,1971-10-31,7,31.321,DAL,@,CHI,L 19-23,,,,,
30,1971,1971-11-07,8,31.328,DAL,@,STL,W 16-13,,,,,
31,1971,1971-11-14,9,31.335,DAL,,PHI,W 20-7,,,,,
32,1971,1971-11-21,10,31.342,DAL,@,WAS,W 13-0,,,,,
33,1971,1971-11-25,11,31.346,DAL,,RAM,W 28-21,,,,,
34,1971,1971-12-04,12,31.355,DAL,,NYJ,W 52-10,,,,,
35,1971,1971-12-12,13,31.363,DAL,@,NYG,W 42-14,,,,,
36,1971,1971-12-18,14,32.004,DAL,,STL,W 31-12,0,0,1,0,0
37,1972,1972-09-17,1,32.278,DAL,,PHI,W 28-6,,,,,
38,1972,1972-09-24,2,32.285,DAL,@,NYG,W 23-14,,,,,
39,1972,1972-10-01,3,32.292,DAL,@,GNB,L 13-16,,,,,
40,1972,1972-10-08,4,32.299,DAL,,PIT,W 17-13,,,,,
41,1972,1972-10-15,5,32.306,DAL,@,BAL,W 21-0,,,,,
42,1972,1972-10-22,6,32.313,DAL,@,WAS,L 20-24,,,,,
43,1972,1972-10-30,7,32.321,DAL,,DET,W 28-24,,,,,
44,1972,1972-11-05,8,32.327,DAL,@,SDG,W 34-28,,,,,
45,1972,1972-11-12,9,32.334,DAL,,STL,W 33-24,,,,,
46,1972,1972-11-19,10,32.341,DAL,@,PHI,W 28-7,,,,,
47,1972,1972-11-23,11,32.345,DAL,,SFO,L 10-31,,,,,
48,1972,1972-12-03,12,32.355,DAL,@,STL,W 27-6,,,,,
49,1972,1972-12-09,13,32.361,DAL,,WAS,W 34-24,,,,,
50,1972,1972-12-17,14,33.003,DAL,,NYG,L 3-23,,,,,
51,1973,1973-09-16,1,33.276,DAL,@,CHI,W 20-17,,,,,
52,1973,1973-09-24,2,33.284,DAL,,NOR,W 40-3,,,,,
53,1973,1973-09-30,3,33.290,DAL,,STL,W 45-10,,,,,
54,1973,1973-10-08,4,33.298,DAL,@,WAS,L 7-14,,,,,
55,1973,1973-10-14,5,33.304,DAL,@,RAM,L 31-37,,,,,
56,1973,1973-10-21,6,33.311,DAL,,NYG,W 45-28,,,,,
57,1973,1973-10-28,7,33.318,DAL,@,PHI,L 16-30,,,,,
58,1973,1973-11-04,8,33.325,DAL,,CIN,W 38-10,,,,,
59,1973,1973-11-11,9,33.332,DAL,@,NYG,W 23-10,,,,,
60,1973,1973-11-18,10,33.339,DAL,,PHI,W 31-10,,,,,
61,1973,1973-11-22,11,33.343,DAL,,MIA,L 7-14,,,,,
62,1973,1973-12-02,12,33.353,DAL,@,DEN,W 22-10,,,,,
63,1973,1973-12-09,13,33.360,DAL,,WAS,W 27-7,,,,,
64,1973,1973-12-16,14,34.002,DAL,@,STL,W 30-3,,,,,
65,1974,1974-09-15,1,34.275,DAL,@,ATL,W 24-0,,,,,
66,1974,1974-09-23,2,34.283,DAL,@,PHI,L 10-13,,,,,
67,1974,1974-09-29,3,34.289,DAL,,NYG,L 6-14,,,,,
68,1974,1974-10-06,4,34.296,DAL,,MIN,L 21-23,,,,,
69,1974,1974-10-13,5,34.303,DAL,@,STL,L 28-31,,,,,
70,1974,1974-10-20,6,34.310,DAL,,PHI,W 31-24,,,,,
71,1974,1974-10-27,7,34.317,DAL,@,NYG,W 21-7,,,,,
72,1974,1974-11-03,8,34.324,DAL,,STL,W 17-14,,,,,
73,1974,1974-11-10,9,34.331,DAL,,SFO,W 20-14,,,,,
74,1974,1974-11-17,10,34.338,DAL,@,WAS,L 21-28,,,,,
75,1974,1974-11-24,11,34.345,DAL,@,HOU,W 10-0,,,,,
76,1974,1974-11-28,12,34.349,DAL,,WAS,W 24-23,,,,,
77,1974,1974-12-07,13,34.358,DAL,,CLE,W 41-17,,,,,
78,1974,1974-12-14,14,35.000,DAL,@,OAK,L 23-27,,,,,
79,1975,1975-09-21,1,35.281,DAL,,RAM,W 18-7,,,,,
80,1975,1975-09-28,2,35.288,DAL,,STL,W 37-31,,,,,
81,1975,1975-10-06,3,35.296,DAL,@,DET,W 36-10,,,,,
82,1975,1975-10-12,4,35.302,DAL,@,NYG,W 13-7,,,,,
83,1975,1975-10-19,5,35.309,DAL,,GNB,L 17-19,,,,,
84,1975,1975-10-26,6,35.316,DAL,@,PHI,W 20-17,,,,,
85,1975,1975-11-02,7,35.323,DAL,@,WAS,L 24-30,,,,,
86,1975,1975-11-10,8,35.331,DAL,,KAN,L 31-34,,,,,
87,1975,1975-11-16,9,35.337,DAL,@,NWE,W 34-31,,,,,
88,1975,1975-11-23,10,35.344,DAL,,PHI,W 27-17,,,,,
89,1975,1975-11-30,11,35.351,DAL,,NYG,W 14-3,,,,,
90,1975,1975-12-07,12,35.358,DAL,@,STL,L 17-31,,,,,
91,1975,1975-12-13,13,35.364,DAL,,WAS,W 31-10,,,,,
92,1975,1975-12-21,14,36.007,DAL,@,NYJ,W 31-21,,,,,
