ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1959,1959-10-25,5,22.253,BAL,,GNB,W 38-21,1,9,9.00,0,,,,,,,,
2,1960,1960-09-24,1,23.223,DAL,,PIT,L 28-35,0,0,,0,0,0,,0,4,164,41.00,0
3,1960,1960-09-30,2,23.229,DAL,,PHI,L 25-27,0,0,,0,0,0,,0,3,110,36.67,0
4,1960,1960-10-09,3,23.238,DAL,@,WAS,L 14-26,0,0,,0,0,0,,0,4,152,38.00,0
5,1960,1960-10-16,4,23.245,DAL,,CLE,L 7-48,0,0,,0,0,0,,0,7,319,45.57,0
6,1960,1960-10-23,5,23.252,DAL,@,STL,L 10-12,0,0,,0,1,0,0.00,0,5,239,47.80,0
7,1960,1960-10-30,6,23.259,DAL,,BAL,L 7-45,0,0,,0,0,0,,0,5,227,45.40,0
8,1960,1960-11-06,7,23.266,DAL,,RAM,L 13-38,0,0,,0,0,0,,0,6,318,53.00,0
9,1960,1960-11-13,8,23.273,DAL,@,GNB,L 7-41,0,0,,0,0,0,,0,5,175,35.00,1
10,1960,1960-11-20,9,23.280,DAL,,SFO,L 14-26,0,0,,0,0,0,,0,4,161,40.25,0
11,1960,1960-11-27,10,23.287,DAL,@,CHI,L 7-17,0,0,,0,0,0,,0,7,287,41.00,0
12,1960,1960-12-04,11,23.294,DAL,@,NYG,T 31-31,0,0,,0,0,0,,0,7,259,37.00,0
