ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2016,2016-09-11,1,23.303,NOR,,OAK,L 34-35,,0.0,0,1
2,2016,2016-09-18,2,23.310,NOR,@,NYG,L 13-16,,0.0,2,0
3,2016,2016-09-26,3,23.318,NOR,,ATL,L 32-45,,0.0,0,0
4,2016,2016-10-02,4,23.324,NOR,@,SDG,W 35-34,,0.0,0,1
5,2016,2016-10-16,5,23.338,NOR,,CAR,W 41-38,,0.0,3,0
6,2016,2016-10-23,6,23.345,NOR,@,KAN,L 21-27,,0.0,1,0
7,2016,2016-10-30,7,23.352,NOR,,SEA,W 25-20,,0.0,0,0
8,2016,2016-11-06,8,23.359,NOR,@,SFO,W 41-23,,0.0,0,0
9,2016,2016-11-13,9,24.000,NOR,,DEN,L 23-25,,0.0,0,0
10,2016,2016-11-17,10,24.004,NOR,@,CAR,L 20-23,,0.0,0,0
11,2016,2016-11-27,11,24.014,NOR,,LAR,W 49-21,,0.0,0,1
12,2016,2016-12-04,12,24.021,NOR,,DET,L 13-28,,0.0,2,0
13,2016,2016-12-11,13,24.028,NOR,@,TAM,L 11-16,,0.0,1,1
14,2016,2016-12-18,14,24.035,NOR,@,ARI,W 48-41,,0.0,0,0
15,2016,2016-12-24,15,24.041,NOR,,TAM,W 31-24,,0.0,0,1
16,2016,2017-01-01,16,24.049,NOR,@,ATL,L 32-38,,0.0,2,2
17,2017,2017-09-11,1,24.302,NOR,@,MIN,L 19-29,,0.0,2,2
18,2017,2017-09-17,2,24.308,NOR,,NWE,L 20-36,,0.0,0,0
19,2017,2017-09-24,3,24.315,NOR,@,CAR,W 34-13,,0.0,0,2
20,2017,2017-10-01,4,24.322,NOR,@,MIA,W 20-0,,1.0,1,0
21,2017,2017-10-15,5,24.336,NOR,,DET,W 52-38,,0.0,2,1
22,2017,2017-10-22,6,24.343,NOR,@,GNB,W 26-17,,0.0,1,1
23,2017,2017-10-29,7,24.350,NOR,,CHI,W 20-12,,0.0,2,3
24,2017,2017-11-05,8,24.357,NOR,,TAM,W 30-10,,0.5,0,4
25,2017,2017-11-12,9,24.364,NOR,@,BUF,W 47-10,,0.0,0,0
26,2017,2017-11-19,10,25.006,NOR,,WAS,W 34-31,,0.0,1,0
27,2017,2017-11-26,11,25.013,NOR,@,LAR,L 20-26,*,0.0,0,2
28,2017,2017-12-03,12,25.020,NOR,,CAR,W 31-21,*,0.0,1,3
29,2017,2017-12-07,13,25.024,NOR,@,ATL,L 17-20,*,0.0,2,0
30,2017,2017-12-17,14,25.034,NOR,,NYJ,W 31-19,*,0.0,2,0
31,2017,2017-12-24,15,25.041,NOR,,ATL,W 23-13,*,0.5,2,1
32,2017,2017-12-31,16,25.048,NOR,@,TAM,L 24-31,*,0.0,2,1
33,2018,2018-09-09,1,25.300,NOR,,TAM,L 40-48,,0.0,0,0
34,2018,2018-09-16,2,25.307,NOR,,CLE,W 21-18,*,0.0,1,2
35,2018,2018-09-23,3,25.314,NOR,@,ATL,W 43-37,*,0.0,2,0
