ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1981,1981-09-06,1,23.298,PIT,,KAN,L 33-37,3,5,60.0,,,,0,3
2,1981,1981-09-10,2,23.302,PIT,@,MIA,L 10-30,1,1,100.0,1,2,50.0,0,4
3,1981,1981-09-20,3,23.312,PIT,,NYJ,W 38-10,5,5,100.0,1,1,100.0,0,8
4,1981,1981-09-27,4,23.319,PIT,,NWE,W 27-21,3,3,100.0,,2,0.0,0,3
5,1981,1981-10-04,5,23.326,PIT,@,NOR,W 20-6,2,2,100.0,2,2,100.0,0,8
6,1981,1981-10-11,6,23.333,PIT,,CLE,W 13-7,1,1,100.0,2,2,100.0,0,7
7,1981,1981-10-18,7,23.340,PIT,@,CIN,L 7-34,1,1,100.0,,,,0,1
8,1981,1981-10-26,8,23.348,PIT,,HOU,W 26-13,2,3,66.7,2,2,100.0,0,8
9,1981,1981-11-01,9,23.354,PIT,,SFO,L 14-17,2,2,100.0,,,,0,2
10,1981,1981-11-08,10,23.361,PIT,@,SEA,L 21-24,3,3,100.0,,2,0.0,0,3
11,1981,1981-11-15,11,24.003,PIT,@,ATL,W 34-20,4,5,80.0,,,,0,4
12,1981,1981-11-22,12,24.010,PIT,@,CLE,W 32-10,2,5,40.0,,,,0,2
13,1981,1981-11-29,13,24.017,PIT,,RAM,W 24-0,3,3,100.0,1,1,100.0,0,6
14,1981,1981-12-07,14,24.025,PIT,@,OAK,L 27-30,3,4,75.0,,,,0,3
15,1981,1981-12-13,15,24.031,PIT,,CIN,L 10-17,1,1,100.0,1,1,100.0,0,4
16,1981,1981-12-20,16,24.038,PIT,@,HOU,L 20-21,2,2,100.0,2,2,100.0,0,8
17,1987,1987-10-04,3,29.326,PIT,@,ATL,W 28-12,4,4,100.0,,,,0,4
18,1987,1987-10-11,4,29.333,PIT,@,RAM,L 21-31,3,3,100.0,,1,0.0,0,3
19,1987,1987-10-18,5,29.340,PIT,,IND,W 21-7,3,3,100.0,,1,0.0,0,3
