ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2016,2016-09-12,1,22.179,SFO,,LAR,W 28-0,*,0.0,1,2
2,2016,2016-09-18,2,22.185,SFO,@,CAR,L 27-46,*,0.0,1,4
3,2016,2016-09-25,3,22.192,SFO,@,SEA,L 18-37,*,0.0,1,7
4,2016,2016-10-02,4,22.199,SFO,,DAL,L 17-24,*,0.0,3,2
5,2016,2016-10-16,6,22.213,SFO,@,BUF,L 16-45,*,2.0,5,4
6,2016,2016-10-23,7,22.220,SFO,,TAM,L 17-34,*,0.0,4,2
7,2016,2016-11-06,8,22.234,SFO,,NOR,L 23-41,*,0.0,1,1
8,2016,2016-11-13,9,22.241,SFO,@,ARI,L 20-23,*,1.0,3,0
9,2016,2016-11-20,10,22.248,SFO,,NWE,L 17-30,*,0.0,2,2
10,2016,2016-11-27,11,22.255,SFO,@,MIA,L 24-31,*,0.0,3,1
11,2016,2016-12-04,12,22.262,SFO,@,CHI,L 6-26,*,0.0,4,1
12,2016,2016-12-11,13,22.269,SFO,,NYJ,L 17-23,*,2.0,10,1
13,2016,2016-12-18,14,22.276,SFO,@,ATL,L 13-41,*,0.0,3,1
14,2016,2016-12-24,15,22.282,SFO,@,LAR,W 22-21,*,1.0,1,0
15,2016,2017-01-01,16,22.290,SFO,,SEA,L 23-25,*,0.0,1,2
16,2017,2017-09-10,1,23.177,SFO,,CAR,L 3-23,*,0.0,5,1
17,2017,2017-09-17,2,23.184,SFO,@,SEA,L 9-12,*,0.0,2,2
18,2017,2017-09-21,3,23.188,SFO,,LAR,L 39-41,*,0.0,5,0
19,2017,2017-10-01,4,23.198,SFO,@,ARI,L 15-18,*,1.0,4,0
20,2017,2017-10-08,5,23.205,SFO,@,IND,L 23-26,*,0.5,1,4
21,2017,2017-10-15,6,23.212,SFO,@,WAS,L 24-26,*,0.0,4,1
22,2017,2017-10-22,7,23.219,SFO,,DAL,L 10-40,*,0.0,5,0
23,2017,2017-10-29,8,23.226,SFO,@,PHI,L 10-33,*,0.0,4,1
24,2017,2017-11-05,9,23.233,SFO,,ARI,L 10-20,*,0.0,0,2
25,2017,2017-11-12,10,23.240,SFO,,NYG,W 31-21,*,0.0,4,0
26,2017,2017-11-26,11,23.254,SFO,,SEA,L 13-24,*,0.0,1,0
27,2017,2017-12-03,12,23.261,SFO,@,CHI,W 15-14,*,0.0,0,0
28,2017,2017-12-10,13,23.268,SFO,@,HOU,W 26-16,*,1.0,1,1
29,2017,2017-12-17,14,23.275,SFO,,TEN,W 25-23,*,0.5,7,2
30,2017,2017-12-24,15,23.282,SFO,,JAX,W 44-33,*,0.0,2,1
31,2017,2017-12-31,16,23.289,SFO,@,LAR,W 34-13,*,0.0,0,1
32,2018,2018-09-09,1,24.176,SFO,@,MIN,L 16-24,*,2.5,3,4
33,2018,2018-09-16,2,24.183,SFO,,DET,W 30-27,*,1.0,5,0
34,2018,2018-09-23,3,24.190,SFO,@,KAN,L 27-38,*,0.0,2,1
