ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2011,2011-10-09,5,23.313,SFO,,TAM,W 48-3,,0.0,1,0
2,2011,2011-10-16,6,23.320,SFO,@,DET,W 25-19,,,,
3,2011,2011-10-30,7,23.334,SFO,,CLE,W 20-10,,,,
4,2011,2011-11-06,8,23.341,SFO,@,WAS,W 19-11,,,,
5,2011,2011-11-13,9,23.348,SFO,,NYG,W 27-20,,,,
6,2011,2011-11-20,10,23.355,SFO,,ARI,W 23-7,,,,
7,2011,2011-11-24,11,23.359,SFO,@,BAL,L 6-16,,,,
8,2011,2011-12-04,12,24.004,SFO,,STL,W 26-0,,,,
9,2011,2011-12-11,13,24.011,SFO,@,ARI,L 19-21,,,,
10,2011,2011-12-19,14,24.019,SFO,,PIT,W 20-3,,,,
11,2011,2011-12-24,15,24.024,SFO,@,SEA,W 19-17,,,,
12,2011,2012-01-01,16,24.032,SFO,@,STL,W 34-27,,0.0,1,0
13,2012,2012-09-09,1,24.284,SFO,@,GNB,W 30-22,,,,
14,2012,2012-09-16,2,24.291,SFO,,DET,W 27-19,,,,
15,2012,2012-09-23,3,24.298,SFO,@,MIN,L 13-24,,,,
16,2012,2012-09-30,4,24.305,SFO,@,NYJ,W 34-0,,,,
17,2012,2012-10-07,5,24.312,SFO,,BUF,W 45-3,,0.0,0,1
18,2012,2012-10-14,6,24.319,SFO,,NYG,L 3-26,,,,
19,2012,2012-10-18,7,24.323,SFO,,SEA,W 13-6,,,,
20,2012,2012-10-29,8,24.334,SFO,@,ARI,W 24-3,,,,
21,2012,2012-11-11,9,24.347,SFO,,STL,T 24-24,,0.0,1,0
22,2012,2012-11-19,10,24.355,SFO,,CHI,W 32-7,,0.0,1,1
23,2012,2012-11-25,11,24.361,SFO,@,NOR,W 31-21,,,,
24,2012,2012-12-09,13,25.009,SFO,,MIA,W 27-13,,,,
25,2013,2013-09-15,2,25.289,SFO,@,SEA,L 3-29,,0.0,0,2
26,2013,2013-09-22,3,25.296,SFO,,IND,L 7-27,,,,
27,2013,2013-09-26,4,25.300,SFO,@,STL,W 35-11,,,,
28,2013,2013-10-06,5,25.310,SFO,,HOU,W 34-3,,0.0,2,0
29,2013,2013-10-13,6,25.317,SFO,,ARI,W 32-20,,0.0,0,0
30,2013,2013-10-20,7,25.324,SFO,@,TEN,W 31-17,,,,
31,2013,2013-10-27,8,25.331,SFO,@,JAX,W 42-10,,0.0,1,0
32,2013,2013-11-10,9,25.345,SFO,,CAR,L 9-10,,0.0,1,0
33,2013,2013-11-17,10,25.352,SFO,@,NOR,L 20-23,,,,
34,2013,2013-11-25,11,25.360,SFO,@,WAS,W 27-6,,0.0,0,2
35,2013,2013-12-01,12,26.001,SFO,,STL,W 23-13,,0.0,2,2
36,2013,2013-12-08,13,26.008,SFO,,SEA,W 19-17,,,,
37,2013,2013-12-15,14,26.015,SFO,@,TAM,W 33-14,,0.0,0,1
38,2013,2013-12-23,15,26.023,SFO,,ATL,W 34-24,,,,
39,2013,2013-12-29,16,26.029,SFO,@,ARI,W 23-20,,0.0,0,1
40,2014,2014-09-07,1,26.281,SFO,@,DAL,W 28-17,,0.0,1,2
41,2014,2014-09-21,3,26.295,SFO,@,ARI,L 14-23,,0.0,1,0
42,2014,2014-09-28,4,26.302,SFO,,PHI,W 26-21,,0.0,1,0
43,2014,2014-10-05,5,26.309,SFO,,KAN,W 22-17,,,,
44,2014,2014-10-13,6,26.317,SFO,@,STL,W 31-17,,0.0,2,0
45,2014,2014-10-19,7,26.323,SFO,@,DEN,L 17-42,,0.0,3,0
46,2014,2014-11-09,9,26.344,SEA,,NYG,W 38-17,,0.0,0,2
47,2014,2014-11-16,10,26.351,SEA,@,KAN,L 20-24,,0.0,2,0
48,2014,2014-11-27,12,26.362,SEA,@,SFO,W 19-3,,0.0,2,0
49,2014,2014-12-07,13,27.007,SEA,@,PHI,W 24-14,,,,
50,2015,2015-09-13,1,27.287,SEA,@,STL,L 31-34,,0.0,0,0
51,2015,2015-09-20,2,27.294,SEA,@,GNB,L 17-27,,0.0,0,0
52,2015,2015-09-27,3,27.301,SEA,,CHI,W 26-0,,0.0,0,3
53,2015,2015-10-18,6,27.322,SEA,,CAR,L 23-27,,0.0,2,0
54,2015,2015-11-01,8,27.336,SEA,@,DAL,W 13-12,,0.0,0,0
55,2015,2015-11-15,9,27.350,SEA,,ARI,L 32-39,,0.0,1,0
56,2015,2015-11-22,10,27.357,SEA,,SFO,W 29-13,,0.0,3,1
57,2015,2015-11-29,11,27.364,SEA,,PIT,W 39-30,,0.0,0,0
58,2015,2015-12-20,14,28.020,SEA,,CLE,W 30-13,,0.0,0,0
59,2015,2015-12-27,15,28.027,SEA,,STL,L 17-23,,0.0,0,0
60,2015,2016-01-03,16,28.034,SEA,@,ARI,W 36-6,,0.0,1,0
