ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-04,1,22.045,DET,@,TAM,W 11-0,,,,,,,,
2,1983,1983-09-11,2,22.052,DET,,CLE,L 26-31,,,,,,,,
3,1983,1983-09-25,4,22.066,DET,@,MIN,L 17-20,,,,,,,,
4,1983,1983-10-02,5,22.073,DET,@,RAM,L 10-21,,,,,,,,
5,1983,1983-10-09,6,22.080,DET,,GNB,W 38-14,,,,,,,,
6,1983,1983-10-16,7,22.087,DET,,CHI,W 31-17,,,,,,,,
7,1983,1983-10-23,8,22.094,DET,@,WAS,L 17-38,,,,,,,,
8,1983,1983-10-30,9,22.101,DET,@,CHI,W 38-17,,,,,,,,
9,1983,1983-11-07,10,22.109,DET,,NYG,W 15-9,,,,,,,,
10,1983,1983-11-20,12,22.122,DET,@,GNB,W 23-20,,,,,,,,
11,1983,1983-11-24,13,22.126,DET,,PIT,W 45-3,,,,,,,,
12,1983,1983-12-05,14,22.137,DET,,MIN,W 13-2,,,,,,,,
13,1983,1983-12-11,15,22.143,DET,@,CIN,L 9-17,,,,,,,,
14,1983,1983-12-18,16,22.150,DET,,TAM,W 23-20,,,,,,,,
15,1984,1984-09-02,1,23.043,DET,,SFO,L 27-30,0,0,,0,,,,
16,1984,1984-09-09,2,23.050,DET,@,ATL,W 27-24,0,0,,0,,,,
17,1984,1984-09-16,3,23.057,DET,@,TAM,L 17-21,0,0,,0,,,,
18,1984,1984-09-23,4,23.064,DET,,MIN,L 28-29,0,0,,0,,,,
19,1984,1984-09-30,5,23.071,DET,@,SDG,L 24-27,0,0,,0,,,,
20,1984,1984-10-07,6,23.078,DET,,DEN,L 7-28,0,0,,0,,,,
21,1984,1984-10-14,7,23.085,DET,,TAM,W 13-7,0,0,,0,,,,
22,1984,1984-10-21,8,23.092,DET,@,MIN,W 16-14,0,0,,0,,,,
23,1984,1984-10-28,9,23.099,DET,@,GNB,L 9-41,0,0,,0,,,,
24,1984,1984-11-04,10,23.106,DET,,PHI,T 23-23,0,0,,0,,,,
25,1984,1984-11-11,11,23.113,DET,@,WAS,L 14-28,1,0,0.00,0,0.0,0,0,0
26,1984,1984-11-18,12,23.120,DET,@,CHI,L 14-16,0,0,,0,,,,
27,1984,1984-11-22,13,23.124,DET,,GNB,W 31-28,0,0,,0,,,,
28,1984,1984-12-02,14,23.134,DET,@,SEA,L 17-38,0,0,,0,,,,
29,1984,1984-12-10,15,23.142,DET,,RAI,L 3-24,0,0,,0,,,,
30,1984,1984-12-16,16,23.148,DET,,CHI,L 13-30,0,0,,0,,,,
