ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1972,1972-09-17,1,23.134,ATL,@,CHI,W 37-21
2,1972,1972-09-24,2,23.141,ATL,@,NWE,L 20-21
3,1972,1972-10-01,3,23.148,ATL,,RAM,W 31-3
4,1972,1972-10-08,4,23.155,ATL,,DET,L 23-26
5,1972,1972-10-15,5,23.162,ATL,@,NOR,W 21-14
6,1972,1972-10-22,6,23.169,ATL,@,GNB,W 10-9
7,1972,1972-10-29,7,23.176,ATL,,SFO,L 14-49
8,1972,1972-11-05,8,23.183,ATL,@,RAM,L 7-20
9,1972,1972-11-12,9,23.190,ATL,,NOR,W 36-20
10,1972,1972-11-20,10,23.198,ATL,@,WAS,L 13-24
11,1972,1972-11-26,11,23.204,ATL,,DEN,W 23-20
12,1972,1972-12-03,12,23.211,ATL,,HOU,W 20-10
13,1972,1972-12-10,13,23.218,ATL,@,SFO,L 0-20
14,1972,1972-12-17,14,23.225,ATL,,KAN,L 14-17
15,1973,1973-09-16,1,24.133,ATL,@,NOR,W 62-7
16,1973,1973-09-23,2,24.140,ATL,@,RAM,L 0-31
17,1973,1973-10-01,3,24.148,ATL,@,DET,L 6-31
18,1973,1973-10-07,4,24.154,ATL,,SFO,L 9-13
19,1973,1973-10-14,5,24.161,ATL,,CHI,W 46-6
20,1973,1973-10-21,6,24.168,ATL,@,SDG,W 41-0
21,1973,1973-10-28,7,24.175,ATL,@,SFO,W 17-3
22,1973,1973-11-04,8,24.182,ATL,,RAM,W 15-13
23,1973,1973-11-11,9,24.189,ATL,@,PHI,W 44-27
24,1973,1973-11-19,10,24.197,ATL,,MIN,W 20-14
25,1973,1973-11-25,11,24.203,ATL,@,NYJ,W 28-20
26,1973,1973-12-02,12,24.210,ATL,,BUF,L 6-17
27,1973,1973-12-09,13,24.217,ATL,,STL,L 10-32
28,1973,1973-12-16,14,24.224,ATL,,NOR,W 14-10
29,1974,1974-09-15,1,25.132,ATL,,DAL,L 0-24
30,1974,1974-09-22,2,25.139,ATL,,SFO,L 10-16
31,1974,1974-09-29,3,25.146,ATL,@,NOR,L 13-14
32,1974,1974-10-06,4,25.153,ATL,@,NYG,W 14-7
33,1974,1974-10-13,5,25.160,ATL,,CHI,W 13-10
34,1974,1974-10-20,6,25.167,ATL,,NOR,L 3-13
35,1974,1974-10-28,7,25.175,ATL,@,PIT,L 17-24
36,1974,1974-11-03,8,25.181,ATL,@,MIA,L 7-42
37,1974,1974-11-10,9,25.188,ATL,@,RAM,L 0-21
38,1974,1974-11-17,10,25.195,ATL,,BAL,L 7-17
39,1974,1974-11-24,11,25.202,ATL,@,SFO,L 0-27
40,1974,1974-12-01,12,25.209,ATL,,RAM,L 7-30
41,1974,1974-12-07,13,25.215,ATL,@,MIN,L 10-23
42,1974,1974-12-15,14,25.223,ATL,,GNB,W 10-3
43,1975,1975-09-21,1,26.138,ATL,@,STL,L 20-23
44,1975,1975-10-05,3,26.152,ATL,,NOR,W 14-7
45,1975,1975-10-12,4,26.159,ATL,@,SFO,W 17-3
46,1975,1975-10-19,5,26.166,ATL,@,RAM,L 7-22
47,1975,1975-10-26,6,26.173,ATL,,CIN,L 14-21
48,1975,1975-11-02,7,26.180,ATL,@,NOR,L 7-23
49,1975,1975-11-09,8,26.187,ATL,@,MIN,L 0-38
50,1975,1975-11-16,9,26.194,ATL,,RAM,L 7-16
51,1975,1975-11-23,10,26.201,ATL,,DEN,W 35-21
52,1975,1975-11-30,11,26.208,ATL,@,OAK,L 34-37
53,1975,1975-12-07,12,26.215,ATL,,WAS,L 27-30
54,1975,1975-12-14,13,26.222,ATL,,SFO,W 31-9
55,1975,1975-12-21,14,26.229,ATL,@,GNB,L 13-22
56,1976,1976-09-12,1,27.129,HOU,,TAM,W 20-0
57,1976,1976-09-19,2,27.136,HOU,@,BUF,W 13-3
58,1976,1976-09-26,3,27.143,HOU,,OAK,L 13-14
59,1976,1976-10-03,4,27.150,HOU,@,NOR,W 31-26
60,1976,1976-10-10,5,27.157,HOU,,DEN,W 17-3
61,1976,1976-10-17,6,27.164,HOU,@,SDG,L 27-30
62,1976,1976-10-24,7,27.171,HOU,,CIN,L 7-27
63,1976,1976-11-01,8,27.179,HOU,@,BAL,L 14-38
64,1976,1976-11-07,9,27.185,HOU,,CLE,L 7-21
65,1976,1976-11-14,10,27.192,HOU,@,CIN,L 27-31
66,1976,1976-11-21,11,27.199,HOU,@,PIT,L 16-32
67,1976,1976-11-28,12,27.206,HOU,,ATL,W 20-14
68,1976,1976-12-05,13,27.213,HOU,@,CLE,L 10-13
69,1976,1976-12-11,14,27.219,HOU,,PIT,L 0-21
70,1977,1977-09-18,1,28.135,GNB,@,NOR,W 24-20
71,1977,1977-10-23,6,28.170,GNB,@,TAM,W 13-0
72,1977,1977-10-30,7,28.177,GNB,,CHI,L 0-26
73,1977,1977-11-27,11,28.205,GNB,,MIN,L 6-13
74,1977,1977-12-04,12,28.212,GNB,,DET,W 10-9
75,1977,1977-12-11,13,28.219,GNB,@,CHI,L 10-21
76,1977,1977-12-18,14,28.226,GNB,,SFO,W 16-14
