ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1997,1997-08-31,1,23.226,TEN,,OAK,W 24-21,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
2,1997,1997-09-07,2,23.233,TEN,@,MIA,L 13-16,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,,,,
3,1997,1997-09-21,3,23.247,TEN,,BAL,L 10-36,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,4,143,35.75,0,2,2,1.00,0,,0,0,0.0,,
4,1997,1997-09-28,4,23.254,TEN,@,PIT,L 24-37,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,6,126,21.00,0,0,0,,0,,0,0,0.0,,
5,1997,1997-10-05,5,23.261,TEN,@,SEA,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,3,50,16.67,0,0,0,,0,,0,0,0.0,,
6,1997,1997-10-12,6,23.268,TEN,,CIN,W 30-7,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,,,,
7,1997,1997-10-19,7,23.275,TEN,,WAS,W 28-14,,2,2,32,16.00,0,100.0%,16.00,0,0,,0,3,45,15.00,0,0,0,,0,,0,0,0.0,,
8,1997,1997-10-26,8,23.282,TEN,@,ARI,W 41-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,,,,
9,1997,1997-11-02,9,23.289,TEN,,JAX,L 24-30,,0,0,0,,0,0.0%,,0,0,,0,6,126,21.00,0,0,0,,0,,0,0,0.0,,
10,1997,1997-11-09,10,23.296,TEN,,NYG,W 10-6,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,0,0,,0,,0,0,0.0,,
11,1997,1997-11-16,11,23.303,TEN,@,JAX,L 9-17,,0,0,0,,0,0.0%,,0,0,,0,3,44,14.67,0,0,0,,0,,0,0,0.0,,
12,1997,1997-11-23,12,23.310,TEN,,BUF,W 31-14,,5,2,40,20.00,0,40.0%,8.00,1,-7,-7.00,0,0,0,,0,3,42,14.00,0,,0,0,0.0,,
13,1997,1997-11-27,13,23.314,TEN,@,DAL,W 27-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,19,9.50,0,,0,0,0.0,,
14,1997,1997-12-04,14,23.321,TEN,@,CIN,L 14-41,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,,,,
15,1997,1997-12-14,15,23.331,TEN,@,BAL,L 19-21,,6,4,36,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,5,10,2.00,0,,0,0,0.0,,
16,1997,1997-12-21,16,23.338,TEN,,PIT,W 16-6,,6,3,47,15.67,0,50.0%,7.83,0,0,,0,0,0,,0,1,22,22.00,0,,0,0,0.0,,
17,1998,1998-09-06,1,24.232,TEN,@,CIN,W 23-14,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,1,25,25.00,0,2,17,8.50,0,,0,0,0.0,,
18,1998,1998-09-13,2,24.239,TEN,,SDG,L 7-13,,3,1,18,18.00,0,33.3%,6.00,0,0,,0,3,59,19.67,0,1,1,1.00,0,,0,0,0.0,,
19,1998,1998-09-20,3,24.246,TEN,@,NWE,L 16-27,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,3,59,19.67,0,4,44,11.00,0,,0,0,0.0,,
20,1998,1998-09-27,4,24.253,TEN,,JAX,L 22-27,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,1,24,24.00,0,1,7,7.00,0,,0,0,0.0,,
21,1998,1998-10-11,5,24.267,TEN,@,BAL,W 12-8,,6,2,23,11.50,0,33.3%,3.83,0,0,,0,0,0,,0,1,0,0.00,0,,0,0,0.0,,
22,1998,1998-10-18,6,24.274,TEN,,CIN,W 44-14,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
