ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2015,2015-09-13,1,23.221,CIN,@,OAK,W 33-13,,0.0,0,0
2,2015,2015-09-20,2,23.228,CIN,,SDG,W 24-19,,0.0,0,0
3,2015,2015-09-27,3,23.235,CIN,@,BAL,W 28-24,,0.0,0,0
4,2015,2015-10-04,4,23.242,CIN,,KAN,W 36-21,,0.0,0,0
5,2015,2015-10-11,5,23.249,CIN,,SEA,W 27-24,,0.0,0,0
6,2015,2015-10-18,6,23.256,CIN,@,BUF,W 34-21,,0.0,0,0
7,2015,2015-11-01,7,23.270,CIN,@,PIT,W 16-10,,0.0,0,0
8,2015,2015-11-05,8,23.274,CIN,,CLE,W 31-10,,0.0,0,0
9,2015,2015-11-16,9,23.285,CIN,,HOU,L 6-10,,0.0,0,0
10,2015,2015-11-22,10,23.291,CIN,@,ARI,L 31-34,,0.0,0,0
11,2015,2015-11-29,11,23.298,CIN,,STL,W 31-7,,0.0,0,0
12,2015,2015-12-06,12,23.305,CIN,@,CLE,W 37-3,,0.0,0,0
13,2015,2015-12-13,13,23.312,CIN,,PIT,L 20-33,,0.0,0,0
14,2015,2015-12-20,14,23.319,CIN,@,SFO,W 24-14,,0.0,0,0
15,2015,2015-12-28,15,23.327,CIN,@,DEN,L 17-20,,0.0,0,0
16,2015,2016-01-03,16,23.333,CIN,,BAL,W 24-16,,0.0,0,0
17,2016,2016-09-11,1,24.220,CIN,@,NYJ,W 23-22,,0.0,0,0
18,2016,2016-09-18,2,24.227,CIN,@,PIT,L 16-24,,0.0,0,0
19,2016,2016-09-25,3,24.234,CIN,,DEN,L 17-29,,0.0,0,2
20,2016,2016-09-29,4,24.238,CIN,,MIA,W 22-7,,0.0,0,0
21,2016,2016-10-09,5,24.248,CIN,@,DAL,L 14-28,,0.0,0,0
22,2016,2016-10-16,6,24.255,CIN,@,NWE,L 17-35,,0.0,1,0
23,2016,2016-10-23,7,24.262,CIN,,CLE,W 31-17,,0.0,1,0
24,2016,2016-10-30,8,24.269,CIN,,WAS,T 27-27,,0.0,0,0
25,2016,2016-11-14,9,24.284,CIN,@,NYG,L 20-21,,0.0,0,0
26,2016,2016-11-20,10,24.290,CIN,,BUF,L 12-16,,0.0,0,2
27,2016,2016-12-24,15,24.324,CIN,@,HOU,L 10-12,,0.0,0,0
28,2016,2017-01-01,16,24.332,CIN,,BAL,W 27-10,,0.0,1,0
29,2017,2017-09-10,1,25.218,CIN,,BAL,L 0-20,,0.0,0,0
30,2017,2017-09-14,2,25.222,CIN,,HOU,L 9-13,,0.0,0,0
31,2017,2017-10-29,7,25.267,CIN,,IND,W 24-23,,0.0,0,0
32,2017,2017-11-12,9,25.281,CLE,@,DET,L 24-38,,0.0,0,0
33,2017,2017-11-19,10,25.288,CLE,,JAX,L 7-19,,0.0,0,0
34,2017,2017-12-03,12,25.302,CLE,@,LAC,L 10-19,,0.0,0,0
35,2017,2017-12-10,13,25.309,CLE,,GNB,L 21-27,,0.0,0,0
36,2017,2017-12-17,14,25.316,CLE,,BAL,L 10-27,,0.0,0,0
37,2017,2017-12-24,15,25.323,CLE,@,CHI,L 3-20,,0.0,0,0
38,2017,2017-12-31,16,25.330,CLE,@,PIT,L 24-28,,0.0,0,0
