ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1974,1974-09-15,1,23.011,MIA,@,NWE,L 24-34
2,1974,1974-09-22,2,23.018,MIA,@,BUF,W 24-16
3,1974,1974-10-07,4,23.033,MIA,,NYJ,W 21-17
4,1974,1974-10-13,5,23.039,MIA,@,WAS,L 17-20
5,1974,1974-10-20,6,23.046,MIA,,KAN,W 9-3
6,1974,1974-10-27,7,23.053,MIA,,BAL,W 17-7
7,1974,1974-11-03,8,23.060,MIA,,ATL,W 42-7
8,1974,1974-11-10,9,23.067,MIA,@,NOR,W 21-0
9,1974,1974-11-17,10,23.074,MIA,,BUF,W 35-28
10,1974,1974-11-24,11,23.081,MIA,@,NYJ,L 14-17
11,1974,1974-12-02,12,23.089,MIA,,CIN,W 24-3
12,1974,1974-12-08,13,23.095,MIA,@,BAL,W 17-16
13,1974,1974-12-15,14,23.102,MIA,,NWE,W 34-27
14,1975,1975-09-22,1,24.018,MIA,,OAK,L 21-31
15,1975,1975-09-28,2,24.024,MIA,@,NWE,W 22-14
16,1975,1975-10-05,3,24.031,MIA,@,GNB,W 31-7
17,1975,1975-10-12,4,24.038,MIA,,PHI,W 24-16
18,1975,1975-10-19,5,24.045,MIA,@,NYJ,W 43-0
19,1975,1975-10-26,6,24.052,MIA,@,BUF,W 35-30
20,1975,1975-11-02,7,24.059,MIA,@,CHI,W 46-13
21,1975,1975-11-09,8,24.066,MIA,,NYJ,W 27-7
22,1975,1975-11-16,9,24.073,MIA,@,HOU,L 19-20
23,1975,1975-11-23,10,24.080,MIA,,BAL,L 17-33
24,1975,1975-12-01,11,24.088,MIA,,NWE,W 20-7
25,1975,1975-12-07,12,24.094,MIA,,BUF,W 31-21
26,1975,1975-12-14,13,24.101,MIA,@,BAL,L 7-10
27,1975,1975-12-20,14,24.107,MIA,,DEN,W 14-13
28,1976,1976-09-13,1,25.009,MIA,@,BUF,W 30-21
29,1976,1976-09-19,2,25.015,MIA,@,NWE,L 14-30
30,1976,1976-09-26,3,25.022,MIA,,NYJ,W 16-0
31,1976,1976-10-03,4,25.029,MIA,,RAM,L 28-31
32,1976,1976-10-10,5,25.036,MIA,@,BAL,L 14-28
33,1976,1976-10-17,6,25.043,MIA,,KAN,L 17-20
34,1976,1976-10-24,7,25.050,MIA,@,TAM,W 23-20
35,1976,1976-10-31,8,25.057,MIA,,NWE,W 10-3
36,1976,1976-11-07,9,25.064,MIA,@,NYJ,W 27-7
37,1976,1976-11-14,10,25.071,MIA,@,PIT,L 3-14
38,1976,1976-11-22,11,25.079,MIA,,BAL,L 16-17
39,1976,1976-11-28,12,25.085,MIA,@,CLE,L 13-17
40,1976,1976-12-05,13,25.092,MIA,,BUF,W 45-27
41,1976,1976-12-11,14,25.098,MIA,,MIN,L 7-29
42,1978,1978-09-17,3,27.013,NOR,,PHI,L 17-24
43,1978,1978-09-24,4,27.020,NOR,@,CIN,W 20-18
44,1978,1978-10-01,5,27.027,NOR,,RAM,L 20-26
45,1978,1978-10-08,6,27.034,NOR,,CLE,L 16-24
46,1978,1978-10-15,7,27.041,NOR,@,SFO,W 14-7
47,1978,1978-10-22,8,27.048,NOR,@,RAM,W 10-3
48,1978,1978-10-29,9,27.055,NOR,,NYG,W 28-17
49,1978,1978-11-05,10,27.062,NOR,@,PIT,L 14-20
50,1978,1978-11-12,11,27.069,NOR,,ATL,L 17-20
