ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1978,1978-09-03,1,22.084,MIA,@,NYJ,L 20-33,
2,1978,1978-09-10,2,22.091,MIA,@,BAL,W 42-0,
3,1978,1978-09-17,3,22.098,MIA,,BUF,W 31-24,
4,1978,1978-09-24,4,22.105,MIA,@,PHI,L 3-17,
5,1978,1978-10-01,5,22.112,MIA,,STL,W 24-10,
6,1978,1978-10-09,6,22.120,MIA,,CIN,W 21-0,
7,1978,1978-10-15,7,22.126,MIA,@,SDG,W 28-21,
8,1978,1978-10-22,8,22.133,MIA,@,NWE,L 24-33,
9,1978,1978-10-29,9,22.140,MIA,,BAL,W 26-8,
10,1978,1978-11-05,10,22.147,MIA,,DAL,W 23-16,
11,1978,1978-11-12,11,22.154,MIA,@,BUF,W 25-24,
12,1978,1978-11-20,12,22.162,MIA,@,HOU,L 30-35,
13,1978,1978-11-26,13,22.168,MIA,,NYJ,L 13-24,
14,1978,1978-12-03,14,22.175,MIA,@,WAS,W 16-0,
15,1978,1978-12-10,15,22.182,MIA,,OAK,W 23-6,
16,1978,1978-12-18,16,22.190,MIA,,NWE,W 23-3,
17,1979,1979-09-02,1,23.083,MIA,@,BUF,W 9-7,
18,1979,1979-09-09,2,23.090,MIA,,SEA,W 19-10,
19,1979,1979-09-16,3,23.097,MIA,@,MIN,W 27-12,
20,1979,1979-09-23,4,23.104,MIA,,CHI,W 31-16,
21,1979,1979-09-30,5,23.111,MIA,@,NYJ,L 27-33,
22,1979,1979-10-08,6,23.119,MIA,@,OAK,L 3-13,
23,1979,1979-10-14,7,23.125,MIA,,BUF,W 17-7,
24,1979,1979-10-21,8,23.132,MIA,@,NWE,L 13-28,
25,1979,1979-10-28,9,23.139,MIA,,GNB,W 27-7,
26,1979,1979-11-05,10,23.147,MIA,,HOU,L 6-9,
27,1979,1979-11-11,11,23.153,MIA,,BAL,W 19-0,
28,1979,1979-11-18,12,23.160,MIA,@,CLE,L 24-30,
29,1979,1979-11-25,13,23.167,MIA,@,BAL,W 28-24,
30,1979,1979-11-29,14,23.171,MIA,,NWE,W 39-24,
31,1979,1979-12-09,15,23.181,MIA,@,DET,W 28-10,
32,1979,1979-12-15,16,23.187,MIA,,NYJ,L 24-27,
33,1980,1980-09-07,1,24.088,MIA,@,BUF,L 7-17,
34,1980,1980-09-14,2,24.095,MIA,,CIN,W 17-16,
35,1980,1980-09-21,3,24.102,MIA,@,ATL,W 20-17,
36,1980,1980-09-28,4,24.109,MIA,,NOR,W 21-16,
37,1980,1980-10-05,5,24.116,MIA,,BAL,L 17-30,
38,1980,1980-10-12,6,24.123,MIA,@,NWE,L 0-34,
39,1980,1980-10-19,7,24.130,MIA,,BUF,W 17-14,
40,1980,1980-10-27,8,24.138,MIA,@,NYJ,L 14-17,
41,1980,1980-11-02,9,24.144,MIA,@,OAK,L 10-16,
42,1980,1980-11-09,10,24.151,MIA,@,RAM,W 35-14,
