ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,1999,1999-09-12,1,23.185,PHI,,ARI,L 24-25,*
2,1999,1999-09-19,2,23.192,PHI,,TAM,L 5-19,*
3,1999,1999-09-26,3,23.199,PHI,@,BUF,L 0-26,*
4,1999,1999-10-03,4,23.206,PHI,@,NYG,L 15-16,*
5,1999,1999-10-10,5,23.213,PHI,,DAL,W 13-10,*
6,1999,1999-10-17,6,23.220,PHI,@,CHI,W 20-16,*
7,1999,1999-10-24,7,23.227,PHI,@,MIA,L 13-16,*
8,1999,1999-10-31,8,23.234,PHI,,NYG,L 17-23,*
9,1999,1999-11-07,9,23.241,PHI,@,CAR,L 7-33,*
10,1999,1999-11-14,10,23.248,PHI,,WAS,W 35-28,*
11,1999,1999-11-21,11,23.255,PHI,,IND,L 17-44,*
12,1999,1999-11-28,12,23.262,PHI,@,WAS,L 17-20,*
13,1999,1999-12-05,13,23.269,PHI,@,ARI,L 17-21,*
14,1999,1999-12-12,14,23.276,PHI,@,DAL,L 10-20,*
15,1999,1999-12-19,15,23.283,PHI,,NWE,W 24-9,*
16,1999,2000-01-02,16,23.297,PHI,,STL,W 38-31,*
17,2000,2000-09-03,1,24.176,PHI,@,DAL,W 41-14,
18,2000,2000-09-10,2,24.183,PHI,,NYG,L 18-33,
19,2000,2000-09-17,3,24.190,PHI,@,GNB,L 3-6,
20,2000,2000-09-24,4,24.197,PHI,@,NOR,W 21-7,
21,2000,2000-10-01,5,24.204,PHI,,ATL,W 38-10,
22,2000,2000-10-08,6,24.211,PHI,,WAS,L 14-17,
23,2000,2000-10-15,7,24.218,PHI,@,ARI,W 33-14,
24,2000,2000-10-22,8,24.225,PHI,,CHI,W 13-9,
25,2000,2000-10-29,9,24.232,PHI,@,NYG,L 7-24,
26,2000,2000-11-05,10,24.239,PHI,,DAL,W 16-13,
27,2000,2000-11-12,11,24.246,PHI,@,PIT,W 26-23,
28,2000,2000-11-19,12,24.253,PHI,,ARI,W 34-9,
29,2000,2000-11-26,13,24.260,PHI,@,WAS,W 23-20,
30,2000,2000-12-03,14,24.267,PHI,,TEN,L 13-15,
31,2000,2000-12-10,15,24.274,PHI,@,CLE,W 35-24,
32,2000,2000-12-24,16,24.288,PHI,,CIN,W 16-7,
33,2001,2001-09-09,1,25.182,PHI,,STL,L 17-20,
34,2001,2001-09-23,2,25.196,PHI,@,SEA,W 27-3,
35,2001,2001-09-30,3,25.203,PHI,,DAL,W 40-18,*
36,2001,2001-10-07,4,25.210,PHI,,ARI,L 20-21,
37,2001,2001-10-22,5,25.225,PHI,@,NYG,W 10-9,
38,2001,2001-10-28,6,25.231,PHI,,OAK,L 10-20,
39,2001,2001-11-04,7,25.238,PHI,@,ARI,W 21-7,
40,2001,2001-11-11,8,25.245,PHI,,MIN,W 48-17,
41,2001,2001-11-18,9,25.252,PHI,@,DAL,W 36-3,
42,2001,2001-11-25,10,25.259,PHI,,WAS,L 3-13,
43,2001,2001-11-29,11,25.263,PHI,@,KAN,W 23-10,
44,2001,2001-12-09,12,25.273,PHI,,SDG,W 24-14,
45,2001,2001-12-16,13,25.280,PHI,@,WAS,W 20-6,
46,2001,2001-12-22,14,25.286,PHI,@,SFO,L 3-13,
47,2001,2001-12-30,15,25.294,PHI,,NYG,W 24-21,
48,2001,2002-01-06,16,25.301,PHI,@,TAM,W 17-13,
49,2002,2002-09-08,1,26.181,PHI,@,TEN,L 24-27,
50,2002,2002-09-16,2,26.189,PHI,@,WAS,W 37-7,*
51,2002,2002-09-22,3,26.195,PHI,,DAL,W 44-13,*
52,2002,2002-09-29,4,26.202,PHI,,HOU,W 35-17,*
53,2002,2002-10-06,5,26.209,PHI,@,JAX,L 25-28,*
54,2002,2002-10-20,6,26.223,PHI,,TAM,W 20-10,
55,2002,2002-10-28,7,26.231,PHI,,NYG,W 17-3,
56,2002,2002-11-03,8,26.237,PHI,@,CHI,W 19-13,
57,2002,2002-11-10,9,26.244,PHI,,IND,L 13-35,
58,2002,2002-11-17,10,26.251,PHI,,ARI,W 38-14,*
59,2002,2002-11-25,11,26.259,PHI,@,SFO,W 38-17,
60,2002,2002-12-01,12,26.265,PHI,,STL,W 10-3,
61,2002,2002-12-08,13,26.272,PHI,@,SEA,W 27-20,
62,2002,2002-12-15,14,26.279,PHI,,WAS,W 34-21,
63,2002,2002-12-21,15,26.285,PHI,@,DAL,W 27-3,
64,2002,2002-12-28,16,26.292,PHI,@,NYG,L 7-10,
65,2003,2003-12-21,15,27.285,CAR,,DET,W 20-14,
66,2004,2004-09-13,1,28.186,CAR,,GNB,L 14-24,*
67,2004,2004-09-19,2,28.192,CAR,@,KAN,W 28-17,*
68,2004,2004-10-03,3,28.206,CAR,,ATL,L 10-27,*
69,2004,2004-10-10,4,28.213,CAR,@,DEN,L 17-20,*
70,2004,2004-10-17,5,28.220,CAR,@,PHI,L 8-30,*
71,2004,2004-10-24,6,28.227,CAR,,SDG,L 6-17,*
72,2004,2004-10-31,7,28.234,CAR,@,SEA,L 17-23,*
73,2004,2004-11-07,8,28.241,CAR,,OAK,L 24-27,*
