ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1971,1971-09-19,1,22.219,CLE,,HOU,W 31-0,,,,,,,,,,
2,1971,1971-09-26,2,22.226,CLE,@,BAL,W 14-13,,,,,,,,,,
3,1971,1971-10-04,3,22.234,CLE,,OAK,L 20-34,,,,,,,,,,
4,1971,1971-10-10,4,22.240,CLE,,PIT,W 27-17,,,,,,,,,,
5,1971,1971-10-17,5,22.247,CLE,@,CIN,W 27-24,,,,,,,,,,
6,1971,1971-10-24,6,22.254,CLE,,DEN,L 0-27,,,,,,,,,,
7,1971,1971-10-31,7,22.261,CLE,,ATL,L 14-31,,,,,,,,,,
8,1971,1971-11-07,8,22.268,CLE,@,PIT,L 9-26,0,0,,0,1,16,16.00,0,0,0
9,1971,1971-11-14,9,22.275,CLE,@,KAN,L 7-13,,,,,,,,,,
10,1971,1971-11-21,10,22.282,CLE,,NWE,W 27-7,,,,,,,,,,
11,1971,1971-11-28,11,22.289,CLE,@,HOU,W 37-24,,,,,,,,,,
12,1971,1971-12-05,12,22.296,CLE,,CIN,W 31-27,,,,,,,,,,
13,1971,1971-12-12,13,22.303,CLE,@,NOR,W 21-17,,,,,,,,,,
14,1971,1971-12-19,14,22.310,CLE,@,WAS,W 20-13,,,,,,,,,,
15,1972,1972-09-17,1,23.218,CLE,,GNB,L 10-26,,,,,,,,,,
16,1972,1972-09-24,2,23.225,CLE,@,PHI,W 27-17,,,,,,,,,,
17,1972,1972-10-01,3,23.232,CLE,,CIN,W 27-6,,,,,,,,,,
18,1972,1972-10-08,4,23.239,CLE,,KAN,L 7-31,,,,,,,,,,
19,1972,1972-10-15,5,23.246,CLE,,CHI,L 0-17,,,,,,,,,,
20,1972,1972-10-22,6,23.253,CLE,@,HOU,W 23-17,,,,,,,,,,
21,1972,1972-10-29,7,23.260,CLE,@,DEN,W 27-20,,,,,,,,,,
22,1972,1972-11-05,8,23.267,CLE,,HOU,W 20-0,,,,,,,,,,
23,1972,1972-11-13,9,23.275,CLE,@,SDG,W 21-17,,,,,,,,,,
24,1972,1972-11-19,10,23.281,CLE,,PIT,W 26-24,,,,,,,,,,
25,1972,1972-11-26,11,23.288,CLE,,BUF,W 27-10,,,,,,,,,,
26,1972,1972-12-03,12,23.295,CLE,@,PIT,L 0-30,,,,,,,,,,
