ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1993,1993-09-05,1,23.311,SDG,,SEA,W 18-12
2,1993,1993-09-12,2,23.318,SDG,@,DEN,L 17-34
3,1993,1993-10-03,4,23.339,SDG,@,SEA,L 14-31
4,1993,1993-10-10,5,23.346,SDG,@,PIT,L 3-16
5,1993,1993-10-17,6,23.353,SDG,,KAN,L 14-17
6,1993,1993-10-31,7,24.002,SDG,@,RAI,W 30-23
7,1993,1993-12-19,14,24.051,SDG,@,KAN,L 24-28
8,1993,1993-12-27,15,24.059,SDG,,MIA,W 45-20
9,1994,1994-09-04,1,24.310,SDG,@,DEN,W 37-34
10,1994,1994-09-11,2,24.317,SDG,,CIN,W 27-10
11,1994,1994-09-18,3,24.324,SDG,@,SEA,W 24-10
12,1994,1994-09-25,4,24.331,SDG,@,RAI,W 26-24
13,1994,1994-10-09,5,24.345,SDG,,KAN,W 20-6
14,1994,1994-10-16,6,24.352,SDG,@,NOR,W 36-22
15,1994,1994-10-23,7,24.359,SDG,,DEN,L 15-20
16,1994,1994-10-30,8,25.001,SDG,,SEA,W 35-15
17,1994,1994-11-13,10,25.015,SDG,@,KAN,W 14-13
18,1994,1994-11-20,11,25.022,SDG,@,NWE,L 17-23
19,1994,1994-11-27,12,25.029,SDG,,RAM,W 31-17
20,1994,1994-12-05,13,25.037,SDG,,RAI,L 17-24
21,1994,1994-12-11,14,25.043,SDG,,SFO,L 15-38
22,1994,1994-12-18,15,25.050,SDG,@,NYJ,W 21-6
23,1994,1994-12-24,16,25.056,SDG,,PIT,W 37-34
