ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2013,2013-12-22,15,23.290,JAX,,TEN,L 16-20,
2,2013,2013-12-29,16,23.297,JAX,@,IND,L 10-30,
3,2015,2015-09-13,1,25.190,SEA,@,STL,L 31-34,*
4,2015,2015-09-20,2,25.197,SEA,@,GNB,L 17-27,*
5,2015,2015-09-27,3,25.204,SEA,,CHI,W 26-0,*
6,2015,2015-10-05,4,25.212,SEA,,DET,W 13-10,*
7,2015,2015-10-11,5,25.218,SEA,@,CIN,L 24-27,*
8,2015,2015-10-18,6,25.225,SEA,,CAR,L 23-27,
9,2015,2015-10-22,7,25.229,SEA,@,SFO,W 20-3,*
10,2015,2015-11-01,8,25.239,SEA,@,DAL,W 13-12,*
