ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1997,1997-08-31,1,22.185,PHI,@,NYG,L 17-31,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
2,1997,1997-09-07,2,22.192,PHI,,GNB,W 10-9,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
3,1997,1997-09-15,3,22.200,PHI,@,DAL,L 20-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
4,1997,1997-09-28,4,22.213,PHI,@,MIN,L 19-28,,0,0,,0,0,0,0,,0,0.0%,,5,106,21.20,0,0,0
5,1997,1997-10-05,5,22.220,PHI,,WAS,W 24-10,,0,0,,0,0,0,0,,0,0.0%,,3,67,22.33,0,0,0
6,1997,1997-10-12,6,22.227,PHI,@,JAX,L 21-38,,1,-1,-1.00,0,0,0,0,,0,0.0%,,6,132,22.00,0,0,0
7,1997,1997-10-19,7,22.234,PHI,,ARI,W 13-10,,0,0,,0,0,0,0,,0,0.0%,,2,66,33.00,0,0,0
8,1997,1997-10-26,8,22.241,PHI,,DAL,W 13-12,,0,0,,0,0,0,0,,0,0.0%,,3,59,19.67,0,0,0
9,1997,1997-11-02,9,22.248,PHI,@,ARI,L 21-31,,0,0,,0,0,0,0,,0,0.0%,,3,95,31.67,0,0,0
10,1997,1997-11-10,10,22.256,PHI,,SFO,L 12-24,,0,0,,0,0,0,0,,0,0.0%,,4,91,22.75,0,0,0
11,1997,1997-11-16,11,22.262,PHI,@,BAL,T 10-10,,0,0,,0,0,0,0,,0,0.0%,,3,58,19.33,0,0,0
12,1997,1997-11-23,12,22.269,PHI,,PIT,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,4,62,15.50,0,0,0
13,1997,1997-11-30,13,22.276,PHI,,CIN,W 44-42,,0,0,,0,0,0,0,,0,0.0%,,7,195,27.86,0,0,0
14,1997,1997-12-07,14,22.283,PHI,,NYG,L 21-31,,,,,,0,,,,,0.0%,,0,6,,0,,
15,1997,1997-12-14,15,22.290,PHI,@,ATL,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,4,88,22.00,0,0,0
16,1997,1997-12-21,16,22.297,PHI,@,WAS,L 32-35,,6,30,5.00,0,3,2,22,11.00,0,66.7%,7.33,3,114,38.00,0,0,0
17,1998,1998-09-06,1,23.191,PHI,,SEA,L 0-38,,20,95,4.75,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0
18,1998,1998-09-13,2,23.198,PHI,@,ATL,L 12-17,,18,43,2.39,1,10,9,73,8.11,0,90.0%,7.30,0,0,,0,1,6
19,1998,1998-09-20,3,23.205,PHI,@,ARI,L 3-17,,17,67,3.94,0,7,5,24,4.80,0,71.4%,3.43,0,0,,0,0,0
20,1998,1998-09-27,4,23.212,PHI,,KAN,L 21-24,,16,73,4.56,2,2,2,23,11.50,1,100.0%,11.50,0,0,,0,3,18
21,1998,1998-10-04,5,23.219,PHI,@,DEN,L 16-41,,6,-4,-0.67,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0
22,1998,1998-10-11,6,23.226,PHI,,WAS,W 17-12,,12,47,3.92,0,1,1,4,4.00,0,100.0%,4.00,1,19,19.00,0,0,0
23,1998,1998-10-18,7,23.233,PHI,@,SDG,L 10-13,,14,41,2.93,0,3,3,35,11.67,0,100.0%,11.67,0,0,,0,0,0
24,1998,1998-11-02,8,23.248,PHI,,DAL,L 0-34,,5,56,11.20,0,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0
25,1998,1998-11-08,9,23.254,PHI,,DET,W 10-9,,17,89,5.24,0,7,7,32,4.57,0,100.0%,4.57,0,0,,0,0,0
26,1998,1998-11-15,10,23.261,PHI,@,WAS,L 3-28,,12,42,3.50,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0
27,1998,1998-11-22,11,23.268,PHI,@,NYG,L 0-20,,14,52,3.71,0,6,4,49,12.25,0,66.7%,8.17,0,0,,0,0,0
28,1998,1998-11-29,12,23.275,PHI,@,GNB,L 16-24,,15,60,4.00,0,6,5,61,12.20,0,83.3%,10.17,0,0,,0,0,0
29,1998,1998-12-03,13,23.279,PHI,,STL,W 17-14,,28,99,3.54,0,5,5,23,4.60,0,100.0%,4.60,0,0,,0,0,0
30,1998,1998-12-13,14,23.289,PHI,,ARI,L 17-20,,30,141,4.70,1,3,2,10,5.00,0,66.7%,3.33,0,0,,0,1,6
31,1998,1998-12-20,15,23.296,PHI,@,DAL,L 9-13,,18,67,3.72,0,10,7,53,7.57,0,70.0%,5.30,0,0,,0,0,0
32,1998,1998-12-27,16,23.303,PHI,,NYG,L 10-20,,16,97,6.06,1,1,1,3,3.00,0,100.0%,3.00,0,0,,0,1,6
33,1999,1999-09-12,1,24.197,PHI,,ARI,L 24-25,*,21,111,5.29,1,8,3,19,6.33,1,37.5%,2.38,0,0,,0,2,12
34,1999,1999-09-19,2,24.204,PHI,,TAM,L 5-19,*,13,42,3.23,0,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0
35,1999,1999-09-26,3,24.211,PHI,@,BUF,L 0-26,*,10,6,0.60,0,7,4,19,4.75,0,57.1%,2.71,0,0,,0,0,0
36,1999,1999-10-03,4,24.218,PHI,@,NYG,L 15-16,*,21,62,2.95,0,0,0,0,,0,0.0%,,0,0,,0,0,0
37,1999,1999-10-10,5,24.225,PHI,,DAL,W 13-10,*,22,110,5.00,0,7,4,19,4.75,0,57.1%,2.71,0,0,,0,0,0
38,1999,1999-10-17,6,24.232,PHI,@,CHI,W 20-16,*,23,101,4.39,0,6,4,37,9.25,0,66.7%,6.17,0,0,,0,0,0
39,1999,1999-10-24,7,24.239,PHI,@,MIA,L 13-16,*,19,73,3.84,0,2,2,1,0.50,0,100.0%,0.50,0,0,,0,0,0
40,1999,1999-10-31,8,24.246,PHI,,NYG,L 17-23,*,26,97,3.73,1,3,3,32,10.67,0,100.0%,10.67,0,0,,0,1,6
41,1999,1999-11-07,9,24.253,PHI,@,CAR,L 7-33,*,17,140,8.24,1,3,2,11,5.50,0,66.7%,3.67,0,0,,0,1,6
42,1999,1999-11-14,10,24.260,PHI,,WAS,W 35-28,*,28,122,4.36,1,2,1,11,11.00,0,50.0%,5.50,0,0,,0,1,6
43,1999,1999-11-21,11,24.267,PHI,,IND,L 17-44,*,16,78,4.88,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0
44,1999,1999-11-28,12,24.274,PHI,@,WAS,L 17-20,*,19,44,2.32,0,7,4,39,9.75,0,57.1%,5.57,0,0,,0,0,0
45,1999,1999-12-05,13,24.281,PHI,@,ARI,L 17-21,*,25,72,2.88,0,5,5,42,8.40,0,100.0%,8.40,0,0,,0,0,0
46,1999,1999-12-12,14,24.288,PHI,@,DAL,L 10-20,*,18,78,4.33,0,5,3,11,3.67,0,60.0%,2.20,0,0,,0,0,0
47,1999,1999-12-19,15,24.295,PHI,,NWE,W 24-9,*,29,93,3.21,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
48,1999,2000-01-02,16,24.309,PHI,,STL,W 38-31,*,18,44,2.44,0,3,2,14,7.00,1,66.7%,4.67,0,0,,0,1,6
49,2000,2000-09-03,1,25.189,PHI,@,DAL,W 41-14,*,26,201,7.73,1,7,4,61,15.25,0,57.1%,8.71,0,0,,0,1,6
50,2000,2000-09-10,2,25.196,PHI,,NYG,L 18-33,*,7,11,1.57,0,9,7,58,8.29,0,77.8%,6.44,0,0,,0,0,0
51,2000,2000-09-17,3,25.203,PHI,@,GNB,L 3-6,,17,60,3.53,0,9,8,62,7.75,0,88.9%,6.89,0,0,,0,0,0
52,2000,2000-09-24,4,25.210,PHI,@,NOR,W 21-7,*,18,44,2.44,0,5,3,16,5.33,0,60.0%,3.20,0,0,,0,0,0
53,2000,2000-10-01,5,25.217,PHI,,ATL,W 38-10,*,11,28,2.55,0,3,3,4,1.33,0,100.0%,1.33,0,0,,0,0,0
54,2001,2001-09-09,1,26.194,PHI,,STL,L 17-20,*,9,9,1.00,0,15,11,81,7.36,0,73.3%,5.40,0,0,,0,0,0
55,2001,2001-09-23,2,26.208,PHI,@,SEA,W 27-3,*,3,12,4.00,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0
56,2001,2001-10-22,5,26.237,PHI,@,NYG,W 10-9,,3,22,7.33,0,5,4,23,5.75,0,80.0%,4.60,0,0,,0,0,0
57,2001,2001-10-28,6,26.243,PHI,,OAK,L 10-20,,3,19,6.33,1,5,2,35,17.50,0,40.0%,7.00,0,0,,0,1,6
58,2001,2001-11-04,7,26.250,PHI,@,ARI,W 21-7,,12,49,4.08,0,0,0,0,,0,0.0%,,0,0,,0,0,0
59,2001,2001-11-11,8,26.257,PHI,,MIN,W 48-17,*,17,146,8.59,1,9,6,85,14.17,0,66.7%,9.44,0,0,,0,1,6
60,2001,2001-11-18,9,26.264,PHI,@,DAL,W 36-3,*,26,102,3.92,0,5,4,31,7.75,0,80.0%,6.20,0,0,,0,0,0
61,2001,2001-11-25,10,26.271,PHI,,WAS,L 3-13,*,15,50,3.33,0,9,7,40,5.71,0,77.8%,4.44,0,0,,0,0,0
62,2001,2001-11-29,11,26.275,PHI,@,KAN,W 23-10,*,25,80,3.20,0,4,4,66,16.50,1,100.0%,16.50,0,0,,0,1,6
63,2001,2001-12-09,12,26.285,PHI,,SDG,W 24-14,*,15,21,1.40,0,11,5,88,17.60,1,45.5%,8.00,0,0,,0,1,6
64,2001,2001-12-16,13,26.292,PHI,@,WAS,W 20-6,*,15,36,2.40,0,11,8,73,9.13,0,72.7%,6.64,0,0,,0,0,0
65,2001,2001-12-22,14,26.298,PHI,@,SFO,L 3-13,*,15,35,2.33,0,11,9,103,11.44,0,81.8%,9.36,0,0,,0,0,0
66,2001,2001-12-30,15,26.306,PHI,,NYG,W 24-21,*,8,23,2.88,0,4,2,-1,-0.50,0,50.0%,-0.25,0,0,,0,0,0
67,2002,2002-09-08,1,27.193,PHI,@,TEN,L 24-27,*,7,18,2.57,0,7,5,47,9.40,1,71.4%,6.71,0,0,,0,1,6
68,2002,2002-09-16,2,27.201,PHI,@,WAS,W 37-7,*,15,55,3.67,0,8,7,57,8.14,0,87.5%,7.13,0,0,,0,0,0
69,2002,2002-09-22,3,27.207,PHI,,DAL,W 44-13,*,11,41,3.73,0,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0
70,2002,2002-09-29,4,27.214,PHI,,HOU,W 35-17,*,12,33,2.75,2,3,3,39,13.00,0,100.0%,13.00,0,0,,0,2,12
