ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-09-13,1,22.340,NWE,@,RAM,L 0-14,,,,,,,,
2,1992,1992-09-20,2,22.347,NWE,,SEA,L 6-10,,,,,,,,
3,1992,1992-09-27,3,22.354,NWE,,BUF,L 7-41,,,,,,,,
4,1992,1992-10-04,4,22.361,NWE,@,NYJ,L 21-30,,,,,,,,
5,1992,1992-10-11,5,23.002,NWE,,SFO,L 12-24,,,,,,,,
6,1992,1992-10-18,6,23.009,NWE,@,MIA,L 17-38,,,,,,,,
7,1992,1992-10-25,7,23.016,NWE,,CLE,L 17-19,,,,,,,,
8,1992,1992-11-01,8,23.023,NWE,@,BUF,L 7-16,0,0,,0,1.0,0,0,0
9,1992,1992-11-08,9,23.030,NWE,,NOR,L 14-31,,,,,,,,
10,1992,1992-11-15,10,23.037,NWE,@,IND,W 37-34,,,,,,,,
11,1992,1992-11-22,11,23.044,NWE,,NYJ,W 24-3,,,,,,,,
12,1992,1992-11-29,12,23.051,NWE,@,ATL,L 0-34,,,,,,,,
13,1992,1992-12-06,13,23.058,NWE,,IND,L 0-6,,,,,,,,
14,1992,1992-12-13,14,23.065,NWE,@,KAN,L 20-27,,,,,,,,
15,1992,1992-12-20,15,23.072,NWE,@,CIN,L 10-20,,,,,,,,
16,1992,1992-12-27,16,23.079,NWE,,MIA,L 13-16,,,,,,,,
17,1993,1993-09-05,1,23.331,NWE,@,BUF,L 14-38,0,0,,0,,,,
18,1993,1993-09-26,4,23.352,NWE,@,NYJ,L 7-45,0,0,,0,,,,
19,1993,1993-10-10,5,24.001,NWE,@,PHO,W 23-21,0,0,,0,,,,
20,1993,1993-10-17,6,24.008,NWE,,HOU,L 14-28,0,0,,0,,,,
21,1993,1993-10-24,7,24.015,NWE,@,SEA,L 9-10,0,0,,0,,,,
22,1993,1993-10-31,8,24.022,NWE,@,IND,L 6-9,0,0,,0,,,,
23,1993,1993-11-07,9,24.029,NWE,,BUF,L 10-13,1,0,0.00,0,0.0,0,0,0
24,1993,1993-11-21,10,24.043,NWE,@,MIA,L 13-17,0,0,,0,,,,
25,1993,1993-11-28,11,24.050,NWE,,NYJ,L 0-6,0,0,,0,,,,
26,1993,1993-12-05,12,24.057,NWE,@,PIT,L 14-17,0,0,,0,1.0,0,0,0
27,1993,1993-12-12,13,24.064,NWE,,CIN,W 7-2,0,0,,0,1.0,0,0,0
28,1993,1993-12-19,14,24.071,NWE,@,CLE,W 20-17,0,0,,0,,,,
29,1993,1993-12-26,15,24.078,NWE,,IND,W 38-0,1,0,0.00,0,0.0,0,0,0
30,1993,1994-01-02,16,24.085,NWE,,MIA,W 33-27,0,0,,0,,,,
31,1994,1994-09-04,1,24.330,NWE,@,MIA,L 35-39,0,0,,0,0.5,1,5,0
32,1994,1994-09-11,2,24.337,NWE,,BUF,L 35-38,0,0,,0,1.0,0,0,0
33,1994,1994-09-18,3,24.344,NWE,@,CIN,W 31-28,0,0,,0,1.0,0,0,0
34,1994,1994-09-25,4,24.351,NWE,@,DET,W 23-17,,,,,,,,
35,1994,1994-10-02,5,24.358,NWE,,GNB,W 17-16,,,,,,,,
36,1994,1994-10-09,6,25.000,NWE,,RAI,L 17-21,0,0,,0,0.0,1,1,0
37,1994,1994-10-16,7,25.007,NWE,@,NYJ,L 17-24,0,0,,0,1.0,0,0,0
38,1994,1994-10-30,8,25.021,NWE,,MIA,L 3-23,,,,,,,,
