ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1985,1985-09-08,1,26.360,SDG,@,BUF,W 14-9,
2,1985,1985-09-15,2,27.002,SDG,,SEA,L 35-49,1.0
3,1985,1985-09-22,3,27.009,SDG,@,CIN,W 44-41,
4,1985,1985-09-29,4,27.016,SDG,,CLE,L 7-21,
5,1985,1985-10-06,5,27.023,SDG,@,SEA,L 21-26,
6,1985,1985-10-13,6,27.030,SDG,,KAN,W 31-20,
7,1985,1985-10-20,7,27.037,SDG,@,MIN,L 17-21,
8,1985,1985-10-28,8,27.045,SDG,@,RAI,L 21-34,
9,1985,1985-11-03,9,27.051,SDG,,DEN,W 30-10,
10,1985,1985-11-10,10,27.058,SDG,,RAI,W 40-34,
11,1985,1985-11-17,11,27.065,SDG,@,DEN,L 24-30,
12,1985,1985-11-24,12,27.072,SDG,@,HOU,L 35-37,1.0
13,1985,1985-12-01,13,27.079,SDG,,BUF,W 40-7,1.0
14,1985,1985-12-08,14,27.086,SDG,,PIT,W 54-44,
15,1985,1985-12-15,15,27.093,SDG,,PHI,W 20-14,
16,1985,1985-12-22,16,27.100,SDG,@,KAN,L 34-38,
17,1986,1986-09-07,1,27.359,SDG,,MIA,W 50-28,
18,1986,1986-09-14,2,28.001,SDG,@,NYG,L 7-20,
19,1986,1986-09-21,3,28.008,SDG,,WAS,L 27-30,
20,1986,1986-09-28,4,28.015,SDG,@,RAI,L 13-17,1.0
21,1986,1986-10-06,5,28.023,SDG,@,SEA,L 7-33,
22,1986,1986-10-12,6,28.029,SDG,,DEN,L 14-31,
23,1986,1986-10-19,7,28.036,SDG,@,KAN,L 41-42,0.5
24,1986,1986-10-26,8,28.043,SDG,@,PHI,L 7-23,
25,1986,1986-11-02,9,28.050,SDG,,KAN,L 23-24,1.0
26,1986,1986-11-09,10,28.057,SDG,@,DEN,W 9-3,1.0
27,1986,1986-11-16,11,28.064,SDG,,DAL,L 21-24,
28,1986,1986-11-20,12,28.068,SDG,,RAI,L 31-37,
29,1986,1986-11-30,13,28.078,SDG,@,IND,W 17-3,1.0
30,1986,1986-12-07,14,28.085,SDG,,HOU,W 27-0,1.0
31,1986,1986-12-14,15,28.092,SDG,,SEA,L 24-34,
32,1986,1986-12-21,16,28.099,SDG,@,CLE,L 17-47,
33,1987,1987-09-13,1,29.000,SDG,@,KAN,L 13-20,
