ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1967,1967-11-12,9,23.262,DET,@,MIN,T 10-10,0,5,,0
2,1970,1970-09-20,1,26.209,DET,@,GNB,W 40-0,,,,
3,1970,1970-09-27,2,26.216,DET,,CIN,W 38-3,,,,
4,1970,1970-10-05,3,26.224,DET,,CHI,W 28-14,,,,
5,1970,1970-10-11,4,26.230,DET,@,WAS,L 10-31,,,,
6,1970,1970-10-18,5,26.237,DET,@,CLE,W 41-24,,,,
7,1970,1970-10-25,6,26.244,DET,@,CHI,W 16-10,,,,
8,1970,1970-11-01,7,26.251,DET,,MIN,L 17-30,,,,
9,1970,1970-11-08,8,26.258,DET,@,NOR,L 17-19,,,,
10,1970,1970-11-15,9,26.265,DET,@,MIN,L 20-24,,,,
11,1970,1970-11-22,10,26.272,DET,,SFO,W 28-7,,,,
12,1970,1970-11-26,11,26.276,DET,,OAK,W 28-14,,,,
13,1970,1970-12-06,12,26.286,DET,,STL,W 16-3,,,,
14,1970,1970-12-14,13,26.294,DET,@,RAM,W 28-23,,,,
15,1970,1970-12-20,14,26.300,DET,,GNB,W 20-0,,,,
16,1971,1971-09-20,1,27.209,DET,,MIN,L 13-16,,,,
17,1971,1971-09-26,2,27.215,DET,@,NWE,W 34-7,,,,
18,1971,1971-10-03,3,27.222,DET,,ATL,W 41-38,,,,
19,1971,1971-10-10,4,27.229,DET,,GNB,W 31-28,,,,
20,1971,1971-10-17,5,27.236,DET,@,HOU,W 31-7,,,,
21,1971,1971-10-24,6,27.243,DET,,CHI,L 23-28,,,,
22,1971,1971-11-01,7,27.251,DET,@,GNB,T 14-14,,,,
23,1971,1971-11-07,8,27.257,DET,@,DEN,W 24-20,,,,
24,1971,1971-11-14,9,27.264,DET,,RAM,L 13-21,,,,
25,1971,1971-11-21,10,27.271,DET,@,CHI,W 28-3,,,,
26,1971,1971-11-25,11,27.275,DET,,KAN,W 32-21,,,,
27,1971,1971-12-05,12,27.285,DET,,PHI,L 20-23,,,,
28,1971,1971-12-11,13,27.291,DET,@,MIN,L 10-29,,,,
29,1971,1971-12-19,14,27.299,DET,@,SFO,L 27-31,,,,
30,1972,1972-09-17,1,28.207,DET,,NYG,W 30-16,,,,
31,1972,1972-09-24,2,28.214,DET,,MIN,L 10-34,,,,
32,1972,1972-10-01,3,28.221,DET,@,CHI,W 38-24,,,,
33,1972,1972-10-08,4,28.228,DET,@,ATL,W 26-23,,,,
34,1972,1972-10-16,5,28.236,DET,,GNB,L 23-24,,,,
35,1972,1972-10-22,6,28.242,DET,,SDG,W 34-20,,,,
36,1972,1972-10-30,7,28.250,DET,@,DAL,L 24-28,,,,
37,1972,1972-11-05,8,28.256,DET,,CHI,W 14-0,,,,
38,1972,1972-11-12,9,28.263,DET,@,MIN,L 14-16,,,,
39,1972,1972-11-19,10,28.270,DET,,NOR,W 27-14,,,,
40,1972,1972-11-23,11,28.274,DET,,NYJ,W 37-20,,,,
41,1972,1972-12-03,12,28.284,DET,@,GNB,L 7-33,,,,
42,1972,1972-12-10,13,28.291,DET,@,BUF,T 21-21,,,,
43,1972,1972-12-17,14,28.298,DET,@,RAM,W 34-17,,,,
44,1973,1973-09-16,1,29.205,DET,@,PIT,L 10-24,,,,
45,1973,1973-09-23,2,29.212,DET,@,GNB,T 13-13,,,,
46,1973,1973-10-01,3,29.220,DET,,ATL,W 31-6,,,,
47,1973,1973-10-07,4,29.226,DET,,MIN,L 9-23,,,,
48,1973,1973-10-14,5,29.233,DET,@,NOR,L 13-20,,,,
49,1973,1973-10-21,6,29.240,DET,,BAL,L 27-29,,,,
50,1973,1973-10-28,7,29.247,DET,,GNB,W 34-0,,,,
51,1973,1973-11-04,8,29.254,DET,,SFO,W 30-20,,,,
52,1973,1973-11-11,9,29.261,DET,@,MIN,L 7-28,,,,
53,1973,1973-11-18,10,29.268,DET,@,CHI,W 30-7,,,,
54,1973,1973-11-22,11,29.272,DET,,WAS,L 0-20,,,,
55,1973,1973-12-02,12,29.282,DET,@,STL,W 20-16,,,,
56,1973,1973-12-09,13,29.289,DET,,CHI,W 40-7,,,,
57,1973,1973-12-15,14,29.295,DET,@,MIA,L 7-34,,,,
58,1974,1974-09-15,1,30.204,DET,@,CHI,L 9-17,,,,
59,1974,1974-09-22,2,30.211,DET,,MIN,L 6-7,,,,
60,1974,1974-09-29,3,30.218,DET,@,GNB,L 19-21,,,,
61,1974,1974-10-14,5,30.233,DET,,SFO,W 17-13,,,,
62,1974,1974-10-20,6,30.239,DET,@,MIN,W 20-16,,,,
63,1974,1974-10-27,7,30.246,DET,,GNB,W 19-17,,,,
64,1974,1974-11-03,8,30.253,DET,,NOR,W 19-14,,,,
65,1974,1974-11-10,9,30.260,DET,@,OAK,L 13-35,,,,
66,1974,1974-11-17,10,30.267,DET,,NYG,W 20-19,,,,
67,1974,1974-11-24,11,30.274,DET,,CHI,W 34-17,,,,
68,1974,1974-11-28,12,30.278,DET,,DEN,L 27-31,,,,
69,1974,1974-12-08,13,30.288,DET,@,CIN,W 23-19,,,,
