ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1971,1971-09-19,1,23.361,CIN,,PHI,W 37-14,1,8,8.00,0,0,0
2,1971,1971-09-26,2,24.003,CIN,@,PIT,L 10-21,,,,,,
3,1971,1971-10-03,3,24.010,CIN,@,GNB,L 17-20,,,,,,
4,1971,1971-10-10,4,24.017,CIN,,MIA,L 13-23,,,,,,
5,1971,1971-10-17,5,24.024,CIN,,CLE,L 24-27,,,,,,
6,1971,1971-10-24,6,24.031,CIN,@,OAK,L 27-31,,,,,,
7,1971,1971-10-31,7,24.038,CIN,@,HOU,L 6-10,,,,,,
8,1971,1971-11-07,8,24.045,CIN,,ATL,L 6-9,,,,,,
9,1971,1971-11-14,9,24.052,CIN,@,DEN,W 24-10,,,,,,
10,1971,1971-11-21,10,24.059,CIN,,HOU,W 28-13,,,,,,
11,1971,1971-11-28,11,24.066,CIN,,SDG,W 31-0,,,,,,
12,1971,1971-12-05,12,24.073,CIN,@,CLE,L 27-31,,,,,,
13,1971,1971-12-12,13,24.080,CIN,,PIT,L 13-21,1,10,10.00,0,0,0
14,1976,1976-11-07,9,29.045,NYG,@,DAL,L 3-9,,,,,,
15,1976,1976-11-14,10,29.052,NYG,,WAS,W 12-9,,,,,,
16,1976,1976-11-21,11,29.059,NYG,@,DEN,L 13-14,2,24,12.00,0,0,0
17,1976,1976-11-28,12,29.066,NYG,,SEA,W 28-16,3,44,14.67,1,1,6
18,1976,1976-12-05,13,29.073,NYG,,DET,W 24-10,3,98,32.67,2,2,12
19,1976,1976-12-12,14,29.080,NYG,,STL,L 14-17,,,,,,
20,1977,1977-09-18,1,29.360,NYG,,WAS,W 20-17,2,59,29.50,0,0,0
21,1977,1977-09-25,2,30.002,NYG,@,DAL,L 21-41,,,,,,
22,1977,1977-10-02,3,30.009,NYG,@,ATL,L 3-17,,,,,,
23,1977,1977-10-09,4,30.016,NYG,,PHI,L 10-28,1,5,5.00,0,0,0
24,1977,1977-10-16,5,30.023,NYG,,SFO,W 20-17,,,,,,
25,1977,1977-10-23,6,30.030,NYG,@,WAS,W 17-6,1,82,82.00,0,0,0
26,1977,1977-10-31,7,30.038,NYG,@,STL,L 0-28,,,,,,
27,1977,1977-11-06,8,30.044,NYG,,DAL,L 10-24,,,,,,
28,1977,1977-11-13,9,30.051,NYG,@,TAM,W 10-0,,,,,,
29,1977,1977-11-20,10,30.058,NYG,,CLE,L 7-21,,,,,,
30,1977,1977-11-27,11,30.065,NYG,@,CIN,L 13-30,1,4,4.00,0,0,0
31,1977,1977-12-04,12,30.072,NYG,,STL,W 27-7,,,,,,
32,1977,1977-12-11,13,30.079,NYG,@,PHI,L 14-17,,,,,,
33,1977,1977-12-18,14,30.086,NYG,,CHI,L 9-12,2,28,14.00,0,0,0
