ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1986,1986-09-07,1,23.047,SEA,,PIT,W 30-0,,,,,,
2,1986,1986-11-27,13,23.128,SEA,@,DAL,W 31-14,,,,,,
3,1986,1986-12-08,14,23.139,SEA,,RAI,W 37-0,,,,,,
4,1986,1986-12-14,15,23.145,SEA,@,SDG,W 34-24,,,,,,
5,1986,1986-12-20,16,23.151,SEA,,DEN,W 41-16,,,,,,
6,1987,1987-10-04,3,24.074,RAI,,KAN,W 35-17,,,,,,
7,1987,1987-10-12,4,24.082,RAI,@,DEN,L 14-30,,,,,,
8,1987,1987-10-18,5,24.088,RAI,,SDG,L 17-23,,,,,,
9,1987,1987-10-25,6,24.095,RAI,,SEA,L 13-35,,,,,,
10,1987,1987-11-01,7,24.102,RAI,@,NWE,L 23-26,,,,,,
11,1987,1987-11-08,8,24.109,RAI,@,MIN,L 20-31,,,,,,
12,1987,1987-11-15,9,24.116,RAI,@,SDG,L 14-16,0,0,0.0,1,58,0
13,1987,1987-11-22,10,24.123,RAI,,DEN,L 17-23,,,,,,
14,1987,1987-11-30,11,24.131,RAI,@,SEA,W 37-14,,,,,,
15,1987,1987-12-06,12,24.137,RAI,,BUF,W 34-21,,,,,,
16,1987,1987-12-13,13,24.144,RAI,@,KAN,L 10-16,,,,,,
17,1987,1987-12-20,14,24.151,RAI,,CLE,L 17-24,,,,,,
18,1987,1987-12-27,15,24.158,RAI,,CHI,L 3-6,,,,,,
19,1988,1988-09-04,1,25.044,RAI,,SDG,W 24-13,,,,,,
20,1988,1988-09-11,2,25.051,RAI,@,HOU,L 35-38,,,,,,
21,1988,1988-09-18,3,25.058,RAI,,RAM,L 17-22,,,,,,
22,1988,1988-09-26,4,25.066,RAI,@,DEN,W 30-27,0,0,0.0,1,2,0
23,1988,1988-10-02,5,25.072,RAI,,CIN,L 21-45,,,,,,
24,1988,1988-10-09,6,25.079,RAI,,MIA,L 14-24,,,,,,
25,1988,1988-10-16,7,25.086,RAI,@,KAN,W 27-17,,,,,,
26,1988,1988-10-23,8,25.093,RAI,@,NOR,L 6-20,,,,,,
27,1988,1988-10-30,9,25.100,RAI,,KAN,W 17-10,,,,,,
28,1988,1988-11-06,10,25.107,RAI,@,SDG,W 13-3,,,,,,
