ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2017,2017-09-10,1,23.274,CHI,,ATL,L 17-23,*,0,0,,0,0,0,0.0,3,0,0,0,0
2,2017,2017-09-17,2,23.281,CHI,@,TAM,L 7-29,*,0,0,,0,0,0,0.0,7,1,0,0,0
3,2017,2017-09-24,3,23.288,CHI,,PIT,W 23-17,*,0,0,,0,0,0,0.0,1,0,0,0,0
4,2017,2017-09-28,4,23.292,CHI,@,GNB,L 14-35,*,0,0,,0,0,0,0.0,1,0,0,0,0
5,2017,2017-10-09,5,23.303,CHI,,MIN,L 17-20,*,0,0,,0,0,0,0.0,2,2,0,0,0
6,2017,2017-10-15,6,23.309,CHI,@,BAL,W 27-24,*,2,6,3.00,0,0,0,0.0,5,1,0,0,0
7,2017,2017-10-22,7,23.316,CHI,,CAR,W 17-3,*,0,0,,0,2,12,0.0,4,0,1,76,1
8,2017,2017-10-29,8,23.323,CHI,@,NOR,L 12-20,*,0,0,,0,0,0,0.0,1,0,0,0,0
9,2017,2017-11-12,9,23.337,CHI,,GNB,L 16-23,*,0,0,,0,0,0,0.0,4,0,0,0,0
10,2017,2017-11-19,10,23.344,CHI,,DET,L 24-27,*,0,0,,0,0,0,0.0,1,2,0,0,0
11,2017,2017-11-26,11,23.351,CHI,@,PHI,L 3-31,*,0,0,,0,0,0,0.0,2,1,0,0,0
12,2017,2017-12-03,12,23.358,CHI,,SFO,L 14-15,*,0,0,,0,0,0,0.0,4,1,0,0,0
13,2017,2017-12-10,13,24.000,CHI,@,CIN,W 33-7,*,0,0,,0,0,0,0.0,3,1,1,6,0
14,2017,2017-12-16,14,24.006,CHI,@,DET,L 10-20,*,0,0,,0,0,0,0.0,7,1,0,0,0
15,2017,2017-12-24,15,24.014,CHI,,CLE,W 20-3,*,0,0,,0,0,0,0.0,3,2,0,0,0
16,2017,2017-12-31,16,24.021,CHI,@,MIN,L 10-23,*,0,0,,0,0,0,0.0,5,5,0,0,0
17,2018,2018-09-09,1,24.273,CHI,@,GNB,L 23-24,*,0,0,,0,0,0,0.0,2,0,0,0,0
18,2018,2018-09-17,2,24.281,CHI,,SEA,W 24-17,*,0,0,,0,0,0,1.0,3,0,0,0,0
19,2018,2018-09-23,3,24.287,CHI,@,ARI,W 16-14,*,0,0,,0,0,0,0.0,2,1,1,0,0
