ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1980,1980-09-07,1,22.019,BUF,,MIA,W 17-7,
2,1980,1980-09-14,2,22.026,BUF,,NYJ,W 20-10,
3,1980,1980-09-21,3,22.033,BUF,@,NOR,W 35-26,
4,1980,1980-09-28,4,22.040,BUF,,OAK,W 24-7,
5,1980,1980-10-05,5,22.047,BUF,@,SDG,W 26-24,
6,1980,1980-10-12,6,22.054,BUF,,BAL,L 12-17,
7,1980,1980-10-19,7,22.061,BUF,@,MIA,L 14-17,
8,1980,1980-10-26,8,22.068,BUF,,NWE,W 31-13,
9,1980,1980-11-02,9,22.075,BUF,,ATL,L 14-30,
10,1980,1980-11-09,10,22.082,BUF,@,NYJ,W 31-24,
11,1980,1980-11-16,11,22.089,BUF,@,CIN,W 14-0,
12,1980,1980-11-23,12,22.096,BUF,,PIT,W 28-13,
13,1980,1980-11-30,13,22.103,BUF,@,BAL,L 24-28,
14,1980,1980-12-07,14,22.110,BUF,,RAM,W 10-7,
15,1980,1980-12-14,15,22.117,BUF,@,NWE,L 2-24,
16,1980,1980-12-21,16,22.124,BUF,@,SFO,W 18-13,
17,1981,1981-09-06,1,23.018,BUF,,NYJ,W 31-0,
18,1981,1981-09-13,2,23.025,BUF,@,BAL,W 35-3,
19,1981,1981-09-17,3,23.029,BUF,,PHI,L 14-20,
20,1981,1981-09-27,4,23.039,BUF,@,CIN,L 24-27,
21,1981,1981-10-04,5,23.046,BUF,,BAL,W 23-17,
22,1981,1981-10-12,6,23.054,BUF,,MIA,W 31-21,
23,1981,1981-10-18,7,23.060,BUF,@,NYJ,L 14-33,
24,1981,1981-10-25,8,23.067,BUF,,DEN,W 9-7,
25,1981,1981-11-01,9,23.074,BUF,,CLE,W 22-13,
26,1981,1981-11-09,10,23.082,BUF,@,DAL,L 14-27,
27,1981,1981-11-15,11,23.088,BUF,@,STL,L 0-24,
28,1981,1981-11-22,12,23.095,BUF,,NWE,W 20-17,
29,1981,1981-11-29,13,23.102,BUF,,WAS,W 21-14,
30,1981,1981-12-06,14,23.109,BUF,@,SDG,W 28-27,
31,1981,1981-12-13,15,23.116,BUF,@,NWE,W 19-10,
32,1981,1981-12-19,16,23.122,BUF,@,MIA,L 6-16,
33,1982,1982-09-12,1,24.024,BUF,,KAN,W 14-9,
34,1982,1982-09-16,2,24.028,BUF,,MIN,W 23-22,
35,1982,1982-11-21,3,24.094,BUF,,MIA,L 7-9,
36,1982,1982-11-28,4,24.101,BUF,,BAL,W 20-0,
37,1982,1982-12-05,5,24.108,BUF,@,GNB,L 21-33,
38,1982,1982-12-12,6,24.115,BUF,,PIT,W 13-0,
39,1982,1982-12-19,7,24.122,BUF,@,TAM,L 23-24,
40,1982,1982-12-27,8,24.130,BUF,@,MIA,L 10-27,
41,1982,1983-01-02,9,24.136,BUF,@,NWE,L 19-30,
42,1983,1983-09-04,1,25.016,BUF,,MIA,L 0-12,
43,1983,1983-09-11,2,25.023,BUF,@,CIN,W 10-6,
44,1983,1983-09-18,3,25.030,BUF,,BAL,W 28-23,
45,1983,1983-09-25,4,25.037,BUF,,HOU,W 30-13,1.0
46,1983,1983-10-03,5,25.045,BUF,,NYJ,L 10-34,1.0
47,1983,1983-10-09,6,25.051,BUF,@,MIA,W 38-35,
48,1983,1983-10-16,7,25.058,BUF,@,BAL,W 30-7,
49,1983,1983-10-23,8,25.065,BUF,,NWE,L 0-31,
50,1983,1983-10-30,9,25.072,BUF,,NOR,W 27-21,
51,1983,1983-11-06,10,25.079,BUF,@,NWE,L 7-21,
52,1983,1983-11-13,11,25.086,BUF,@,NYJ,W 24-17,
53,1983,1983-11-20,12,25.093,BUF,,RAI,L 24-27,
54,1983,1983-11-27,13,25.100,BUF,@,RAM,L 17-41,
55,1983,1983-12-04,14,25.107,BUF,@,KAN,W 14-9,1.0
56,1983,1983-12-11,15,25.114,BUF,,SFO,L 10-23,1.0
57,1983,1983-12-18,16,25.121,BUF,@,ATL,L 14-31,
