ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1983,1983-09-04,1,24.259,NOR,,STL,W 28-17,0,0,,0,0,0,,0,0,
2,1983,1983-09-11,2,24.266,NOR,@,RAM,L 27-30,2,38,19.00,1,0,0,,0,1,6
3,1983,1983-09-18,3,24.273,NOR,,CHI,W 34-31,2,17,8.50,0,0,0,,0,0,0
4,1983,1983-09-25,4,24.280,NOR,@,DAL,L 20-21,2,9,4.50,0,0,0,,0,0,0
5,1983,1983-10-02,5,24.287,NOR,,MIA,W 17-7,1,9,9.00,0,0,0,,0,0,0
6,1983,1983-10-09,6,24.294,NOR,@,ATL,W 19-17,2,26,13.00,0,0,0,,0,0,0
7,1983,1983-10-16,7,24.301,NOR,,SFO,L 13-32,5,74,14.80,0,0,0,,0,0,0
8,1983,1983-10-23,8,24.308,NOR,@,TAM,W 24-21,4,30,7.50,1,0,0,,0,1,6
9,1983,1983-10-30,9,24.315,NOR,@,BUF,L 21-27,2,30,15.00,0,0,0,,0,0,0
10,1983,1983-11-06,10,24.322,NOR,,ATL,W 27-10,0,0,,0,1,3,3.00,0,0,0
11,1983,1983-11-13,11,24.329,NOR,@,SFO,L 0-27,4,40,10.00,0,0,0,,0,0,0
12,1983,1983-11-21,12,24.337,NOR,,NYJ,L 28-31,0,0,,0,0,0,,0,0,
13,1983,1983-11-27,13,24.343,NOR,,MIN,W 17-16,4,52,13.00,0,0,0,,0,0,0
14,1983,1983-12-04,14,24.350,NOR,@,NWE,L 0-7,4,34,8.50,0,0,0,,0,0,0
15,1983,1983-12-11,15,24.357,NOR,@,PHI,W 20-17,7,92,13.14,0,0,0,,0,0,0
16,1983,1983-12-18,16,24.364,NOR,,RAM,L 24-26,2,36,18.00,0,0,0,,0,0,0
17,1984,1984-09-02,1,25.258,NOR,,ATL,L 28-36,5,72,14.40,0,0,0,,0,0,0
18,1984,1984-09-09,2,25.265,NOR,,TAM,W 17-13,0,0,,0,0,0,,0,0,
19,1984,1984-09-16,3,25.272,NOR,@,SFO,L 20-30,6,62,10.33,1,0,0,,0,1,6
20,1984,1984-09-23,4,25.279,NOR,,STL,W 34-24,3,57,19.00,0,0,0,,0,0,0
21,1984,1984-09-30,5,25.286,NOR,@,HOU,W 27-10,1,9,9.00,0,0,0,,0,0,0
22,1984,1984-11-19,12,25.336,NOR,,PIT,W 27-24,0,0,,0,0,0,,0,0,
23,1984,1984-11-25,13,25.342,NOR,,SFO,L 3-35,0,0,,0,0,0,,0,0,
24,1984,1984-12-02,14,25.349,NOR,@,RAM,L 21-34,2,22,11.00,1,0,0,,0,1,6
25,1984,1984-12-09,15,25.356,NOR,,CIN,L 21-24,5,59,11.80,1,0,0,,0,1,6
26,1984,1984-12-15,16,25.362,NOR,@,NYG,W 10-3,0,0,,0,1,5,5.00,0,0,0
27,1985,1985-09-08,1,26.263,NOR,,KAN,L 27-47,3,27,9.00,0,0,0,,0,0,0
