ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2001,2001-10-07,4,22.326,SEA,,JAX,W 24-15,,,,,,,,
2,2001,2001-12-16,13,23.031,SEA,,DAL,W 29-3,,,,,,,,
3,2001,2001-12-23,14,23.038,SEA,@,NYG,L 24-27,,,,,,,,
4,2001,2001-12-30,15,23.045,SEA,@,SDG,W 25-22,,,,,,,,
5,2001,2002-01-06,16,23.052,SEA,,KAN,W 21-18,,,,,,,,
6,2002,2002-09-08,1,23.297,SEA,@,OAK,L 17-31,*,,,,,,,
7,2002,2002-09-15,2,23.304,SEA,,ARI,L 13-24,*,,,,,,,
8,2002,2002-09-22,3,23.311,SEA,@,NYG,L 6-9,*,,,,,,,
9,2002,2002-09-29,4,23.318,SEA,,MIN,W 48-23,*,,,,,,,
10,2002,2002-10-14,5,23.333,SEA,,SFO,L 21-28,*,,,,,,,
11,2002,2002-10-20,6,23.339,SEA,@,STL,L 20-37,*,,,,,,,
12,2002,2002-10-27,7,23.346,SEA,@,DAL,W 17-14,*,,,,,,,
13,2002,2002-11-03,8,23.353,SEA,,WAS,L 3-14,,,,,,,,
14,2002,2002-11-10,9,23.360,SEA,@,ARI,W 27-6,*,,,,,,,
15,2002,2002-11-17,10,24.002,SEA,,DEN,L 9-31,*,,,,,,,
16,2002,2002-11-24,11,24.009,SEA,,KAN,W 39-32,*,,,,,,,
17,2003,2003-09-07,1,24.296,SEA,,NOR,W 27-10,*,,,,,,,
18,2003,2003-09-14,2,24.303,SEA,@,ARI,W 38-0,*,,,,,,,
19,2003,2003-09-21,3,24.310,SEA,,STL,W 24-23,,,,,,,,
20,2003,2003-11-09,9,24.359,SEA,@,WAS,L 20-27,,,,,,,,
21,2003,2003-11-16,10,25.001,SEA,,DET,W 35-14,,,,,,,,
22,2003,2003-11-23,11,25.008,SEA,@,BAL,L 41-44,,,,,,,,
23,2003,2003-11-30,12,25.015,SEA,,CLE,W 34-7,,,,,,,,
24,2003,2003-12-07,13,25.022,SEA,@,MIN,L 7-34,,,,,,,,
25,2003,2003-12-14,14,25.029,SEA,@,STL,L 22-27,*,1,11,11.00,0,0.0,,
26,2003,2003-12-21,15,25.036,SEA,,ARI,W 28-10,*,,,,,,,
27,2003,2003-12-27,16,25.042,SEA,@,SFO,W 24-17,,,,,,,,
28,2004,2004-09-12,1,25.302,SEA,@,NOR,W 21-7,,,,,,,,
29,2004,2004-09-26,3,25.316,SEA,,SFO,W 34-0,,,,,,,,
30,2004,2004-10-10,4,25.330,SEA,,STL,L 27-33,,,,,,,,
31,2004,2004-10-17,5,25.337,SEA,@,NWE,L 20-30,,,,,,,,
32,2004,2004-10-24,6,25.344,SEA,@,ARI,L 17-25,*,,,,,,,
33,2004,2004-10-31,7,25.351,SEA,,CAR,W 23-17,*,,,,,,,
34,2004,2004-11-07,8,25.358,SEA,@,SFO,W 42-27,,,,,,,,
