ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1981,1981-12-20,16,24.198,SEA,,CLE,W 42-21,0,0,,0,0,0,,0,0,0,,,,,,2,74,37.00,0
2,1983,1983-09-04,1,26.091,TAM,,DET,L 0-11,0,0,,0,0,0,,0,0,0,,,,,,6,289,48.17,0
3,1983,1983-09-11,2,26.098,TAM,@,CHI,L 10-17,0,0,,0,0,0,,0,0,0,,,,,,8,302,37.75,0
4,1983,1983-09-18,3,26.105,TAM,,MIN,L 16-19,0,0,,0,0,0,,0,0,0,,,,,,4,167,41.75,0
5,1983,1983-09-25,4,26.112,TAM,,CIN,L 17-23,0,0,,0,0,0,,0,0,0,,,,,,2,82,41.00,0
6,1983,1983-10-02,5,26.119,TAM,@,GNB,L 14-55,0,0,,0,0,0,,0,0,0,,,,,,10,403,40.30,0
7,1983,1983-10-09,6,26.126,TAM,@,DAL,L 24-27,0,0,,0,0,0,,0,0,0,,,,,,8,356,44.50,0
8,1983,1983-10-16,7,26.133,TAM,,STL,L 27-34,0,0,,0,0,0,,0,0,0,,,,,,4,176,44.00,0
9,1983,1983-10-23,8,26.140,TAM,,NOR,L 21-24,0,0,,0,0,0,,0,0,0,,,,,,8,330,41.25,0
10,1983,1983-10-30,9,26.147,TAM,@,PIT,L 12-17,0,0,,0,0,0,,0,0,0,,,,,,9,404,44.89,0
11,1983,1983-11-06,10,26.154,TAM,@,MIN,W 17-12,0,0,,0,0,0,,0,0,0,,,,,,8,387,48.38,1
12,1983,1983-11-13,11,26.161,TAM,@,CLE,L 0-20,0,0,,0,0,0,,0,0,0,,,,,,5,204,40.80,0
13,1983,1983-11-20,12,26.168,TAM,,CHI,L 0-27,0,0,,0,0,0,,0,0,0,,,,,,8,295,36.88,0
14,1983,1983-11-27,13,26.175,TAM,,HOU,W 33-24,0,0,,0,0,0,,0,0,0,,,,,,3,123,41.00,0
15,1983,1983-12-04,14,26.182,TAM,@,SFO,L 21-35,0,0,,0,0,0,,0,0,0,,,,,,5,229,45.80,0
16,1983,1983-12-12,15,26.190,TAM,,GNB,L 9-12,0,0,,0,0,0,,0,0,0,,,,,,4,157,39.25,0
17,1983,1983-12-18,16,26.196,TAM,@,DET,L 20-23,0,0,,0,0,0,,0,0,0,,,,,,3,104,34.67,0
18,1984,1984-09-02,1,27.089,TAM,@,CHI,L 14-34,0,0,,0,0,0,,0,0,0,,0,,,,5,230,46.00,0
19,1984,1984-09-09,2,27.096,TAM,@,NOR,L 13-17,0,0,,0,0,0,,0,0,0,,0,,,,4,175,43.75,0
20,1984,1984-09-16,3,27.103,TAM,,DET,W 21-17,0,0,,0,0,0,,0,0,0,,0,,,,5,196,39.20,0
21,1984,1984-09-23,4,27.110,TAM,@,NYG,L 14-17,0,0,,0,0,0,,0,0,0,,0,,,,6,259,43.17,0
22,1984,1984-09-30,5,27.117,TAM,,GNB,W 30-27,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,206,41.20,0
23,1984,1984-10-07,6,27.124,TAM,,MIN,W 35-31,0,0,,0,0,0,,0,0,0,,0,,,,7,284,40.57,0
24,1984,1984-10-14,7,27.131,TAM,@,DET,L 7-13,0,0,,0,0,0,,0,0,0,,0,,,,4,175,43.75,0
25,1984,1984-10-21,8,27.138,TAM,,CHI,L 9-44,0,0,,0,0,0,,0,0,0,,0,,,,3,143,47.67,0
26,1984,1984-10-28,9,27.145,TAM,@,KAN,L 20-24,0,0,,0,0,0,,0,0,0,,0,,,,6,209,34.83,0
27,1984,1984-11-04,10,27.152,TAM,@,MIN,L 24-27,0,0,,0,0,0,,0,0,0,,0,,,,4,178,44.50,0
28,1984,1984-11-11,11,27.159,TAM,,NYG,W 20-17,0,0,,0,0,0,,0,0,0,,0,,,,3,117,39.00,0
29,1984,1984-11-18,12,27.166,TAM,@,SFO,L 17-24,0,0,,0,0,0,,0,0,0,,0,,,,3,123,41.00,0
30,1984,1984-11-25,13,27.173,TAM,,RAM,L 33-34,0,0,,0,0,0,,0,0,0,,0,,,,2,80,40.00,0
31,1984,1984-12-02,14,27.180,TAM,@,GNB,L 14-27,0,0,,0,0,0,,0,0,0,,0,,,,6,239,39.83,0
32,1984,1984-12-09,15,27.187,TAM,,ATL,W 23-6,0,0,,0,0,0,,0,0,0,,0,,,,3,139,46.33,0
33,1984,1984-12-16,16,27.194,TAM,,NYJ,W 41-21,0,0,,0,0,0,,0,0,0,,0,,,,2,96,48.00,0
34,1985,1985-09-08,1,28.095,TAM,@,CHI,L 28-38,0,0,,0,0,0,,0,0,0,,,,,,5,221,44.20,1
35,1985,1985-09-15,2,28.102,TAM,,MIN,L 16-31,0,0,,0,0,0,,0,0,0,,,,,,1,40,40.00,1
36,1985,1985-09-22,3,28.109,TAM,@,NOR,L 13-20,0,0,,0,0,0,,0,0,0,,,,,,3,128,42.67,0
37,1985,1985-09-29,4,28.116,TAM,@,DET,L 9-30,0,0,,0,0,0,,0,0,0,,,,,,4,165,41.25,0
38,1985,1985-10-06,5,28.123,TAM,,CHI,L 19-27,0,0,,0,0,0,,0,0,0,,,,,,4,178,44.50,0
39,1985,1985-10-13,6,28.130,TAM,,RAM,L 27-31,0,0,,0,0,0,,0,0,0,,,,,,9,416,46.22,0
40,1985,1985-10-20,7,28.137,TAM,@,MIA,L 38-41,0,0,,0,0,0,,0,0,0,,,,,,4,152,38.00,0
41,1985,1985-10-27,8,28.144,TAM,,NWE,L 14-32,0,0,,0,0,0,,0,0,0,,,,,,7,270,38.57,0
42,1985,1985-11-03,9,28.151,TAM,@,NYG,L 20-22,0,0,,0,0,0,,0,0,0,,,,,,6,248,41.33,0
43,1985,1985-11-10,10,28.158,TAM,,STL,W 16-0,0,0,,0,0,0,,0,0,0,,,,,,2,90,45.00,0
44,1985,1985-11-17,11,28.165,TAM,@,NYJ,L 28-62,0,0,,0,0,0,,0,0,0,,,,,,7,308,44.00,0
45,1985,1985-11-24,12,28.172,TAM,,DET,W 19-16,0,0,,0,0,0,,0,0,0,,,,,,7,289,41.29,0
