ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1994,1994-10-23,7,26.312,CLE,,CIN,W 37-13,,0,0,,0,0.0%,,,,,,,
2,1994,1994-10-30,8,26.319,CLE,@,DEN,L 14-26,,0,0,,0,0.0%,,,,,,,
3,1994,1994-11-06,9,26.326,CLE,,NWE,W 13-6,,0,0,,0,0.0%,,,,,,,
4,1994,1994-11-13,10,26.333,CLE,@,PHI,W 26-7,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
5,1994,1994-11-20,11,26.340,CLE,@,KAN,L 13-20,2,0,0,,0,0.0%,0.00,,,,,,
6,1994,1994-11-27,12,26.347,CLE,,HOU,W 34-10,2,2,5,2.50,1,100.0%,2.50,0,0,,0,1,6
7,1994,1994-12-04,13,26.354,CLE,,NYG,L 13-16,0,0,0,,0,0.0%,,,,,,,
8,1994,1994-12-10,14,26.360,CLE,@,DAL,W 19-14,,0,0,,0,0.0%,,,,,,,
9,1994,1994-12-18,15,27.003,CLE,@,PIT,L 7-17,,0,0,,0,0.0%,,,,,,,
10,1994,1994-12-24,16,27.009,CLE,,SEA,W 35-9,,0,0,,0,0.0%,,,,,,,
11,1995,1995-09-03,1,27.262,CLE,@,NWE,L 14-17,2,1,23,23.00,0,50.0%,11.50,0,0,,0,0,0
12,1995,1995-09-10,2,27.269,CLE,,TAM,W 22-6,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0
13,1995,1995-09-17,3,27.276,CLE,@,HOU,W 14-7,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0
14,1995,1995-09-24,4,27.283,CLE,,KAN,W 35-17,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
15,1995,1995-10-02,5,27.291,CLE,,BUF,L 19-22,1,0,0,,0,0.0%,0.00,,,,,,
16,1995,1995-10-22,7,27.311,CLE,,JAX,L 15-23,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0
17,1995,1995-10-29,8,27.318,CLE,@,CIN,W 29-26,,0,0,,0,0.0%,,,,,,,
18,1995,1995-11-05,9,27.325,CLE,,HOU,L 10-37,,0,0,,0,0.0%,,,,,,,
19,1995,1995-11-13,10,27.333,CLE,@,PIT,L 3-20,1,0,0,,0,0.0%,0.00,,,,,,
20,1995,1995-11-19,11,27.339,CLE,,GNB,L 20-31,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0
21,1995,1995-11-26,12,27.346,CLE,,PIT,L 17-20,,0,0,,0,0.0%,,,,,,,
22,1995,1995-12-03,13,27.353,CLE,@,SDG,L 13-31,,0,0,,0,0.0%,,,,,,,
23,1995,1995-12-09,14,27.359,CLE,@,MIN,L 11-27,,0,0,,0,0.0%,,,,,,,
24,1995,1995-12-17,15,28.002,CLE,,CIN,W 26-10,3,2,21,10.50,1,66.7%,7.00,0,0,,0,1,6
25,1995,1995-12-24,16,28.009,CLE,@,JAX,L 21-24,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0
26,1996,1996-11-03,9,28.324,BAL,,CIN,L 21-24,,,,,,0.0%,,,,,,,
27,1996,1996-11-10,10,28.331,BAL,@,JAX,L 27-30,,,,,,0.0%,,,,,,,
28,1996,1996-11-17,11,28.338,BAL,@,SFO,L 20-38,,,,,,0.0%,,,,,,,
29,1996,1996-11-24,12,28.345,BAL,,JAX,L 25-28,,,,,,0.0%,,,,,,,
30,1996,1996-12-01,13,28.352,BAL,,PIT,W 31-17,,,,,,0.0%,,,,,,,
31,1996,1996-12-08,14,28.359,BAL,@,CIN,L 14-21,,,,,,0.0%,,,,,,,
32,1996,1996-12-15,15,29.000,BAL,@,CAR,L 16-27,,,,,,0.0%,,,,,,,
33,1996,1996-12-22,16,29.007,BAL,,HOU,L 21-24,,,,,,0.0%,,,,,,,
34,1997,1997-08-31,1,29.259,SDG,@,NWE,L 7-41,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0
35,1997,1997-09-07,2,29.266,SDG,@,NOR,W 20-6,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0
36,1997,1997-09-14,3,29.273,SDG,,CAR,L 7-26,3,1,24,24.00,0,33.3%,8.00,0,0,,0,0,0
37,1997,1997-09-21,4,29.280,SDG,@,SEA,L 22-26,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0
38,1997,1997-09-28,5,29.287,SDG,,BAL,W 21-17,2,1,35,35.00,0,50.0%,17.50,0,0,,0,0,0
39,1997,1997-10-05,6,29.294,SDG,@,OAK,W 25-10,,0,0,,0,0.0%,,,,,,,
40,1997,1997-10-16,7,29.305,SDG,@,KAN,L 3-31,1,0,0,,0,0.0%,0.00,,,,,,
41,1997,1997-10-26,8,29.315,SDG,,IND,W 35-19,4,3,34,11.33,1,75.0%,8.50,0,0,,0,1,6
42,1997,1997-11-02,9,29.322,SDG,@,CIN,L 31-38,2,0,0,,0,0.0%,0.00,,,,,,
43,1997,1997-11-09,10,29.329,SDG,,SEA,L 31-37,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
