ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1981,1981-09-27,4,22.086,OAK,@,DET,L 0-16,0,0,,0,0,0,,0,0,0,,0,0,
2,1981,1981-10-04,5,22.093,OAK,,DEN,L 0-17,0,0,,0,0,0,,0,0,0,,0,0,
3,1981,1981-10-11,6,22.100,OAK,@,KAN,L 0-27,0,0,,0,0,0,,0,1,7,7.00,0,0,0
4,1981,1981-10-18,7,22.107,OAK,,TAM,W 18-16,0,0,,0,0,0,,0,0,0,,0,0,
5,1981,1981-10-25,8,22.114,OAK,,KAN,L 17-28,0,0,,0,0,0,,0,0,0,,0,0,
6,1981,1981-11-01,9,22.121,OAK,,NWE,W 27-17,1,5,5.00,0,0,0,,0,0,0,,0,0,0
7,1981,1981-11-08,10,22.128,OAK,@,HOU,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,
8,1981,1981-11-15,11,22.135,OAK,@,MIA,W 33-17,8,31,3.88,0,1,8,8.00,0,0,0,,0,0,0
9,1981,1981-11-22,12,22.142,OAK,,SDG,L 21-55,1,5,5.00,0,2,44,22.00,0,0,0,,0,0,0
10,1981,1981-11-29,13,22.149,OAK,@,SEA,W 32-31,12,68,5.67,0,3,18,6.00,0,0,0,,0,0,0
11,1981,1981-12-07,14,22.157,OAK,,PIT,W 30-27,8,25,3.13,0,0,0,,0,0,0,,0,0,0
12,1981,1981-12-13,15,22.163,OAK,,CHI,L 6-23,3,4,1.33,0,3,29,9.67,0,0,0,,0,0,0
13,1981,1981-12-21,16,22.171,OAK,@,SDG,L 10-23,7,27,3.86,0,1,10,10.00,0,0,0,,0,0,0
14,1982,1982-09-12,1,23.071,RAI,@,SFO,W 23-17,7,15,2.14,0,0,0,,0,0,0,,0,0,0
15,1982,1982-09-19,2,23.078,RAI,@,ATL,W 38-14,4,5,1.25,1,1,5,5.00,0,0,0,,0,1,6
16,1982,1982-11-22,3,23.142,RAI,,SDG,W 28-24,2,3,1.50,1,1,6,6.00,0,0,0,,0,1,6
17,1982,1982-11-28,4,23.148,RAI,@,CIN,L 17-31,2,2,1.00,0,3,19,6.33,0,0,0,,0,0,0
