ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-09-13,1,24.348,DET,@,MIN,L 19-34,,,,,,,,,,
2,1987,1987-09-20,2,24.355,DET,@,RAI,L 7-27,,,,,,,,,,
3,1987,1987-10-25,6,25.025,DET,,GNB,L 33-34,,,,,,,,,,
4,1987,1987-11-01,7,25.032,DET,@,DEN,L 0-34,0,0,,0,0,0,1.0,0,0,0
5,1987,1987-11-08,8,25.039,DET,,DAL,W 27-17,,,,,,,,,,
6,1987,1987-11-15,9,25.046,DET,@,WAS,L 13-20,,,,,,,,,,
7,1987,1987-11-22,10,25.053,DET,@,CHI,L 10-30,,,,,,,,,,
8,1987,1987-11-26,11,25.057,DET,,KAN,L 20-27,,,,,,,,,,
9,1987,1987-12-06,12,25.067,DET,,RAM,L 16-37,,,,,,,,,,
10,1987,1987-12-13,13,25.074,DET,@,TAM,W 20-10,,,,,,,,,,
11,1987,1987-12-20,14,25.081,DET,,MIN,L 14-17,,,,,,,,,,
12,1987,1987-12-27,15,25.088,DET,@,ATL,W 30-13,,,,,,,,,,
13,1988,1988-09-04,1,25.340,DET,,ATL,W 31-17,,,,,,,,,,
14,1988,1988-09-11,2,25.347,DET,@,RAM,L 10-17,,,,,,,,,,
15,1988,1988-09-18,3,25.354,DET,,NOR,L 14-22,,,,,,,,,,
16,1988,1988-09-25,4,25.361,DET,,NYJ,L 10-17,,,,,,,,,,
17,1988,1988-10-02,5,26.002,DET,@,SFO,L 13-20,,,,,,,,,,
18,1988,1988-10-09,6,26.009,DET,,CHI,L 7-24,0,0,,0,0,0,0.5,0,0,0
19,1988,1988-10-16,7,26.016,DET,@,NYG,L 10-30,,,,,,,,,,
20,1988,1988-10-23,8,26.023,DET,@,KAN,W 7-6,,,,,,,,,,
21,1988,1988-10-30,9,26.030,DET,,NYG,L 10-13,0,0,,0,0,0,1.0,0,0,0
22,1988,1988-11-06,10,26.037,DET,@,MIN,L 17-44,0,0,,0,1,6,0.0,1,52,1
23,1988,1988-11-13,11,26.044,DET,,TAM,L 20-23,0,0,,0,0,0,0.0,2,4,0
24,1988,1988-11-20,12,26.051,DET,@,GNB,W 19-9,,,,,,,,,,
25,1988,1988-11-24,13,26.055,DET,,MIN,L 0-23,,,,,,,,,,
26,1988,1988-12-04,14,26.065,DET,,GNB,W 30-14,0,0,,0,0,0,2.0,0,0,0
27,1988,1988-12-11,15,26.072,DET,@,CHI,L 12-13,,,,,,,,,,
28,1988,1988-12-18,16,26.079,DET,@,TAM,L 10-21,0,0,,0,0,0,2.0,0,0,0
29,1989,1989-09-17,2,26.352,DET,@,NYG,L 14-24,,,,,,,,,,
30,1989,1989-09-24,3,26.359,DET,,CHI,L 27-47,,,,,,,,,,
31,1989,1989-10-01,4,27.001,DET,,PIT,L 3-23,,,,,,,,,,
32,1989,1989-10-08,5,27.008,DET,@,MIN,L 17-24,,,,,,,,,,
33,1989,1989-10-15,6,27.015,DET,@,TAM,W 17-16,,,,,,,,,,
34,1989,1989-10-22,7,27.022,DET,,MIN,L 7-20,0,0,,0,0,0,1.0,0,0,0
35,1989,1989-10-29,8,27.029,DET,@,GNB,L 20-23,,,,,,,,,,
36,1989,1989-11-05,9,27.036,DET,@,HOU,L 31-35,,,,,,,,,,
37,1989,1989-11-12,10,27.043,DET,,GNB,W 31-22,0,0,,0,0,0,1.0,0,0,0
38,1989,1989-11-19,11,27.050,DET,@,CIN,L 7-42,,,,,,,,,,
