ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1982,1982-09-12,1,23.064,CIN,,HOU,W 27-6,
2,1982,1982-11-21,3,23.134,CIN,@,PHI,W 18-14,
3,1982,1982-11-28,4,23.141,CIN,,RAI,W 31-17,
4,1982,1982-12-05,5,23.148,CIN,@,BAL,W 20-17,
5,1982,1982-12-12,6,23.155,CIN,,CLE,W 23-10,1.0
6,1982,1982-12-20,7,23.163,CIN,@,SDG,L 34-50,
7,1982,1982-12-26,8,23.169,CIN,,SEA,W 24-10,
8,1983,1983-09-04,1,24.056,CIN,,RAI,L 10-20,
9,1983,1983-09-11,2,24.063,CIN,,BUF,L 6-10,
10,1983,1983-09-15,3,24.067,CIN,@,CLE,L 7-17,
11,1983,1983-09-25,4,24.077,CIN,@,TAM,W 23-17,
12,1983,1983-10-02,5,24.084,CIN,,BAL,L 31-34,1.0
13,1983,1983-10-10,6,24.092,CIN,,PIT,L 14-24,
14,1983,1983-10-16,7,24.098,CIN,@,DEN,L 17-24,1.0
15,1983,1983-10-23,8,24.105,CIN,,CLE,W 28-21,
16,1983,1983-10-30,9,24.112,CIN,,GNB,W 34-14,
17,1983,1983-11-06,10,24.119,CIN,@,HOU,W 55-14,1.0
18,1983,1983-11-13,11,24.126,CIN,@,KAN,L 15-20,
19,1983,1983-11-20,12,24.133,CIN,,HOU,W 38-10,
20,1983,1983-11-28,13,24.141,CIN,@,MIA,L 14-38,
21,1983,1983-12-04,14,24.147,CIN,@,PIT,W 23-10,
22,1983,1983-12-11,15,24.154,CIN,,DET,W 17-9,2.0
23,1983,1983-12-17,16,24.160,CIN,@,MIN,L 14-20,
24,1984,1984-09-02,1,25.054,CIN,@,DEN,L 17-20,
25,1984,1984-09-09,2,25.061,CIN,,KAN,L 22-27,
26,1984,1984-09-16,3,25.068,CIN,@,NYJ,L 23-43,
27,1984,1984-09-23,4,25.075,CIN,,RAM,L 14-24,
28,1984,1984-10-01,5,25.083,CIN,@,PIT,L 17-38,
29,1984,1984-10-07,6,25.089,CIN,,HOU,W 13-3,1.0
30,1984,1984-10-14,7,25.096,CIN,@,NWE,L 14-20,
31,1984,1984-10-21,8,25.103,CIN,,CLE,W 12-9,1.0
32,1984,1984-10-28,9,25.110,CIN,@,HOU,W 31-13,
33,1984,1984-11-04,10,25.117,CIN,@,SFO,L 17-23,
34,1984,1984-11-11,11,25.124,CIN,,PIT,W 22-20,1.0
35,1984,1984-11-18,12,25.131,CIN,,SEA,L 6-26,
36,1984,1984-11-25,13,25.138,CIN,,ATL,W 35-14,
37,1984,1984-12-02,14,25.145,CIN,@,CLE,W 20-17,
38,1984,1984-12-09,15,25.152,CIN,@,NOR,W 24-21,
39,1984,1984-12-16,16,25.159,CIN,,BUF,W 52-21,
40,1985,1985-09-08,1,26.060,CIN,,SEA,L 24-28,
41,1985,1985-09-15,2,26.067,CIN,@,STL,L 27-41,
42,1985,1985-09-22,3,26.074,CIN,,SDG,L 41-44,
43,1985,1985-09-30,4,26.082,CIN,@,PIT,W 37-24,
44,1985,1985-10-06,5,26.088,CIN,,NYJ,L 20-29,
45,1985,1985-10-13,6,26.095,CIN,,NYG,W 35-30,
46,1985,1985-10-20,7,26.102,CIN,@,HOU,L 27-44,
47,1985,1985-10-27,8,26.109,CIN,,PIT,W 26-21,
48,1985,1985-11-03,9,26.116,CIN,@,BUF,W 23-17,
49,1985,1985-11-10,10,26.123,CIN,,CLE,W 27-10,
50,1985,1985-11-17,11,26.130,CIN,@,RAI,L 6-13,
51,1985,1985-11-24,12,26.137,CIN,@,CLE,L 6-24,
52,1985,1985-12-01,13,26.144,CIN,,HOU,W 45-27,
53,1985,1985-12-08,14,26.151,CIN,,DAL,W 50-24,
54,1985,1985-12-15,15,26.158,CIN,@,WAS,L 24-27,
55,1985,1985-12-22,16,26.165,CIN,@,NWE,L 23-34,
56,1987,1987-10-05,3,28.087,SFO,@,NYG,W 41-21,1.0
57,1987,1987-10-11,4,28.093,SFO,@,ATL,W 25-17,1.0
58,1987,1987-10-18,5,28.100,SFO,,STL,W 34-28,
