ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,2002,2002-09-08,1,23.063,BUF,,NYJ,L 31-37,,1.0
2,2002,2002-09-15,2,23.070,BUF,@,MIN,W 45-39,,
3,2002,2002-09-22,3,23.077,BUF,@,DEN,L 23-28,,
4,2002,2002-09-29,4,23.084,BUF,,CHI,W 33-27,,
5,2002,2002-10-06,5,23.091,BUF,,OAK,L 31-49,,
6,2002,2002-10-13,6,23.098,BUF,@,HOU,W 31-24,,1.0
7,2002,2002-10-20,7,23.105,BUF,@,MIA,W 23-10,,
8,2002,2002-10-27,8,23.112,BUF,,DET,W 24-17,,
9,2002,2002-11-03,9,23.119,BUF,,NWE,L 7-38,,0.5
10,2002,2002-11-17,10,23.133,BUF,@,KAN,L 16-17,,
11,2002,2002-11-24,11,23.140,BUF,@,NYJ,L 13-31,,
12,2002,2002-12-08,13,23.154,BUF,@,NWE,L 17-27,,
13,2002,2002-12-15,14,23.161,BUF,,SDG,W 20-13,,
14,2002,2002-12-22,15,23.168,BUF,@,GNB,L 0-10,,
15,2002,2002-12-29,16,23.175,BUF,,CIN,W 27-9,,
16,2003,2003-12-28,16,24.174,OAK,@,SDG,L 14-21,,
17,2004,2004-09-12,1,25.067,OAK,@,PIT,L 21-24,,
18,2004,2004-09-19,2,25.074,OAK,,BUF,W 13-10,,
19,2004,2004-11-21,10,25.137,OAK,,SDG,L 17-23,,
20,2004,2004-11-28,11,25.144,OAK,@,DEN,W 25-24,,
21,2004,2004-12-05,12,25.151,OAK,,KAN,L 27-34,*,
22,2004,2004-12-12,13,25.158,OAK,@,ATL,L 10-35,,
23,2004,2004-12-19,14,25.165,OAK,,TEN,W 40-35,,
24,2004,2004-12-25,15,25.171,OAK,@,KAN,L 30-31,*,1.0
25,2005,2005-09-08,1,26.063,OAK,@,NWE,L 20-30,*,
26,2005,2005-09-18,2,26.073,OAK,,KAN,L 17-23,,
27,2005,2005-09-25,3,26.080,OAK,@,PHI,L 20-23,,
28,2005,2005-10-02,4,26.087,OAK,,DAL,W 19-13,,
29,2005,2005-10-16,5,26.101,OAK,,SDG,L 14-27,,
30,2005,2005-10-23,6,26.108,OAK,,BUF,W 38-17,,
31,2005,2005-10-30,7,26.115,OAK,@,TEN,W 34-25,,
32,2005,2005-11-06,8,26.122,OAK,@,KAN,L 23-27,,
33,2005,2005-11-13,9,26.129,OAK,,DEN,L 17-31,,
34,2005,2005-11-20,10,26.136,OAK,@,WAS,W 16-13,,
35,2005,2005-11-27,11,26.143,OAK,,MIA,L 21-33,,
36,2005,2005-12-04,12,26.150,OAK,@,SDG,L 10-34,,
37,2005,2005-12-11,13,26.157,OAK,@,NYJ,L 10-26,,
38,2005,2005-12-18,14,26.164,OAK,,CLE,L 7-9,,
39,2005,2005-12-24,15,26.170,OAK,@,DEN,L 3-22,,
40,2006,2006-09-11,1,27.066,OAK,,SDG,L 0-27,,
41,2006,2006-09-17,2,27.072,OAK,@,BAL,L 6-28,*,
