ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,23.017,STL,,PHI,L 13-31,,3,1,21,21.00,0,33.3%,7.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2011,2011-09-19,2,23.025,STL,@,NYG,L 16-28,,8,4,27,6.75,0,50.0%,3.38,0,0,,0,0,0,,0,2,29,14.50,0,0,0,0.0,0,0
3,2011,2011-10-16,5,23.052,STL,@,GNB,L 3-24,,10,8,77,9.63,0,80.0%,7.70,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2011,2011-10-23,6,23.059,STL,@,DAL,L 7-34,,2,2,33,16.50,0,100.0%,16.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2011,2011-10-30,7,23.066,STL,,NOR,W 31-21,,6,5,47,9.40,0,83.3%,7.83,1,8,8.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2011,2011-11-06,8,23.073,STL,@,ARI,L 13-19,,9,7,59,8.43,0,77.8%,6.56,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2012,2012-11-18,10,24.085,NWE,,IND,W 59-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
8,2013,2013-11-03,9,25.070,NYJ,,NOR,W 26-20,,3,2,57,28.50,0,66.7%,19.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2013,2013-11-17,10,25.084,NYJ,@,BUF,L 14-37,,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2013,2013-11-24,11,25.091,NYJ,@,BAL,L 3-19,,3,2,48,24.00,0,66.7%,16.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2013,2013-12-01,12,25.098,NYJ,,MIA,L 3-23,,4,1,0,0.00,0,25.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2013,2013-12-08,13,25.105,NYJ,,OAK,W 37-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
13,2013,2013-12-15,14,25.112,NYJ,@,CAR,L 20-30,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
14,2013,2013-12-22,15,25.119,NYJ,,CLE,W 24-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
15,2013,2013-12-29,16,25.126,NYJ,@,MIA,W 20-7,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2014,2014-09-07,1,26.013,NYJ,,OAK,W 19-14,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,1
17,2014,2014-09-14,2,26.020,NYJ,@,GNB,L 24-31,,2,0,0,,0,0.0%,0.00,0,0,,0,1,8,8.00,0,0,0,,0,0,0,0.0,0,0
18,2014,2014-09-22,3,26.028,NYJ,,CHI,L 19-27,,3,2,56,28.00,0,66.7%,18.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0
19,2014,2014-09-28,4,26.034,NYJ,,DET,L 17-24,,4,2,60,30.00,0,50.0%,15.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2014,2014-10-05,5,26.041,NYJ,@,SDG,L 0-31,*,7,2,12,6.00,0,28.6%,1.71,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2014,2014-10-12,6,26.048,NYJ,,DEN,L 17-31,*,3,1,27,27.00,0,33.3%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2014,2014-11-02,9,26.069,NYJ,@,KAN,L 10-24,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2014,2014-11-09,10,26.076,NYJ,,PIT,W 20-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
24,2014,2014-11-24,11,26.091,NYJ,@,BUF,L 3-38,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
25,2014,2014-12-01,12,26.098,NYJ,,MIA,L 13-16,,0,0,0,,0,0.0%,,1,20,20.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
26,2015,2015-12-27,15,27.124,BUF,,DAL,W 16-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
27,2015,2016-01-03,16,27.131,BUF,,NYJ,W 22-17,,5,3,41,13.67,0,60.0%,8.20,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
28,2016,2016-09-11,1,28.017,BUF,@,BAL,L 7-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2016,2016-09-15,2,28.021,BUF,,NYJ,L 31-37,*,5,4,89,22.25,1,80.0%,17.80,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
