ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1983,1983-09-04,1,22.232,HOU,,GNB,L 38-41
2,1983,1983-09-11,2,22.239,HOU,@,RAI,L 6-20
3,1983,1983-09-18,3,22.246,HOU,,PIT,L 28-40
4,1983,1983-09-25,4,22.253,HOU,@,BUF,L 13-30
5,1983,1983-10-02,5,22.260,HOU,@,PIT,L 10-17
6,1983,1983-10-09,6,22.267,HOU,,DEN,L 14-26
7,1983,1983-10-16,7,22.274,HOU,@,MIN,L 14-34
8,1983,1983-10-23,8,22.281,HOU,,KAN,L 10-13
9,1983,1983-10-30,9,22.288,HOU,@,CLE,L 19-25
10,1983,1983-11-06,10,22.295,HOU,,CIN,L 14-55
11,1983,1983-11-13,11,22.302,HOU,,DET,W 27-17
12,1983,1983-11-20,12,22.309,HOU,@,CIN,L 10-38
13,1983,1983-11-27,13,22.316,HOU,@,TAM,L 24-33
14,1983,1983-12-04,14,22.323,HOU,,MIA,L 17-24
15,1983,1983-12-11,15,22.330,HOU,,CLE,W 34-27
16,1983,1983-12-18,16,22.337,HOU,@,BAL,L 10-20
17,1984,1984-09-02,1,23.231,HOU,,RAI,L 14-24
18,1984,1984-09-09,2,23.238,HOU,,IND,L 21-35
19,1984,1984-09-16,3,23.245,HOU,@,SDG,L 14-31
20,1984,1984-09-23,4,23.252,HOU,@,ATL,L 10-42
21,1984,1984-09-30,5,23.259,HOU,,NOR,L 10-27
22,1984,1984-10-07,6,23.266,HOU,@,CIN,L 3-13
23,1984,1984-10-14,7,23.273,HOU,@,MIA,L 10-28
24,1984,1984-10-21,8,23.280,HOU,,SFO,L 21-34
25,1984,1984-10-28,9,23.287,HOU,,CIN,L 13-31
26,1984,1984-11-04,10,23.294,HOU,@,PIT,L 7-35
27,1984,1984-11-11,11,23.301,HOU,@,KAN,W 17-16
28,1984,1984-11-18,12,23.308,HOU,,NYJ,W 31-20
29,1984,1984-11-25,13,23.315,HOU,@,CLE,L 10-27
30,1984,1984-12-02,14,23.322,HOU,,PIT,W 23-20
