ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1996,1996-10-20,7,23.258,PIT,@,HOU,L 13-23,
2,1996,1996-11-25,12,23.294,PIT,@,MIA,W 24-17,1.0
3,1996,1996-12-22,16,23.321,PIT,@,CAR,L 14-18,
4,1997,1997-10-19,7,24.256,CAR,@,NOR,W 13-0,
5,1997,1997-10-26,8,24.263,CAR,,ATL,W 21-12,
6,1997,1997-11-02,9,24.270,CAR,,OAK,W 38-14,
7,1997,1997-11-09,10,24.277,CAR,@,DEN,L 0-34,
8,1997,1997-11-16,11,24.284,CAR,@,SFO,L 19-27,
9,1997,1997-11-23,12,24.291,CAR,@,STL,W 16-10,
10,1997,1997-11-30,13,24.298,CAR,,NOR,L 13-16,
11,1997,1997-12-08,14,24.306,CAR,@,DAL,W 23-13,
12,1997,1997-12-14,15,24.312,CAR,,GNB,L 10-31,0.5
