ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-12-16,14,24.076,KAN,,TEN,L 17-26,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
2,2007,2007-12-23,15,24.083,KAN,@,DET,L 20-25,,1,3,3.00,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6,0.0,,
3,2007,2007-12-30,16,24.090,KAN,@,NYJ,L 10-13,,13,44,3.38,0,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,0.0,,
4,2008,2008-09-07,1,24.342,KAN,@,NWE,L 10-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
5,2008,2008-11-02,8,25.032,KAN,,TAM,L 27-30,,,,,,,,,,,0.0%,,,,,,,,,,
6,2008,2008-11-09,9,25.039,KAN,@,SDG,L 19-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
7,2008,2008-11-23,11,25.053,KAN,,BUF,L 31-54,,,,,,,,,,,0.0%,,,,,,,,,,
8,2008,2008-11-30,12,25.060,KAN,@,OAK,W 20-13,,,,,,,,,,,0.0%,,,,,,,,,,
9,2008,2008-12-07,13,25.067,KAN,@,DEN,L 17-24,,0,0,,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,0.0,0,0
10,2008,2008-12-14,14,25.074,KAN,,SDG,L 21-22,,,,,,,,,,,0.0%,,,,,,,,,,
11,2008,2008-12-21,15,25.081,KAN,,MIA,L 31-38,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
12,2008,2008-12-28,16,25.088,KAN,@,CIN,L 6-16,,,,,,,,,,,0.0%,,,,,,,,,,
13,2009,2009-09-13,1,25.347,KAN,@,BAL,L 24-38,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
14,2009,2009-09-20,2,25.354,KAN,,OAK,L 10-13,,5,19,3.80,0,1,1,-6,-6.00,0,100.0%,-6.00,0,0,,0,0,0,0.0,0,0
15,2009,2009-09-27,3,25.361,KAN,@,PHI,L 14-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
16,2009,2009-10-04,4,26.003,KAN,,NYG,L 16-27,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
17,2009,2009-10-11,5,26.010,KAN,,DAL,L 20-26,,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0
18,2010,2010-09-13,1,26.347,KAN,,SDG,W 21-14,,,,,,,,,,,0.0%,,,,,,,,,,
19,2010,2010-09-19,2,26.353,KAN,@,CLE,W 16-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
20,2010,2010-09-26,3,26.360,KAN,,SFO,W 31-10,,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
21,2010,2010-10-10,4,27.009,KAN,@,IND,L 9-19,,,,,,,,,,,0.0%,,,,,,,,,,
22,2010,2010-10-17,5,27.016,KAN,@,HOU,L 31-35,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
23,2010,2010-10-24,6,27.023,KAN,,JAX,W 42-20,,3,12,4.00,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,1
24,2010,2010-10-31,7,27.030,KAN,,BUF,W 13-10,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
25,2010,2010-11-07,8,27.037,KAN,@,OAK,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
26,2010,2010-11-14,9,27.044,KAN,@,DEN,L 29-49,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
27,2010,2010-11-21,10,27.051,KAN,,ARI,W 31-13,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
28,2010,2010-11-28,11,27.058,KAN,@,SEA,W 42-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
29,2010,2010-12-05,12,27.065,KAN,,DEN,W 10-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
30,2010,2010-12-12,13,27.072,KAN,@,SDG,L 0-31,,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
31,2010,2010-12-19,14,27.079,KAN,@,STL,W 27-13,,2,9,4.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
32,2010,2010-12-26,15,27.086,KAN,,TEN,W 34-14,,,,,,,,,,,0.0%,,,,,,,,,,
33,2010,2011-01-02,16,27.093,KAN,,OAK,L 10-31,,4,5,1.25,0,2,1,9,9.00,0,50.0%,4.50,1,0,0.00,0,0,0,0.0,0,0
34,2011,2011-09-11,1,27.345,KAN,,BUF,L 7-41,,2,7,3.50,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,0.0,0,0
35,2011,2011-09-18,2,27.352,KAN,@,DET,L 3-48,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
36,2011,2011-09-25,3,27.359,KAN,@,SDG,L 17-20,,1,2,2.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,1
37,2011,2011-10-02,4,28.001,KAN,,MIN,W 22-17,,5,22,4.40,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
38,2011,2011-10-09,5,28.008,KAN,@,IND,W 28-24,,19,119,6.26,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,0.0,0,0
39,2011,2011-10-23,6,28.022,KAN,@,OAK,W 28-0,,16,76,4.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
40,2011,2011-10-31,7,28.030,KAN,,SDG,W 23-20,*,19,70,3.68,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0
41,2011,2011-11-06,8,28.036,KAN,,MIA,L 3-31,*,14,40,2.86,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,0,0
42,2011,2011-11-13,9,28.043,KAN,,DEN,L 10-17,*,9,61,6.78,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
43,2011,2011-11-21,10,28.051,KAN,@,NWE,L 3-34,,8,33,4.13,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0
44,2011,2011-11-27,11,28.057,KAN,,PIT,L 9-13,*,9,20,2.22,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
45,2011,2011-12-04,12,28.064,KAN,@,CHI,W 10-3,,11,15,1.36,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
46,2011,2011-12-11,13,28.071,KAN,@,NYJ,L 10-37,,10,33,3.30,0,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,0.0,0,0
47,2011,2011-12-18,14,28.078,KAN,,GNB,W 19-14,,10,37,3.70,1,1,1,7,7.00,0,100.0%,7.00,0,0,,0,1,6,0.0,0,0
48,2011,2011-12-24,15,28.084,KAN,,OAK,L 13-16,,14,56,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
49,2012,2012-09-10,1,28.345,SDG,@,OAK,W 22-14,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
50,2012,2012-09-16,2,28.351,SDG,,TEN,W 38-10,,14,69,4.93,2,0,0,0,,0,0.0%,,0,0,,0,2,12,0.0,0,0
51,2012,2012-09-23,3,28.358,SDG,,ATL,L 3-27,,3,55,18.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
