ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1999,1999-12-19,15,23.331,CLE,,JAX,L 14-24,,,,,,,0.0%,,,,,,,
2,1999,1999-12-26,16,23.338,CLE,,IND,L 28-29,,0,,,,,0.0%,,,,,,,
3,2001,2001-09-09,1,25.230,NYJ,,IND,L 24-45,,0,0,0,,0,0.0%,,1,7,7.00,0,0,0
4,2001,2001-09-23,2,25.244,NYJ,@,NWE,W 10-3,,0,,,,,0.0%,,,,,,,
5,2001,2001-10-01,3,25.252,NYJ,,SFO,L 17-19,,,,,,,0.0%,,,,,,,
6,2001,2001-10-07,4,25.258,NYJ,@,BUF,W 42-36,,,,,,,0.0%,,,,,,,
7,2001,2001-10-14,5,25.265,NYJ,,MIA,W 21-17,,1,,,,,0.0%,,,,,,,
8,2001,2001-10-21,6,25.272,NYJ,,STL,L 14-34,,,,,,,0.0%,,,,,,,
9,2001,2001-10-28,7,25.279,NYJ,@,CAR,W 13-12,,0,,,,,0.0%,,,,,,,
10,2001,2001-11-04,8,25.286,NYJ,@,NOR,W 16-9,,,,,,,0.0%,,,,,,,
11,2001,2001-11-11,9,25.293,NYJ,,KAN,W 27-7,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
12,2001,2001-11-18,10,25.300,NYJ,@,MIA,W 24-0,,,,,,,0.0%,,,,,,,
13,2001,2001-12-02,11,25.314,NYJ,,NWE,L 16-17,*,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0
14,2001,2001-12-09,12,25.321,NYJ,@,PIT,L 7-18,,,,,,,0.0%,,,,,,,
15,2001,2001-12-16,13,25.328,NYJ,,CIN,W 15-14,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6
16,2001,2001-12-23,14,25.335,NYJ,@,IND,W 29-28,,,,,,,0.0%,,,,,,,
17,2001,2001-12-30,15,25.342,NYJ,,BUF,L 9-14,,,,,,,0.0%,,,,,,,
18,2001,2002-01-06,16,25.349,NYJ,@,OAK,W 24-22,,,,,,,0.0%,,,,,,,
19,2002,2002-09-08,1,26.229,NYJ,@,BUF,W 37-31,,,,,,,0.0%,,,,,,,
20,2002,2002-09-15,2,26.236,NYJ,,NWE,L 7-44,,0,,,,,0.0%,,,,,,,
21,2002,2002-09-22,3,26.243,NYJ,@,MIA,L 3-30,,,,,,,0.0%,,,,,,,
22,2002,2002-09-29,4,26.250,NYJ,@,JAX,L 3-28,,,,,,,0.0%,,,,,,,
23,2002,2002-10-06,5,26.257,NYJ,,KAN,L 25-29,,0,0,0,,0,0.0%,,1,9,9.00,0,0,0
24,2002,2002-10-20,6,26.271,NYJ,,MIN,W 20-7,,,,,,,0.0%,,,,,,,
25,2002,2002-10-27,7,26.278,NYJ,,CLE,L 21-24,,,,,,,0.0%,,,,,,,
26,2002,2002-11-03,8,26.285,NYJ,@,SDG,W 44-13,,,,,,,0.0%,,,,,,,
27,2002,2002-11-10,9,26.292,NYJ,,MIA,W 13-10,,,,,,,0.0%,,,,,,,
28,2002,2002-11-17,10,26.299,NYJ,@,DET,W 31-14,,,,,,,0.0%,,,,,,,
29,2002,2002-11-24,11,26.306,NYJ,,BUF,W 31-13,,,,,,,0.0%,,,,,,,
30,2002,2002-12-02,12,26.314,NYJ,@,OAK,L 20-26,,,,,,,0.0%,,,,,,,
31,2002,2002-12-08,13,26.320,NYJ,,DEN,W 19-13,,1,,,,,0.0%,,,,,,,
32,2002,2002-12-15,14,26.327,NYJ,@,CHI,L 13-20,,,,,,,0.0%,,,,,,,
33,2002,2002-12-22,15,26.334,NYJ,@,NWE,W 30-17,,,,,,,0.0%,,,,,,,
34,2002,2002-12-29,16,26.341,NYJ,,GNB,W 42-17,,,,,,,0.0%,,,,,,,
35,2003,2003-09-04,1,27.225,NYJ,@,WAS,L 13-16,,,,,,,0.0%,,,,,,,
36,2003,2003-09-14,2,27.235,NYJ,,MIA,L 10-21,,,,,,,0.0%,,,,,,,
37,2003,2003-09-21,3,27.242,NYJ,@,NWE,L 16-23,,,,,,,0.0%,,,,,,,
38,2003,2003-09-28,4,27.249,NYJ,,DAL,L 6-17,,,,,,,0.0%,,,,,,,
39,2003,2003-10-12,5,27.263,NYJ,,BUF,W 30-3,,,,,,,0.0%,,,,,,,
40,2003,2003-10-19,6,27.270,NYJ,@,HOU,W 19-14,,,,,,,0.0%,,,,,,,
41,2003,2003-10-26,7,27.277,NYJ,@,PHI,L 17-24,,,,,,,0.0%,,,,,,,
42,2003,2003-11-02,8,27.284,NYJ,,NYG,L 28-31,,0,,,,,0.0%,,,,,,,
43,2003,2003-11-09,9,27.291,NYJ,@,OAK,W 27-24,,,,,,,0.0%,,,,,,,
44,2003,2003-11-16,10,27.298,NYJ,@,IND,L 31-38,,,,,,,0.0%,,,,,,,
45,2003,2003-11-23,11,27.305,NYJ,,JAX,W 13-10,,,,,,,0.0%,,,,,,,
46,2003,2003-12-01,12,27.313,NYJ,,TEN,W 24-17,,0,,,,,0.0%,,,,,,,
47,2003,2003-12-07,13,27.319,NYJ,@,BUF,L 6-17,,0,,,,,0.0%,,,,,,,
48,2003,2003-12-14,14,27.326,NYJ,,PIT,W 6-0,,,,,,,0.0%,,,,,,,
49,2003,2003-12-20,15,27.332,NYJ,,NWE,L 16-21,,,,,,,0.0%,,,,,,,
50,2003,2003-12-28,16,27.340,NYJ,@,MIA,L 21-23,,,,,,,0.0%,,,,,,,
51,2004,2004-09-12,1,28.234,NYJ,,CIN,W 31-24,,,,,,,0.0%,,,,,,,
