ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1988,1988-09-04,1,23.238,RAM,@,GNB,W 34-7,,,,,,,
2,1988,1988-09-11,2,23.245,RAM,,DET,W 17-10,,,,,,,
3,1988,1988-09-18,3,23.252,RAM,@,RAI,W 22-17,,,,,,,
4,1988,1988-09-25,4,23.259,RAM,@,NYG,W 45-31,,,,,,,
5,1988,1988-10-02,5,23.266,RAM,,PHO,L 27-41,,,,,,,
6,1988,1988-10-09,6,23.273,RAM,@,ATL,W 33-0,,,,,,,
7,1988,1988-10-16,7,23.280,RAM,,SFO,L 21-24,,,,,,,
8,1988,1988-10-23,8,23.287,RAM,,SEA,W 31-10,0,0,,0,1,7,0
9,1988,1988-10-30,9,23.294,RAM,@,NOR,W 12-10,,,,,,,
10,1988,1988-11-06,10,23.301,RAM,@,PHI,L 24-30,,,,,,,
11,1988,1988-11-13,11,23.308,RAM,,NOR,L 10-14,,,,,,,
12,1988,1988-11-20,12,23.315,RAM,,SDG,L 24-38,,,,,,,
13,1988,1988-11-27,13,23.322,RAM,@,DEN,L 24-35,,,,,,,
14,1988,1988-12-05,14,23.330,RAM,,CHI,W 23-3,,,,,,,
15,1988,1988-12-11,15,23.336,RAM,,ATL,W 22-7,,,,,,,
16,1988,1988-12-18,16,23.343,RAM,@,SFO,W 38-16,,,,,,,
17,1989,1989-09-10,1,24.243,RAM,@,ATL,W 31-21,,,,,,,
18,1989,1989-09-17,2,24.250,RAM,,IND,W 31-17,,,,,,,
19,1989,1989-09-24,3,24.257,RAM,,GNB,W 41-38,,,,,,,
20,1989,1989-10-01,4,24.264,RAM,@,SFO,W 13-12,,,,,,,
21,1989,1989-10-08,5,24.271,RAM,,ATL,W 26-14,,,,,,,
22,1989,1989-10-16,6,24.279,RAM,@,BUF,L 20-23,,,,,,,
23,1989,1989-10-22,7,24.285,RAM,,NOR,L 21-40,,,,,,,
24,1989,1989-10-29,8,24.292,RAM,@,CHI,L 10-20,,,,,,,
