ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1967,1967-09-09,1,24.287,KAN,@,HOU,W 25-20,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
2,1967,1967-09-24,2,24.302,KAN,@,MIA,W 24-0,0,0,,0,3,3,100.0,1,4,25.0,0,6,0,0,,0
3,1967,1967-10-01,3,24.309,KAN,@,OAK,L 21-23,0,0,,0,3,3,100.0,,,,0,3,,,,
4,1967,1967-10-08,4,24.316,KAN,,MIA,W 41-0,0,0,,0,5,5,100.0,2,2,100.0,0,11,0,0,,0
5,1967,1967-10-15,5,24.323,KAN,@,SDG,L 31-45,0,0,,0,4,4,100.0,1,2,50.0,0,7,0,0,,0
6,1967,1967-10-22,6,24.330,KAN,,HOU,L 19-24,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
7,1967,1967-10-29,7,24.337,KAN,,DEN,W 52-9,0,0,,0,7,7,100.0,1,2,50.0,0,10,0,0,,0
8,1967,1967-11-05,8,24.344,KAN,,NYJ,W 42-18,0,0,,0,4,4,100.0,2,4,50.0,0,10,0,0,,0
9,1967,1967-11-12,9,24.351,KAN,@,BOS,W 33-10,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
10,1967,1967-11-19,10,24.358,KAN,,SDG,L 16-17,0,0,,0,1,1,100.0,3,5,60.0,0,10,0,0,,0
11,1967,1967-11-23,11,24.362,KAN,,OAK,L 22-44,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
12,1967,1967-12-03,12,25.007,KAN,,BUF,W 23-13,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
13,1967,1967-12-10,13,25.014,KAN,@,NYJ,W 21-7,0,0,,0,3,3,100.0,,2,0.0,0,3,0,0,,0
14,1967,1967-12-17,14,25.021,KAN,@,DEN,W 38-24,0,0,,0,5,5,100.0,1,2,50.0,0,8,0,0,,0
15,1968,1968-09-09,1,25.288,KAN,@,HOU,W 26-21,0,0,,0,2,2,100.0,4,4,100.0,0,14,0,0,,0
16,1968,1968-09-15,2,25.294,KAN,,NYJ,L 19-20,0,0,,0,1,1,100.0,4,5,80.0,0,13,0,0,,0
17,1968,1968-09-22,3,25.301,KAN,,DEN,W 34-2,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
18,1968,1968-09-28,4,25.307,KAN,@,MIA,W 48-3,0,0,,0,6,6,100.0,2,3,66.7,0,12,0,0,,0
19,1968,1968-10-05,5,25.314,KAN,@,BUF,W 18-7,0,0,,0,,1,0.0,4,6,66.7,0,12,0,0,,0
20,1968,1968-10-13,6,25.322,KAN,,CIN,W 13-3,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
21,1968,1968-10-20,7,25.329,KAN,,OAK,W 24-10,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
22,1968,1968-10-27,8,25.336,KAN,,SDG,W 27-20,0,0,,0,3,3,100.0,2,4,50.0,0,9,0,0,,0
23,1968,1968-11-03,9,25.343,KAN,@,OAK,L 21-38,0,0,,0,3,3,100.0,,,,0,3,,,,
24,1968,1968-11-10,10,25.350,KAN,@,CIN,W 16-9,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,,0
25,1968,1968-11-17,11,25.357,KAN,,BOS,W 31-17,0,0,,0,4,4,100.0,1,2,50.0,0,7,0,0,,0
26,1968,1968-11-28,12,26.002,KAN,,HOU,W 24-10,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
27,1968,1968-12-08,13,26.012,KAN,@,SDG,W 40-3,0,0,,0,5,5,100.0,1,2,50.0,0,8,0,0,,0
28,1968,1968-12-14,14,26.018,KAN,@,DEN,W 30-7,0,0,,0,3,3,100.0,3,4,75.0,0,12,0,0,,0
29,1969,1969-09-14,1,26.292,KAN,@,SDG,W 27-9,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
30,1969,1969-09-21,2,26.299,KAN,@,BOS,W 31-0,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
31,1969,1969-09-28,3,26.306,KAN,@,CIN,L 19-24,0,0,,0,1,1,100.0,2,5,40.0,0,7,0,0,,0
32,1969,1969-10-05,4,26.313,KAN,@,DEN,W 26-13,0,0,,0,2,2,100.0,4,4,100.0,0,14,0,0,,0
33,1969,1969-10-12,5,26.320,KAN,,HOU,W 24-0,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
34,1969,1969-10-19,6,26.327,KAN,,MIA,W 17-10,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,,0
35,1969,1969-10-26,7,26.334,KAN,,CIN,W 42-22,0,0,,0,6,6,100.0,,1,0.0,0,6,0,0,,0
36,1969,1969-11-02,8,26.341,KAN,@,BUF,W 29-7,0,0,,0,2,2,100.0,5,5,100.0,0,17,0,0,,0
37,1969,1969-11-09,9,26.348,KAN,,SDG,W 27-3,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
38,1969,1969-11-16,10,26.355,KAN,@,NYJ,W 34-16,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
39,1969,1969-11-23,11,26.362,KAN,,OAK,L 24-27,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
40,1969,1969-11-27,12,27.001,KAN,,DEN,W 31-17,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
41,1969,1969-12-07,13,27.011,KAN,,BUF,W 22-19,0,0,,0,1,1,100.0,5,5,100.0,0,16,0,0,,0
42,1969,1969-12-13,14,27.017,KAN,@,OAK,L 6-10,0,0,,0,,,,,1,0.0,0,0,0,0,,0
43,1970,1970-09-20,1,27.298,KAN,@,MIN,L 10-27,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
44,1970,1970-09-28,2,27.306,KAN,@,BAL,W 44-24,0,0,,0,5,5,100.0,3,3,100.0,0,14,0,0,,0
45,1970,1970-10-04,3,27.312,KAN,@,DEN,L 13-26,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
46,1970,1970-10-11,4,27.319,KAN,,BOS,W 23-10,0,0,,0,2,2,100.0,3,4,75.0,0,11,0,0,,0
47,1970,1970-10-18,5,27.326,KAN,@,CIN,W 27-19,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
48,1970,1970-10-25,6,27.333,KAN,,DAL,L 16-27,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,,0
49,1970,1970-11-01,7,27.340,KAN,,OAK,T 17-17,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
50,1970,1970-11-08,8,27.347,KAN,,HOU,W 24-9,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,,0
51,1970,1970-11-15,9,27.354,KAN,@,PIT,W 31-14,0,0,,0,4,4,100.0,1,3,33.3,0,7,0,0,,0
52,1970,1970-11-22,10,27.361,KAN,,STL,T 6-6,0,0,,0,,,,2,4,50.0,0,6,0,0,,0
53,1970,1970-11-29,11,28.003,KAN,,SDG,W 26-14,0,0,,0,2,2,100.0,4,4,100.0,0,14,0,0,,0
54,1970,1970-12-06,12,28.010,KAN,,DEN,W 16-0,0,0,,0,1,1,100.0,3,6,50.0,0,10,0,0,,0
55,1970,1970-12-12,13,28.016,KAN,@,OAK,L 6-20,0,0,,0,,,,2,3,66.7,0,6,0,0,,0
56,1970,1970-12-20,14,28.024,KAN,@,SDG,L 13-31,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
57,1971,1971-09-19,1,28.297,KAN,@,SDG,L 14-21,0,0,,0,2,2,100.0,,,,0,2,,,,
58,1971,1971-09-26,2,28.304,KAN,@,HOU,W 20-16,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
59,1971,1971-10-03,3,28.311,KAN,@,DEN,W 16-3,0,0,,0,1,1,100.0,3,5,60.0,0,10,0,0,,0
60,1971,1971-10-10,4,28.318,KAN,,SDG,W 31-10,0,0,,0,4,4,100.0,1,3,33.3,0,7,0,0,,0
61,1971,1971-10-18,5,28.326,KAN,,PIT,W 38-16,0,0,,0,5,5,100.0,1,2,50.0,0,8,0,0,,0
62,1971,1971-10-24,6,28.332,KAN,,WAS,W 27-20,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,,0
63,1971,1971-10-31,7,28.339,KAN,@,OAK,T 20-20,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
64,1971,1971-11-07,8,28.346,KAN,@,NYJ,L 10-13,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
65,1971,1971-11-14,9,28.353,KAN,,CLE,W 13-7,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
66,1971,1971-11-21,10,28.360,KAN,,DEN,W 28-10,0,0,,0,4,4,100.0,,3,0.0,0,4,0,0,,0
67,1971,1971-11-25,11,28.364,KAN,@,DET,L 21-32,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
68,1971,1971-12-06,12,29.010,KAN,@,SFO,W 26-17,0,0,,0,2,2,100.0,4,6,66.7,0,14,0,0,,0
69,1971,1971-12-12,13,29.016,KAN,,OAK,W 16-14,0,0,,0,1,1,100.0,3,4,75.0,0,10,0,0,,0
70,1971,1971-12-19,14,29.023,KAN,,BUF,W 22-9,0,0,,0,1,1,100.0,5,7,71.4,0,16,0,0,,0
71,1972,1972-09-17,1,29.296,KAN,,MIA,L 10-20,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
72,1972,1972-09-25,2,29.304,KAN,@,NOR,W 20-17,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
73,1972,1972-10-01,3,29.310,KAN,@,DEN,W 45-24,0,0,,0,6,6,100.0,1,1,100.0,0,9,0,0,,0
74,1972,1972-10-08,4,29.317,KAN,@,CLE,W 31-7,0,0,,0,4,4,100.0,1,2,50.0,0,7,0,0,,0
75,1972,1972-10-15,5,29.324,KAN,,CIN,L 16-23,0,0,,0,1,1,100.0,3,4,75.0,0,10,0,0,,0
76,1972,1972-10-22,6,29.331,KAN,,PHI,L 20-21,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
77,1972,1972-10-29,7,29.338,KAN,@,SDG,W 26-14,0,0,,0,2,2,100.0,4,5,80.0,0,14,0,0,,0
78,1972,1972-11-05,8,29.345,KAN,,OAK,W 27-14,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,,0
79,1972,1972-11-12,9,29.352,KAN,@,PIT,L 7-16,0,0,,0,1,1,100.0,,2,0.0,0,1,0,0,,0
80,1972,1972-11-19,10,29.359,KAN,,SDG,L 17-27,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
81,1972,1972-11-26,11,30.000,KAN,@,OAK,L 3-26,0,0,,0,,,,1,3,33.3,0,3,0,0,,0
82,1972,1972-12-03,12,30.007,KAN,,DEN,W 24-21,0,0,,0,3,3,100.0,1,4,25.0,0,6,0,0,,0
83,1972,1972-12-10,13,30.014,KAN,,BAL,W 24-10,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
84,1972,1972-12-17,14,30.021,KAN,@,ATL,W 17-14,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,,0
85,1973,1973-09-16,1,30.294,KAN,,RAM,L 13-23,0,0,,0,1,2,50.0,,2,0.0,0,1,0,0,,0
86,1973,1973-09-23,2,30.301,KAN,@,NWE,W 10-7,0,0,,0,1,1,100.0,1,3,33.3,0,4,0,0,,0
87,1973,1973-09-30,3,30.308,KAN,,OAK,W 16-3,0,0,,0,1,1,100.0,3,6,50.0,0,10,0,0,,0
88,1973,1973-10-07,4,30.315,KAN,,DEN,W 16-14,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,,0
89,1973,1973-10-14,5,30.322,KAN,@,GNB,T 10-10,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
90,1973,1973-10-21,6,30.329,KAN,@,CIN,L 6-14,0,0,,0,,,,2,2,100.0,0,6,0,0,,0
91,1973,1973-10-29,7,30.337,KAN,@,BUF,L 14-23,0,0,,0,2,2,100.0,,,,0,2,,,,
92,1973,1973-11-04,8,30.343,KAN,@,SDG,W 19-0,0,0,,0,1,2,50.0,2,3,66.7,0,7,0,0,,0
93,1973,1973-11-12,9,30.351,KAN,,CHI,W 19-7,0,0,,0,1,1,100.0,4,5,80.0,0,13,0,0,,0
94,1973,1973-11-18,10,30.357,KAN,,HOU,W 38-14,0,0,,0,5,5,100.0,1,1,100.0,0,8,0,0,,0
95,1973,1973-11-25,11,30.364,KAN,@,DEN,L 10-14,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
96,1973,1973-12-02,12,31.006,KAN,,CLE,T 20-20,0,0,,0,2,2,100.0,2,5,40.0,0,8,0,0,,0
97,1973,1973-12-08,13,31.012,KAN,@,OAK,L 7-37,0,0,,0,1,1,100.0,,,,0,1,,,,
98,1973,1973-12-16,14,31.020,KAN,,SDG,W 33-6,0,0,,0,3,3,100.0,4,5,80.0,0,15,0,0,,0
99,1974,1974-09-15,1,31.293,KAN,,NYJ,W 24-16,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
100,1974,1974-09-22,2,31.300,KAN,@,OAK,L 7-27,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
101,1974,1974-09-29,3,31.307,KAN,@,HOU,W 17-7,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
102,1974,1974-10-06,4,31.314,KAN,,DEN,L 14-17,0,0,,0,2,2,100.0,,,,0,2,,,,
103,1974,1974-10-13,5,31.321,KAN,,PIT,L 24-34,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
104,1974,1974-10-20,6,31.328,KAN,@,MIA,L 3-9,0,0,,0,,,,1,1,100.0,0,3,0,0,,0
105,1974,1974-10-27,7,31.335,KAN,@,SDG,W 24-14,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
106,1974,1974-11-03,8,31.342,KAN,,NYG,L 27-33,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
107,1974,1974-11-10,9,31.349,KAN,,SDG,L 7-14,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
108,1974,1974-11-18,10,31.357,KAN,@,DEN,W 42-34,0,0,,0,4,5,80.0,2,3,66.7,0,10,0,0,,0
109,1974,1974-11-24,11,31.363,KAN,@,CIN,L 6-33,0,0,,0,,,,2,3,66.7,0,6,0,0,,0
110,1974,1974-12-01,12,32.005,KAN,@,STL,W 17-13,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
111,1974,1974-12-08,13,32.012,KAN,,OAK,L 6-7,0,0,,0,,,,2,4,50.0,0,6,0,0,,0
112,1974,1974-12-14,14,32.018,KAN,,MIN,L 15-35,0,0,,0,,1,0.0,3,3,100.0,0,9,0,0,,0
113,1975,1975-09-21,1,32.299,KAN,@,DEN,L 33-37,0,0,,0,3,3,100.0,4,6,66.7,0,15,0,0,,0
114,1975,1975-09-28,2,32.306,KAN,,NYJ,L 24-30,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
115,1975,1975-10-05,3,32.313,KAN,,SFO,L 3-20,0,0,,0,,,,1,1,100.0,0,3,0,0,,0
116,1975,1975-10-12,4,32.320,KAN,,OAK,W 42-10,0,0,,0,6,6,100.0,,2,0.0,0,6,0,0,,0
117,1975,1975-10-19,5,32.327,KAN,@,SDG,W 12-10,0,0,,0,,1,0.0,2,4,50.0,0,6,0,0,,0
118,1975,1975-10-26,6,32.334,KAN,,DEN,W 26-13,0,0,,0,2,2,100.0,4,4,100.0,0,14,0,0,,0
119,1975,1975-11-02,7,32.341,KAN,,HOU,L 13-17,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
120,1975,1975-11-10,8,32.349,KAN,@,DAL,W 34-31,0,0,,0,4,4,100.0,2,3,66.7,0,10,0,0,,0
121,1975,1975-11-16,9,32.355,KAN,@,PIT,L 3-28,0,0,,0,,,,1,2,50.0,0,3,0,0,,0
122,1975,1975-11-23,10,32.362,KAN,,DET,W 24-21,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,,0
123,1975,1975-11-30,11,33.004,KAN,@,BAL,L 14-28,0,0,,0,2,2,100.0,,,,0,2,,,,
124,1975,1975-12-07,12,33.011,KAN,,SDG,L 20-28,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
125,1975,1975-12-14,13,33.018,KAN,@,CLE,L 14-40,0,0,,0,2,2,100.0,,,,0,2,,,,
126,1975,1975-12-21,14,33.025,KAN,@,OAK,L 20-28,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
127,1976,1976-09-12,1,33.291,KAN,,SDG,L 16-30,0,0,,0,1,2,50.0,1,2,50.0,0,4,0,0,,0
128,1976,1976-09-20,2,33.299,KAN,,OAK,L 21-24,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
129,1976,1976-09-26,3,33.305,KAN,,NOR,L 17-27,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
130,1976,1976-10-03,4,33.312,KAN,@,BUF,L 17-50,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
131,1976,1976-10-10,5,33.319,KAN,@,WAS,W 33-30,0,0,,0,3,3,100.0,4,6,66.7,0,15,0,0,,0
132,1976,1976-10-17,6,33.326,KAN,@,MIA,W 20-17,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
133,1976,1976-10-24,7,33.333,KAN,,DEN,L 26-35,0,0,,0,2,3,66.7,2,4,50.0,0,8,0,0,,0
134,1976,1976-10-31,8,33.340,KAN,@,TAM,W 28-19,0,0,,0,2,3,66.7,2,4,50.0,0,8,0,0,,0
135,1976,1976-11-07,9,33.347,KAN,,PIT,L 0-45,0,0,,0,,,,,1,0.0,0,0,0,0,,0
136,1976,1976-11-14,10,33.354,KAN,@,OAK,L 10-21,0,0,,0,1,1,100.0,1,2,50.0,0,4,1,28,28.00,0
137,1976,1976-11-21,11,33.361,KAN,,CIN,L 24-27,0,0,,0,3,3,100.0,1,5,20.0,0,6,0,0,,0
138,1976,1976-11-28,12,34.002,KAN,@,SDG,W 23-20,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
139,1976,1976-12-05,13,34.009,KAN,@,DEN,L 16-17,1,0,0.00,0,1,2,50.0,1,2,50.0,0,4,0,0,,0
140,1976,1976-12-12,14,34.016,KAN,,CLE,W 39-14,0,0,,0,3,5,60.0,2,3,66.7,0,9,0,0,,0
141,1977,1977-09-18,1,34.296,KAN,@,NWE,L 17-21,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
142,1977,1977-09-25,2,34.303,KAN,,SDG,L 7-23,0,0,,0,1,1,100.0,,,,0,1,,,,
143,1977,1977-10-03,3,34.311,KAN,,OAK,L 28-37,0,0,,0,4,4,100.0,,,,0,4,,,,
144,1977,1977-10-09,4,34.317,KAN,@,DEN,L 7-23,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
145,1977,1977-10-16,5,34.324,KAN,,BAL,L 6-17,0,0,,0,,,,,1,0.0,0,0,0,0,,0
146,1977,1977-10-23,6,34.331,KAN,@,SDG,W 21-16,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
147,1977,1977-10-30,7,34.338,KAN,@,CLE,L 7-44,0,0,,0,1,1,100.0,,,,0,1,,,,
148,1977,1977-11-06,8,34.345,KAN,,GNB,W 20-10,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
149,1977,1977-11-13,9,34.352,KAN,@,CHI,L 27-28,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
150,1977,1977-11-20,10,34.359,KAN,,DEN,L 7-14,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
151,1977,1977-11-27,11,35.001,KAN,@,HOU,L 20-34,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
152,1977,1977-12-04,12,35.008,KAN,,CIN,L 7-27,0,0,,0,1,1,100.0,,,,0,1,,,,
153,1977,1977-12-11,13,35.015,KAN,,SEA,L 31-34,0,0,,0,4,4,100.0,1,3,33.3,0,7,0,0,,0
154,1977,1977-12-18,14,35.022,KAN,@,OAK,L 20-21,0,0,,0,2,3,66.7,,3,0.0,0,2,0,0,,0
155,1978,1978-09-03,1,35.281,KAN,@,CIN,W 24-23,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
156,1978,1978-09-10,2,35.288,KAN,,HOU,L 17-20,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
157,1978,1978-09-17,3,35.295,KAN,@,NYG,L 10-26,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
158,1978,1978-09-24,4,35.302,KAN,,DEN,L 17-23,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
159,1978,1978-10-01,5,35.309,KAN,@,BUF,L 13-28,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
160,1978,1978-10-08,6,35.316,KAN,,TAM,L 13-30,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
161,1978,1978-10-15,7,35.323,KAN,@,OAK,L 6-28,0,0,,0,,1,0.0,,,,0,0,,,,
162,1978,1978-10-22,8,35.330,KAN,,CLE,W 17-3,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
163,1978,1978-10-29,9,35.337,KAN,@,PIT,L 24-27,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
164,1978,1978-11-05,10,35.344,KAN,,OAK,L 10-20,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
165,1978,1978-11-12,11,35.351,KAN,@,SDG,L 23-29,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
166,1978,1978-11-19,12,35.358,KAN,,SEA,L 10-13,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
