ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2002,2002-09-08,1,23.183,HOU,,DAL,W 19-10,*,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
2,2002,2002-09-15,2,23.190,HOU,@,SDG,L 3-24,*,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
3,2002,2002-09-22,3,23.197,HOU,,IND,L 3-23,*,,,,,1,,,,,0.0%,,,,,,,
4,2002,2002-09-29,4,23.204,HOU,@,PHI,L 17-35,*,,,,,1,,,,,0.0%,,,,,,,
5,2002,2002-10-13,5,23.218,HOU,,BUF,L 24-31,,1,0,0.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
6,2002,2002-10-20,6,23.225,HOU,@,CLE,L 17-34,,,,,,,,,,,0.0%,,,,,,,
7,2002,2002-10-27,7,23.232,HOU,@,JAX,W 21-19,*,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
8,2002,2002-11-03,8,23.239,HOU,,CIN,L 3-38,*,1,2,2.00,0,0,0,0,,0,0.0%,,1,19,19.00,0,0,0
9,2002,2002-11-10,9,23.246,HOU,@,TEN,L 10-17,,0,0,,0,1,1,10,10.00,1,100.0%,10.00,0,0,,0,1,6
10,2002,2002-11-17,10,23.253,HOU,,JAX,L 21-24,,0,0,,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0
11,2002,2002-11-24,11,23.260,HOU,,NYG,W 16-14,*,,,,,1,,,,,0.0%,,,,,,,
12,2002,2002-12-01,12,23.267,HOU,@,IND,L 3-19,*,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0
13,2002,2002-12-08,13,23.274,HOU,@,PIT,W 24-6,*,,,,,1,,,,,0.0%,,,,,,,
14,2002,2002-12-15,14,23.281,HOU,,BAL,L 19-23,,,,,,,,,,,0.0%,,,,,,,
15,2002,2002-12-22,15,23.288,HOU,@,WAS,L 10-26,*,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
16,2002,2002-12-29,16,23.295,HOU,,TEN,L 3-13,,,,,,,,,,,0.0%,,,,,,,
17,2004,2004-09-12,1,25.187,HOU,,SDG,L 20-27,,2,1,0.50,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0
18,2004,2004-09-19,2,25.194,HOU,@,DET,L 16-28,*,,,,,,,,,,0.0%,,,,,,,
19,2004,2004-10-03,4,25.208,HOU,,OAK,W 30-17,,,,,,0,,,,,0.0%,,,,,,,
20,2004,2004-10-10,5,25.215,HOU,,MIN,L 28-34,,,,,,0,,,,,0.0%,,,,,,,
21,2004,2004-10-17,6,25.222,HOU,@,TEN,W 20-10,,,,,,,,,,,0.0%,,,,,,,
22,2004,2004-11-14,9,25.250,HOU,@,IND,L 14-49,,,,,,,,,,,0.0%,,,,,,,
23,2004,2004-11-21,10,25.257,HOU,,GNB,L 13-16,,,,,,,,,,,0.0%,,,,,,,
24,2004,2004-12-05,12,25.271,HOU,@,NYJ,L 7-29,,,,,,,,,,,0.0%,,,,,,,
25,2005,2005-10-23,6,26.228,ARI,,TEN,W 20-10,,,,,,0,,,,,0.0%,,,,,,,
26,2005,2005-10-30,7,26.235,ARI,@,DAL,L 13-34,*,,,,,0,,,,,0.0%,,,,,,,
27,2005,2005-11-06,8,26.242,ARI,,SEA,L 19-33,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
28,2005,2005-11-13,9,26.249,ARI,@,DET,L 21-29,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
29,2005,2005-11-20,10,26.256,ARI,@,STL,W 38-28,*,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
30,2005,2005-11-27,11,26.263,ARI,,JAX,L 17-24,,0,0,,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0
31,2005,2005-12-04,12,26.270,ARI,@,SFO,W 17-10,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
32,2005,2005-12-11,13,26.277,ARI,,WAS,L 13-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
