ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2009,2009-09-10,1,22.028,TEN,@,PIT,L 10-13,,,,,,,,,,,,,
2,2009,2009-09-20,2,22.038,TEN,,HOU,L 31-34,,,,,,,,,,,,,
3,2009,2009-09-27,3,22.045,TEN,@,NYJ,L 17-24,,3,72,24.00,0,0,0,0.0,0,0,0,0,0
4,2009,2009-10-04,4,22.052,TEN,@,JAX,L 17-37,*,0,0,,0,0,0,0.0,4,0,0,0,0
5,2009,2009-10-11,5,22.059,TEN,,IND,L 9-31,*,0,0,,0,0,0,0.0,6,2,0,0,0
6,2009,2009-10-18,6,22.066,TEN,@,NWE,L 0-59,*,0,0,,0,0,0,0.0,5,2,0,0,0
7,2009,2009-11-01,7,22.080,TEN,,JAX,W 30-13,,,,,,,,,,,,,
8,2009,2009-11-08,8,22.087,TEN,@,SFO,W 34-27,,0,0,,0,0,0,0.0,0,0,0,0,0
9,2009,2009-11-23,10,22.102,TEN,@,HOU,W 20-17,,0,0,,0,0,0,0.0,0,0,0,0,0
10,2009,2009-11-29,11,22.108,TEN,,ARI,W 20-17,,0,0,,0,0,0,0.0,0,1,0,0,0
11,2009,2009-12-06,12,22.115,TEN,@,IND,L 17-27,,,,,,,,,,,,,
12,2009,2009-12-13,13,22.122,TEN,,STL,W 47-7,,0,0,,0,0,0,0.0,0,0,0,0,0
13,2009,2009-12-20,14,22.129,TEN,,MIA,W 27-24,,,,,,,,,,,,,
14,2009,2009-12-25,15,22.134,TEN,,SDG,L 17-42,,0,0,,0,0,0,0.0,3,0,0,0,0
15,2009,2010-01-03,16,22.143,TEN,@,SEA,W 17-13,,,,,,,,,,,,,
16,2010,2010-09-12,1,23.030,TEN,,OAK,W 38-13,*,0,0,,0,0,0,0.0,3,5,0,0,0
17,2010,2010-09-19,2,23.037,TEN,,PIT,L 11-19,*,0,0,,0,0,0,0.0,2,1,0,0,0
18,2010,2010-09-26,3,23.044,TEN,@,NYG,W 29-10,*,0,0,,0,0,0,0.0,1,3,1,0,0
19,2010,2010-10-31,8,23.079,TEN,@,SDG,L 25-33,,0,0,,0,0,0,0.0,2,0,1,11,0
20,2010,2010-11-14,9,23.093,TEN,@,MIA,L 17-29,,0,0,,0,0,0,0.0,2,0,0,0,0
21,2010,2010-11-21,10,23.100,TEN,,WAS,L 16-19,,0,0,,0,0,0,0.0,5,0,0,0,0
22,2010,2010-11-28,11,23.107,TEN,@,HOU,L 0-20,,0,0,,0,0,0,0.0,4,0,0,0,0
23,2010,2010-12-05,12,23.114,TEN,,JAX,L 6-17,,,,,,,,,,,,,
24,2010,2010-12-09,13,23.118,TEN,,IND,L 28-30,*,0,0,,0,0,0,0.0,5,1,0,0,0
25,2010,2010-12-19,14,23.128,TEN,,HOU,W 31-17,*,0,0,,0,0,0,0.0,5,0,0,0,0
26,2010,2010-12-26,15,23.135,TEN,@,KAN,L 14-34,,0,0,,0,0,0,0.0,0,0,0,0,0
27,2010,2011-01-02,16,23.142,TEN,@,IND,L 20-23,*,0,0,,0,0,0,0.0,5,0,0,0,0
28,2011,2011-09-11,1,24.029,TEN,@,JAX,L 14-16,*,0,0,,0,0,0,1.0,5,0,0,0,0
29,2011,2011-09-18,2,24.036,TEN,,BAL,W 26-13,*,0,0,,0,0,0,0.0,4,0,1,30,0
30,2011,2011-09-25,3,24.043,TEN,,DEN,W 17-14,*,0,0,,0,0,0,0.0,5,1,1,22,0
31,2011,2011-10-02,4,24.050,TEN,@,CLE,W 31-13,*,0,0,,0,0,0,0.0,10,0,0,0,0
32,2011,2011-10-09,5,24.057,TEN,@,PIT,L 17-38,*,0,0,,0,0,0,0.0,8,6,0,0,0
33,2011,2011-10-23,6,24.071,TEN,,HOU,L 7-41,*,0,0,,0,0,0,0.0,8,4,0,0,0
34,2011,2011-10-30,7,24.078,TEN,,IND,W 27-10,*,0,0,,0,0,0,0.0,6,2,0,0,0
35,2011,2011-11-06,8,24.085,TEN,,CIN,L 17-24,*,0,0,,0,0,0,0.0,6,2,0,0,0
36,2011,2011-11-13,9,24.092,TEN,@,CAR,W 30-3,*,0,0,,0,0,0,0.0,7,0,0,0,0
37,2011,2011-11-20,10,24.099,TEN,@,ATL,L 17-23,*,0,0,,0,0,0,0.0,6,1,0,0,0
38,2011,2011-11-27,11,24.106,TEN,,TAM,W 23-17,*,0,0,,0,0,0,0.0,3,1,0,0,0
39,2011,2011-12-04,12,24.113,TEN,@,BUF,W 23-17,*,0,0,,0,0,0,0.0,2,0,0,0,0
40,2011,2011-12-18,14,24.127,TEN,@,IND,L 13-27,*,0,0,,0,0,0,0.0,0,3,0,0,0
41,2011,2011-12-24,15,24.133,TEN,,JAX,W 23-17,*,0,0,,0,0,0,0.0,6,0,0,0,0
42,2011,2012-01-01,16,24.141,TEN,@,HOU,W 23-22,*,0,0,,0,0,0,0.0,9,0,0,0,0
43,2012,2012-09-09,1,25.027,TEN,,NWE,L 13-34,*,0,0,,0,0,0,0.0,2,0,0,0,0
44,2012,2012-09-16,2,25.034,TEN,@,SDG,L 10-38,*,0,0,,0,0,0,0.0,4,1,0,0,0
45,2012,2012-09-23,3,25.041,TEN,,DET,W 44-41,*,0,0,,0,0,0,0.0,4,2,0,0,0
46,2012,2012-09-30,4,25.048,TEN,@,HOU,L 14-38,*,0,0,,0,0,0,0.0,6,0,0,0,0
47,2012,2012-10-07,5,25.055,TEN,@,MIN,L 7-30,*,0,0,,0,0,0,0.0,7,2,0,0,0
48,2012,2012-10-11,6,25.059,TEN,,PIT,W 26-23,*,0,0,,0,0,0,0.0,2,3,1,0,0
49,2012,2012-10-21,7,25.069,TEN,@,BUF,W 35-34,*,0,0,,0,0,0,0.0,3,3,1,0,0
50,2012,2012-10-28,8,25.076,TEN,,IND,L 13-19,*,0,0,,0,0,0,0.0,2,0,0,0,0
51,2012,2012-11-04,9,25.083,TEN,,CHI,L 20-51,*,0,0,,0,0,0,0.0,5,1,0,0,0
52,2012,2012-11-11,10,25.090,TEN,@,MIA,W 37-3,*,0,0,,0,0,0,0.0,9,0,0,0,0
53,2012,2012-11-25,11,25.104,TEN,@,JAX,L 19-24,*,1,14,14.00,0,0,0,0.0,3,1,0,0,0
54,2012,2012-12-02,12,25.111,TEN,,HOU,L 10-24,*,0,0,,0,0,0,0.0,5,0,0,0,0
55,2012,2012-12-09,13,25.118,TEN,@,IND,L 23-27,*,0,0,,0,0,0,0.0,5,1,0,0,0
56,2012,2012-12-17,14,25.126,TEN,,NYJ,W 14-10,*,0,0,,0,0,0,0.0,3,2,2,29,0
57,2012,2012-12-23,15,25.132,TEN,@,GNB,L 7-55,*,0,0,,0,0,0,0.0,7,2,0,0,0
58,2012,2012-12-30,16,25.139,TEN,,JAX,W 38-20,*,0,0,,0,0,0,0.0,6,1,0,0,0
59,2013,2013-09-08,1,26.026,TEN,@,PIT,W 16-9,*,0,0,,0,0,0,0.0,4,0,0,0,0
60,2013,2013-09-15,2,26.033,TEN,@,HOU,L 24-30,*,0,0,,0,0,0,0.0,3,2,0,0,0
61,2013,2013-09-22,3,26.040,TEN,,SDG,W 20-17,*,0,0,,0,0,0,0.0,3,0,0,0,0
62,2013,2013-09-29,4,26.047,TEN,,NYJ,W 38-13,*,0,0,,0,0,0,0.0,4,1,0,0,0
63,2013,2013-10-06,5,26.054,TEN,,KAN,L 17-26,*,0,0,,0,0,0,0.0,3,1,0,0,0
64,2013,2013-10-13,6,26.061,TEN,@,SEA,L 13-20,*,0,0,,0,0,6,0.0,7,2,0,0,0
65,2013,2013-10-20,7,26.068,TEN,,SFO,L 17-31,*,0,0,,0,0,0,0.0,4,0,0,0,0
66,2013,2013-11-03,8,26.082,TEN,@,STL,W 28-21,*,0,0,,0,0,0,0.0,2,0,0,0,0
67,2013,2013-11-10,9,26.089,TEN,,JAX,L 27-29,*,0,0,,0,0,0,0.0,1,0,0,0,0
68,2013,2013-11-14,10,26.093,TEN,,IND,L 27-30,*,0,0,,0,0,0,0.0,3,0,0,0,0
69,2013,2013-11-24,11,26.103,TEN,@,OAK,W 23-19,*,0,0,,0,0,0,0.0,3,0,0,0,0
70,2013,2013-12-01,12,26.110,TEN,@,IND,L 14-22,*,0,0,,0,0,0,0.0,3,0,0,0,0
71,2013,2013-12-08,13,26.117,TEN,@,DEN,L 28-51,*,0,0,,0,0,0,0.0,5,1,0,0,0
72,2013,2013-12-15,14,26.124,TEN,,ARI,L 34-37,*,0,0,,0,0,0,0.0,2,3,0,0,0
73,2013,2013-12-22,15,26.131,TEN,@,JAX,W 20-16,*,0,0,,0,0,0,0.0,3,0,0,0,0
74,2013,2013-12-29,16,26.138,TEN,,HOU,W 16-10,*,0,0,,0,0,0,0.0,4,1,0,0,0
75,2014,2014-09-07,1,27.025,TEN,@,KAN,W 26-10,*,0,0,,0,0,0,0.0,3,0,2,0,0
76,2014,2014-09-14,2,27.032,TEN,,DAL,L 10-26,*,0,0,,0,0,0,0.0,4,0,0,0,0
77,2014,2014-09-21,3,27.039,TEN,@,CIN,L 7-33,*,0,0,,0,0,0,0.0,4,1,0,0,0
78,2014,2014-09-28,4,27.046,TEN,@,IND,L 17-41,*,0,0,,0,0,0,0.0,5,0,0,0,0
79,2014,2014-10-05,5,27.053,TEN,,CLE,L 28-29,*,0,0,,0,0,0,0.0,6,1,0,0,0
