ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,24.104,NYG,@,DAL,L 35-45,,,,
2,2007,2007-09-16,2,24.111,NYG,,GNB,L 13-35,,,,
3,2007,2007-09-23,3,24.118,NYG,@,WAS,W 24-17,,,,
4,2007,2007-09-30,4,24.125,NYG,,PHI,W 16-3,,,,
5,2007,2007-10-07,5,24.132,NYG,,NYJ,W 35-24,,,,
6,2007,2007-10-15,6,24.140,NYG,@,ATL,W 31-10,,,,
7,2007,2007-10-21,7,24.146,NYG,,SFO,W 33-15,,,,
8,2007,2007-10-28,8,24.153,NYG,@,MIA,W 13-10,,,,
9,2007,2007-11-11,9,24.167,NYG,,DAL,L 20-31,,,,
10,2007,2007-11-18,10,24.174,NYG,@,DET,W 16-10,,,,
11,2007,2007-11-25,11,24.181,NYG,,MIN,L 17-41,,,,
12,2007,2007-12-02,12,24.188,NYG,@,CHI,W 21-16,,,,
13,2007,2007-12-09,13,24.195,NYG,@,PHI,W 16-13,,1.0,,
14,2007,2007-12-16,14,24.202,NYG,,WAS,L 10-22,,,,
15,2007,2007-12-23,15,24.209,NYG,@,BUF,W 38-21,,,,
16,2007,2007-12-29,16,24.215,NYG,,NWE,L 35-38,,,,
17,2008,2008-09-04,1,25.099,NYG,,WAS,W 16-7,,,,
18,2008,2008-09-14,2,25.109,NYG,@,STL,W 41-13,,1.0,1,0
19,2008,2008-09-21,3,25.116,NYG,,CIN,W 26-23,,0.0,0,1
20,2008,2008-10-05,4,25.130,NYG,,SEA,W 44-6,,0.0,0,1
21,2008,2008-10-13,5,25.138,NYG,@,CLE,L 14-35,,0.0,1,1
22,2008,2008-10-19,6,25.144,NYG,,SFO,W 29-17,,,,
23,2008,2008-10-26,7,25.151,NYG,@,PIT,W 21-14,,,,
24,2008,2008-11-02,8,25.158,NYG,,DAL,W 35-14,,0.5,0,1
25,2008,2008-11-09,9,25.165,NYG,@,PHI,W 36-31,,,,
26,2008,2008-11-16,10,25.172,NYG,,BAL,W 30-10,,0.0,1,0
27,2008,2008-11-23,11,25.179,NYG,@,ARI,W 37-29,,0.0,0,0
28,2008,2008-11-30,12,25.186,NYG,@,WAS,W 23-7,*,0.0,1,1
29,2008,2008-12-07,13,25.193,NYG,,PHI,L 14-20,,0.0,3,0
30,2008,2008-12-14,14,25.200,NYG,@,DAL,L 8-20,*,1.0,2,0
31,2008,2008-12-21,15,25.207,NYG,,CAR,W 34-28,,0.0,1,0
32,2008,2008-12-28,16,25.214,NYG,@,MIN,L 19-20,*,,,
33,2010,2010-09-12,1,27.107,OAK,@,TEN,L 13-38,,0.0,1,0
34,2010,2010-09-19,2,27.114,OAK,,STL,W 16-14,,,,
35,2010,2010-09-26,3,27.121,OAK,@,ARI,L 23-24,,0.0,1,0
36,2010,2010-10-03,4,27.128,OAK,,HOU,L 24-31,,,,
