ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1985,1985-09-08,1,22.319,STL,@,CLE,W 27-24,,0,0,,0,,,,,,,0,0,,0,,
2,1985,1985-09-15,2,22.326,STL,,CIN,W 41-27,,0,0,,0,,,,,,,0,0,,0,,
3,1985,1985-09-22,3,22.333,STL,@,NYG,L 17-27,,0,0,,0,,,,,,,0,0,,0,,
4,1985,1985-09-29,4,22.340,STL,,GNB,W 43-28,,0,0,,0,,,,,,,0,0,,0,,
5,1985,1985-10-07,5,22.348,STL,@,WAS,L 10-27,,0,0,,0,,,,,,,0,0,,0,,
6,1985,1985-10-13,6,22.354,STL,@,PHI,L 7-30,,0,0,,0,,,,,,,0,0,,0,,
7,1985,1985-10-20,7,22.361,STL,@,PIT,L 10-23,,0,0,,0,,,,,,,0,0,,0,,
8,1985,1985-10-27,8,23.003,STL,,HOU,L 10-20,,0,0,,0,,,,,,,0,0,,0,,
9,1985,1985-11-04,9,23.011,STL,,DAL,W 21-10,,0,0,,0,,,0,0,,0,1,20,20.00,0,0,0
10,1985,1985-11-10,10,23.017,STL,@,TAM,L 0-16,,0,0,,0,,,,,,,0,0,,0,,
11,1985,1985-11-17,11,23.024,STL,,PHI,L 14-24,,0,0,,0,,,,,,,0,0,,0,,
12,1985,1985-11-24,12,23.031,STL,,NYG,L 3-34,,0,0,,0,,,,,,,0,0,,0,,
13,1985,1985-11-28,13,23.035,STL,@,DAL,L 17-35,,0,0,,0,,,,,,,0,0,,0,,
14,1985,1985-12-08,14,23.045,STL,,NOR,W 28-16,,0,0,,0,,,,,,,0,0,,0,,
15,1985,1985-12-15,15,23.052,STL,@,RAM,L 14-46,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0
16,1985,1985-12-21,16,23.058,STL,,WAS,L 16-27,,0,0,,0,,,,,,,0,0,,0,,
17,1986,1986-10-19,7,23.360,STL,@,WAS,L 21-28,,0,0,,0,,,,,,,,,,,,
18,1986,1986-10-26,8,24.002,STL,@,DAL,L 6-37,,0,0,,0,,,,,,,,,,,,
19,1986,1986-11-02,9,24.009,STL,,PHI,W 13-10,,0,0,,0,,,,,,,,,,,,
20,1986,1986-11-09,10,24.016,STL,@,SFO,L 17-43,,0,0,,0,,,,,,,,,,,,
21,1986,1986-11-16,11,24.023,STL,,NOR,L 7-16,,1,2,2.00,0,,,0,0,,0,0,0,,0,0,0
22,1986,1986-11-23,12,24.030,STL,,KAN,W 23-14,,0,0,,0,,,,,,,,,,,,
23,1986,1986-11-30,13,24.037,STL,,WAS,L 17-20,,0,0,,0,,,,,,,,,,,,
24,1986,1986-12-07,14,24.044,STL,@,PHI,T 10-10,,0,0,,0,,,,,,,,,,,,
25,1987,1987-09-13,1,24.324,STL,,DAL,W 24-13,,4,43,10.75,0,,,0,0,,0,0,0,,0,0,0
26,1987,1987-09-20,2,24.331,STL,@,SDG,L 24-28,,7,101,14.43,1,,,0,0,,0,0,0,,0,1,6
27,1987,1987-10-25,6,25.001,STL,@,NYG,L 7-30,,4,53,13.25,1,,,0,0,,0,0,0,,0,1,6
28,1987,1987-12-06,12,25.043,STL,,WAS,L 17-34,,0,0,,0,,,,,,,,,,,,
29,1987,1987-12-13,13,25.050,STL,,NYG,W 27-24,,0,0,,0,,,,,,,,,,,,
30,1987,1987-12-20,14,25.057,STL,@,TAM,W 31-14,,1,15,15.00,1,,,0,0,,0,0,0,,0,1,6
31,1987,1987-12-27,15,25.064,STL,@,DAL,L 16-21,,4,42,10.50,0,,,0,0,,0,0,0,,0,0,0
32,1988,1988-09-04,1,25.316,PHO,@,CIN,L 14-21,,0,0,,0,,,0,0,,0,,,,,0,
33,1988,1988-09-12,2,25.324,PHO,,DAL,L 14-17,,4,78,19.50,1,,,0,0,,0,0,0,,0,1,6
34,1988,1988-09-18,3,25.330,PHO,@,TAM,W 30-24,,5,102,20.40,1,,,0,0,,0,0,0,,0,1,6
35,1988,1988-09-25,4,25.337,PHO,,WAS,W 30-21,,3,61,20.33,0,,,1,10,10.00,0,0,0,,0,0,0
36,1988,1988-10-02,5,25.344,PHO,@,RAM,W 41-27,,9,92,10.22,1,,,0,0,,0,0,0,,0,1,6
37,1988,1988-10-09,6,25.351,PHO,,PIT,W 31-14,,3,49,16.33,0,,,0,0,,0,0,0,,0,0,0
38,1988,1988-10-16,7,25.358,PHO,@,WAS,L 17-33,,2,49,24.50,1,,,0,0,,0,0,0,,0,1,6
39,1988,1988-10-23,8,25.365,PHO,,CLE,L 21-29,,0,0,,0,,,0,0,,0,,,,,0,
40,1988,1988-10-30,9,26.006,PHO,@,DAL,W 16-10,,1,14,14.00,0,,,0,0,,0,0,0,,0,0,0
41,1988,1988-11-06,10,26.013,PHO,,SFO,W 24-23,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0
42,1988,1988-11-13,11,26.020,PHO,,NYG,W 24-17,,2,39,19.50,0,,,0,0,,0,0,0,,0,0,0
43,1988,1988-11-20,12,26.027,PHO,@,HOU,L 20-38,,0,0,,0,,,0,0,,0,,,,,0,
44,1988,1988-11-27,13,26.034,PHO,@,PHI,L 21-31,,1,3,3.00,0,,,0,0,,0,0,0,,0,0,0
45,1988,1988-12-04,14,26.041,PHO,@,NYG,L 7-44,,2,18,9.00,0,,,0,0,,0,0,0,,0,0,0
46,1988,1988-12-10,15,26.047,PHO,,PHI,L 17-23,,4,33,8.25,0,,,0,0,,0,0,0,,0,0,0
47,1988,1988-12-18,16,26.055,PHO,,GNB,L 17-26,,1,22,22.00,0,,,0,0,,0,0,0,,0,0,0
48,1989,1989-09-10,1,26.321,PHO,@,DET,W 16-13,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0
49,1989,1989-09-17,2,26.328,PHO,@,SEA,W 34-24,,0,0,,0,,,,,,,,,,,,
50,1989,1989-09-24,3,26.335,PHO,@,NYG,L 7-35,,3,29,9.67,0,,,0,0,,0,0,0,,0,0,0
51,1989,1989-10-01,4,26.342,PHO,,SDG,L 13-24,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0
52,1989,1989-10-08,5,26.349,PHO,@,WAS,L 28-30,,4,39,9.75,0,,,0,0,,0,0,0,,0,0,0
53,1989,1989-10-15,6,26.356,PHO,,PHI,L 5-17,,1,3,3.00,0,,,0,0,,0,0,0,,0,0,0
54,1989,1989-10-22,7,26.363,PHO,,ATL,W 34-20,,0,0,,0,,,,,,,,,,,,
55,1989,1989-10-29,8,27.005,PHO,@,DAL,W 19-10,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0
56,1989,1989-11-05,9,27.012,PHO,,NYG,L 13-20,,2,24,12.00,0,,,0,0,,0,0,0,,0,0,0
57,1989,1989-11-12,10,27.019,PHO,,DAL,W 24-20,,0,0,,0,,,,,,,,,,,,
58,1989,1989-11-19,11,27.026,PHO,@,RAM,L 14-37,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,0
59,1989,1989-11-26,12,27.033,PHO,,TAM,L 13-14,,4,33,8.25,0,,,0,0,,0,0,0,,0,0,0
60,1989,1989-12-03,13,27.040,PHO,,WAS,L 10-29,,0,0,,0,,,,,,,,,,,,
61,1989,1989-12-10,14,27.047,PHO,@,RAI,L 14-16,,2,13,6.50,1,,,0,0,,0,0,0,,0,1,6
62,1989,1989-12-16,15,27.053,PHO,,DEN,L 0-37,,2,26,13.00,0,,,0,0,,0,0,0,,0,0,0
63,1989,1989-12-24,16,27.061,PHO,@,PHI,L 14-31,,1,30,30.00,0,,,0,0,,0,0,0,,0,0,0
64,1990,1990-09-09,1,27.320,DAL,,SDG,W 17-14,,3,37,12.33,0,,,0,0,,0,0,0,,0,0,0
65,1990,1990-09-16,2,27.327,DAL,,NYG,L 7-28,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0
66,1990,1990-09-23,3,27.334,DAL,@,WAS,L 15-19,,4,39,9.75,0,,,0,0,,0,0,0,,0,0,0
67,1990,1990-09-30,4,27.341,DAL,@,NYG,L 17-31,,9,85,9.44,1,,,0,0,,0,0,0,,0,1,6
68,1990,1990-10-07,5,27.348,DAL,,TAM,W 14-10,,3,35,11.67,1,,,0,0,,0,0,0,,0,1,6
69,1990,1990-10-14,6,27.355,DAL,@,PHO,L 3-20,,3,26,8.67,0,,,0,0,,0,0,0,,0,0,0
70,1990,1990-10-21,7,27.362,DAL,@,TAM,W 17-13,,5,69,13.80,0,,,0,0,,0,0,0,,0,0,0
71,1990,1990-10-28,8,28.004,DAL,,PHI,L 20-21,,7,105,15.00,1,,,0,0,,0,0,0,,0,1,6
72,1990,1990-11-04,9,28.011,DAL,@,NYJ,L 9-24,,4,18,4.50,0,,,0,0,,0,0,0,,0,0,0
73,1990,1990-11-11,10,28.018,DAL,,SFO,L 6-24,,1,17,17.00,0,,,0,0,,0,0,0,,0,0,0
74,1990,1990-11-18,11,28.025,DAL,@,RAM,W 24-21,,1,3,3.00,0,,,0,0,,0,0,0,,0,0,0
75,1990,1990-11-22,12,28.029,DAL,,WAS,W 27-17,,4,88,22.00,0,,,0,0,,0,0,0,,0,0,0
76,1990,1990-12-02,13,28.039,DAL,,NOR,W 17-13,,8,69,8.63,0,,,0,0,,0,0,0,,0,0,0
77,1990,1990-12-16,14,28.053,DAL,,PHO,W 41-10,,1,1,1.00,0,,,0,0,,0,0,0,,0,0,0
78,1990,1990-12-23,15,28.060,DAL,@,PHI,L 3-17,,4,32,8.00,0,,,0,0,,0,0,0,,0,0,0
79,1990,1990-12-30,16,28.067,DAL,@,ATL,L 7-26,,1,27,27.00,1,,,0,0,,0,0,0,,0,1,6
80,1991,1991-09-01,1,28.312,DAL,@,CLE,W 26-14,,4,50,12.50,1,,,0,0,,0,0,0,,0,1,6
