ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2017,2017-09-10,1,22.196,TEN,,OAK,L 16-26,,0.0,3,1
2,2017,2017-09-17,2,22.203,TEN,@,JAX,W 37-16,,0.0,1,0
3,2017,2017-09-24,3,22.210,TEN,,SEA,W 33-27,,0.0,3,0
4,2017,2017-10-01,4,22.217,TEN,@,HOU,L 14-57,,0.0,2,2
5,2017,2017-10-08,5,22.224,TEN,@,MIA,L 10-16,,0.0,1,0
6,2017,2017-10-16,6,22.232,TEN,,IND,W 36-22,,0.0,2,1
7,2017,2017-10-22,7,22.238,TEN,@,CLE,W 12-9,,0.0,2,2
8,2017,2017-11-05,8,22.252,TEN,,BAL,W 23-20,,0.0,5,1
9,2017,2017-11-12,9,22.259,TEN,,CIN,W 24-20,,0.0,4,0
10,2017,2017-11-16,10,22.263,TEN,@,PIT,L 17-40,,0.0,1,2
11,2017,2017-11-26,11,22.273,TEN,@,IND,W 20-16,,0.5,1,1
12,2017,2017-12-03,12,22.280,TEN,,HOU,W 24-13,,0.0,0,1
13,2017,2017-12-10,13,22.287,TEN,@,ARI,L 7-12,,0.0,2,1
14,2017,2017-12-17,14,22.294,TEN,@,SFO,L 23-25,,1.0,5,0
15,2017,2017-12-24,15,22.301,TEN,,LAR,L 23-27,,0.0,3,2
16,2017,2017-12-31,16,22.308,TEN,,JAX,W 15-10,,0.0,2,0
17,2018,2018-09-09,1,23.195,TEN,@,MIA,L 20-27,,0.0,3,1
18,2018,2018-09-16,2,23.202,TEN,,HOU,W 20-17,,0.0,2,0
19,2018,2018-09-23,3,23.209,TEN,@,JAX,W 9-6,,0.0,4,2
