ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-01,1,22.296,PIT,,SDG,W 26-20,,,,,,,,,
2,1991,1991-09-08,2,22.303,PIT,@,BUF,L 34-52,,,,,,,,,
3,1991,1991-09-15,3,22.310,PIT,,NWE,W 20-6,,,,,,,,,
4,1991,1991-09-22,4,22.317,PIT,@,PHI,L 14-23,,,,,,,,,
5,1991,1991-10-06,5,22.331,PIT,@,IND,W 21-3,,,,,,,,,
6,1991,1991-10-14,6,22.339,PIT,,NYG,L 20-23,,,,,,,,,
7,1991,1991-10-20,7,22.345,PIT,,SEA,L 7-27,,,,,,,,,
8,1991,1991-10-27,8,22.352,PIT,@,CLE,L 14-17,,,,,,,,,
9,1991,1991-11-03,9,22.359,PIT,@,DEN,L 13-20,,,,,,,,,
10,1991,1991-11-10,10,23.001,PIT,@,CIN,W 33-27,,,,,,,,,
11,1991,1991-11-17,11,23.008,PIT,,WAS,L 14-41,,,,,,,,,
12,1991,1991-11-24,12,23.015,PIT,,HOU,W 26-14,,,,,,,,,
13,1991,1991-11-28,13,23.019,PIT,@,DAL,L 10-20,,,,,,,,,
14,1991,1991-12-08,14,23.029,PIT,@,HOU,L 6-31,,,,,,,,,
15,1991,1991-12-15,15,23.036,PIT,,CIN,W 17-10,,,,,,,,,
16,1991,1991-12-22,16,23.043,PIT,,CLE,W 17-10,,,,,,,,,
17,1992,1992-09-06,1,23.302,GNB,,MIN,L 20-23,,,,,,,,,
18,1992,1992-09-13,2,23.309,GNB,@,TAM,L 3-31,,,,,,,,,
19,1992,1992-11-22,11,24.013,GNB,@,CHI,W 17-3,,,,,,,,,
20,1992,1992-11-29,12,24.020,GNB,,TAM,W 19-14,,,,,,,,,
21,1992,1992-12-06,13,24.027,GNB,,DET,W 38-10,,,,,,,,,
22,1992,1992-12-13,14,24.034,GNB,@,HOU,W 16-14,,,,,,,,,
23,1992,1992-12-20,15,24.041,GNB,,RAM,W 28-13,,,,,,,,,
24,1992,1992-12-27,16,24.048,GNB,@,MIN,L 7-27,,,,,,,,,
25,1993,1993-09-05,1,24.300,RAM,@,GNB,L 6-36,,,,,,,,,
26,1993,1993-09-12,2,24.307,RAM,,PIT,W 27-0,,,,,,,,,
27,1993,1993-09-19,3,24.314,RAM,@,NYG,L 10-20,,,,,,,,,
28,1993,1993-09-26,4,24.321,RAM,@,HOU,W 28-13,,,,,,,,,
29,1993,1993-10-03,5,24.328,RAM,,NOR,L 6-37,,,,,,,,,
30,1993,1993-10-14,6,24.339,RAM,@,ATL,L 24-30,,,,,,,,,
31,1993,1993-11-07,8,24.363,SDG,@,MIN,W 30-17,,,,,,,,,
32,1993,1993-11-14,9,25.005,SDG,,CHI,L 13-16,,,,,,,,,
33,1993,1994-01-02,16,25.054,SDG,@,TAM,W 32-17,,,,,,,,,
34,1994,1994-09-04,1,25.299,TAM,@,CHI,L 9-21,,,,,,,,,
35,1994,1994-09-11,2,25.306,TAM,,IND,W 24-10,,,,,,,,,
36,1994,1994-09-18,3,25.313,TAM,,NOR,L 7-9,,,,,,,,,
37,1994,1994-09-25,4,25.320,TAM,@,GNB,L 3-30,,,,,,,,,
38,1994,1994-10-02,5,25.327,TAM,,DET,W 24-14,,,,,,,,,
39,1994,1994-10-09,6,25.334,TAM,@,ATL,L 13-34,,,,,,,,,
40,1994,1994-10-23,7,25.348,TAM,@,SFO,L 16-41,,,,,,,,,
41,1994,1994-10-30,8,25.355,TAM,,MIN,L 13-36,,,,,,,,,
42,1994,1994-11-06,9,25.362,TAM,,CHI,L 6-20,,,,,,,,,
43,1994,1994-11-13,10,26.004,TAM,@,DET,L 9-14,,,,,,,,,
44,1994,1994-11-20,11,26.011,TAM,@,SEA,L 21-22,,,,,,,,,
45,1994,1994-11-27,12,26.018,TAM,@,MIN,W 20-17,,,,,,,,,
46,1994,1994-12-04,13,26.025,TAM,,WAS,W 26-21,,,,,,,,,
47,1994,1994-12-11,14,26.032,TAM,,RAM,W 24-14,,,,,,,,,
48,1994,1994-12-18,15,26.039,TAM,@,WAS,W 17-14,,,,,,,,,
49,1994,1994-12-24,16,26.045,TAM,,GNB,L 19-34,,,,,,,,,
50,1995,1995-09-03,1,26.298,MIN,@,CHI,L 14-31,,,,,,,,,
