ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1994,1994-09-11,2,23.075,CIN,@,SDG,L 10-27,0,0,,0,,0,0,,0,0.0%,,,,,,0,
2,1994,1994-09-18,3,23.082,CIN,,NWE,L 28-31,0,0,,0,0,0,0,,0,0.0%,,,,,,0,
3,1994,1994-09-25,4,23.089,CIN,@,HOU,L 13-20,0,0,,0,0,0,0,,0,0.0%,,,,,,0,
4,1994,1994-10-02,5,23.096,CIN,,MIA,L 7-23,0,0,,0,0,0,0,,0,0.0%,,,,,,0,
5,1994,1994-10-16,6,23.110,CIN,@,PIT,L 10-14,0,0,,0,1,1,7,7.00,1,100.0%,7.00,0,0,,0,1,6
6,1994,1994-10-23,7,23.117,CIN,@,CLE,L 13-37,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0
7,1994,1994-11-06,9,23.131,CIN,@,SEA,W 20-17,0,0,,0,,0,0,,0,0.0%,,,,,,0,
8,1994,1994-11-13,10,23.138,CIN,,HOU,W 34-31,0,0,,0,,0,0,,0,0.0%,,,,,,0,
9,1994,1994-11-20,11,23.145,CIN,,IND,L 13-17,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
10,1994,1994-11-27,12,23.152,CIN,@,DEN,L 13-15,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
11,1994,1994-12-04,13,23.159,CIN,,PIT,L 15-38,5,19,3.80,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
12,1994,1994-12-11,14,23.166,CIN,@,NYG,L 20-27,7,21,3.00,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0
13,1994,1994-12-18,15,23.173,CIN,@,ARI,L 7-28,3,15,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
14,1994,1994-12-24,16,23.179,CIN,,PHI,W 33-30,4,16,4.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
15,1995,1995-09-03,1,24.067,CIN,@,IND,W 24-21,1,2,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
16,1995,1995-09-10,2,24.074,CIN,,JAX,W 24-17,1,9,9.00,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0
17,1995,1995-09-17,3,24.081,CIN,@,SEA,L 21-24,2,3,1.50,0,2,1,-6,-6.00,0,50.0%,-3.00,0,0,,0,0,0
18,1995,1995-09-24,4,24.088,CIN,,HOU,L 28-38,2,9,4.50,0,3,1,-2,-2.00,0,33.3%,-0.67,0,0,,0,0,0
19,1995,1995-10-01,5,24.095,CIN,,MIA,L 23-26,2,18,9.00,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0
20,1995,1995-10-08,6,24.102,CIN,@,TAM,L 16-19,1,1,1.00,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
21,1995,1995-10-19,7,24.113,CIN,@,PIT,W 27-9,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
22,1995,1995-10-29,8,24.123,CIN,,CLE,L 26-29,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
23,1995,1995-11-05,9,24.130,CIN,,OAK,L 17-20,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
24,1995,1995-11-19,11,24.144,CIN,,PIT,L 31-49,1,1,1.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
25,1995,1995-11-26,12,24.151,CIN,@,JAX,W 17-13,0,0,,0,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0
26,1995,1995-12-03,13,24.158,CIN,@,GNB,L 10-24,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
27,1995,1995-12-17,15,24.172,CIN,@,CLE,L 10-26,0,0,,0,3,0,0,,0,0.0%,0.00,,,,,0,
28,1995,1995-12-24,16,24.179,CIN,,MIN,W 27-24,0,0,,0,,0,0,,0,0.0%,,,,,,0,
29,1996,1996-09-01,1,25.065,CIN,@,STL,L 16-26,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
30,1996,1996-09-08,2,25.072,CIN,@,SDG,L 14-27,0,0,,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0
31,1996,1996-09-15,3,25.079,CIN,,NOR,W 30-15,2,3,1.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
32,1996,1996-09-29,4,25.093,CIN,,DEN,L 10-14,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
33,1996,1996-10-06,5,25.100,CIN,,HOU,L 27-30,5,25,5.00,1,0,0,0,,0,0.0%,,0,0,,0,1,6
34,1996,1996-10-13,6,25.107,CIN,@,PIT,L 10-20,0,0,,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0
35,1996,1996-10-20,7,25.114,CIN,@,SFO,L 21-28,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
36,1996,1996-10-27,8,25.121,CIN,,JAX,W 28-21,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
37,1996,1996-11-03,9,25.128,CIN,@,BAL,W 24-21,1,6,6.00,0,3,1,5,5.00,0,33.3%,1.67,1,11,11.00,0,0,0
38,1996,1996-11-10,10,25.135,CIN,,PIT,W 34-24,0,0,,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0
39,1996,1996-11-17,11,25.142,CIN,@,BUF,L 17-31,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
