ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1990,1990-09-24,3,24.165,BUF,@,NYJ,W 30-7,
2,1990,1990-09-30,4,24.171,BUF,,DEN,W 29-28,
3,1990,1990-10-07,5,24.178,BUF,,RAI,W 38-24,
4,1990,1990-11-18,10,24.220,DET,@,NYG,L 0-20,
5,1990,1990-11-22,11,24.224,DET,,DEN,W 40-27,1.0
6,1990,1990-12-02,12,24.234,DET,@,CHI,L 17-23,
7,1990,1990-12-10,13,24.242,DET,,RAI,L 31-38,
8,1990,1990-12-16,14,24.248,DET,,CHI,W 38-21,1.0
9,1990,1990-12-22,15,24.254,DET,@,GNB,W 24-17,
10,1990,1990-12-30,16,24.262,DET,@,SEA,L 10-30,1.0
11,1991,1991-09-01,1,25.142,DET,@,WAS,L 0-45,
12,1991,1991-09-08,2,25.149,DET,,GNB,W 23-14,
13,1991,1991-09-15,3,25.156,DET,,MIA,W 17-13,
14,1991,1991-09-22,4,25.163,DET,@,IND,W 33-24,2.0
15,1991,1991-09-29,5,25.170,DET,,TAM,W 31-3,
16,1991,1991-10-06,6,25.177,DET,,MIN,W 24-20,
17,1991,1991-10-20,7,25.191,DET,@,SFO,L 3-35,
18,1991,1991-10-27,8,25.198,DET,,DAL,W 34-10,1.0
19,1991,1991-11-03,9,25.205,DET,@,CHI,L 10-20,1.0
20,1991,1991-11-10,10,25.212,DET,@,TAM,L 21-30,
21,1991,1991-11-17,11,25.219,DET,,RAM,W 21-10,
22,1991,1991-11-24,12,25.226,DET,@,MIN,W 34-14,
23,1991,1991-11-28,13,25.230,DET,,CHI,W 16-6,
24,1991,1991-12-08,14,25.240,DET,,NYJ,W 34-20,1.0
25,1991,1991-12-15,15,25.247,DET,@,GNB,W 21-17,
26,1991,1991-12-22,16,25.254,DET,@,BUF,W 17-14,1.0
27,1992,1992-09-06,1,26.147,DET,@,CHI,L 24-27,
28,1992,1992-09-13,2,26.154,DET,,MIN,W 31-17,
29,1992,1992-09-20,3,26.161,DET,@,WAS,L 10-13,
30,1992,1992-10-04,5,26.175,DET,,NOR,L 7-13,
31,1992,1992-10-25,7,26.196,MIA,,IND,L 20-31,
32,1992,1992-11-01,8,26.203,MIA,@,NYJ,L 14-26,
33,1992,1992-11-08,9,26.210,MIA,@,IND,W 28-0,
34,1992,1992-11-16,10,26.218,MIA,,BUF,L 20-26,
35,1992,1992-11-22,11,26.224,MIA,,HOU,W 19-16,
36,1992,1992-11-29,12,26.231,MIA,@,NOR,L 13-24,
37,1992,1992-12-14,14,26.246,MIA,,RAI,W 20-7,
38,1993,1993-10-10,5,27.181,MIA,@,CLE,W 24-14,1.0
39,1993,1993-10-24,6,27.195,MIA,,IND,W 41-27,2.0
40,1993,1993-12-19,14,27.251,MIA,,BUF,L 34-47,
41,1993,1993-12-27,15,27.259,MIA,@,SDG,L 20-45,
42,1993,1994-01-02,16,27.265,MIA,@,NWE,L 27-33,
43,1994,1994-09-25,4,28.166,TAM,@,GNB,L 3-30,
