ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-26,3,22.044,IND,@,DEN,W 27-13,,,,,,
2,2010,2010-10-03,4,22.051,IND,@,JAX,L 28-31,,,,,,
3,2010,2010-10-17,6,22.065,IND,@,WAS,W 27-24,,,,,,
4,2010,2010-11-01,7,22.080,IND,,HOU,W 30-17,,0,0,0.0,1,0
5,2010,2010-11-07,8,22.086,IND,@,PHI,L 24-26,,,,,,
6,2010,2010-11-14,9,22.093,IND,,CIN,W 23-17,,0,0,0.0,2,0
7,2010,2010-11-21,10,22.100,IND,@,NWE,L 28-31,,,,,,
8,2010,2010-11-28,11,22.107,IND,,SDG,L 14-36,,,,,,
9,2010,2010-12-05,12,22.114,IND,,DAL,L 35-38,,,,,,
10,2010,2010-12-09,13,22.118,IND,@,TEN,W 30-28,,,,,,
11,2010,2010-12-26,15,22.135,IND,@,OAK,W 31-26,,,,,,
12,2010,2011-01-02,16,22.142,IND,,TEN,W 23-20,,0,0,0.0,3,0
13,2011,2011-09-18,2,23.036,IND,,CLE,L 19-27,,0,0,0.0,0,1
14,2011,2011-09-25,3,23.043,IND,,PIT,L 20-23,,,,,,
15,2011,2011-10-03,4,23.051,IND,@,TAM,L 17-24,,0,0,1.0,1,0
16,2011,2011-10-09,5,23.057,IND,,KAN,L 24-28,,0,0,0.0,0,0
17,2011,2011-10-23,7,23.071,IND,@,NOR,L 7-62,,0,0,0.0,0,0
18,2011,2011-10-30,8,23.078,IND,@,TEN,L 10-27,,0,0,0.0,1,0
19,2011,2011-11-06,9,23.085,IND,,ATL,L 7-31,,0,0,0.0,0,2
20,2011,2011-11-13,10,23.092,IND,,JAX,L 3-17,,0,0,0.0,0,1
21,2011,2011-11-27,11,23.106,IND,,CAR,L 19-27,,0,0,0.0,1,2
22,2011,2011-12-18,14,23.127,IND,,TEN,W 27-13,,0,0,0.0,0,2
23,2011,2011-12-22,15,23.131,IND,,HOU,W 19-16,*,,,,,
24,2011,2012-01-01,16,23.141,IND,@,JAX,L 13-19,,0,0,0.0,1,1
25,2012,2012-09-09,1,24.027,IND,@,CHI,L 21-41,,,,,,
26,2012,2012-09-16,2,24.034,IND,,MIN,W 23-20,*,0,0,1.0,2,0
27,2012,2012-09-23,3,24.041,IND,,JAX,L 17-22,*,0,0,0.0,3,0
28,2012,2012-10-07,4,24.055,IND,,GNB,W 30-27,,0,0,0.0,0,0
29,2012,2012-10-14,5,24.062,IND,@,NYJ,L 9-35,*,0,0,1.0,3,5
30,2012,2012-10-21,6,24.069,IND,,CLE,W 17-13,*,0,0,0.0,1,2
31,2012,2012-10-28,7,24.076,IND,@,TEN,W 19-13,*,0,0,1.0,1,0
32,2012,2012-11-04,8,24.083,IND,,MIA,W 23-20,,0,0,0.0,0,1
33,2012,2012-11-08,9,24.087,IND,@,JAX,W 27-10,*,0,0,1.0,2,0
34,2012,2012-11-18,10,24.097,IND,@,NWE,L 24-59,,0,0,0.0,1,0
35,2012,2012-11-25,11,24.104,IND,,BUF,W 20-13,,0,0,0.0,0,2
36,2012,2012-12-02,12,24.111,IND,@,DET,W 35-33,,0,0,0.0,0,0
37,2012,2012-12-09,13,24.118,IND,,TEN,W 27-23,,,,,,
38,2012,2012-12-16,14,24.125,IND,@,HOU,L 17-29,,0,0,0.0,3,1
39,2012,2012-12-23,15,24.132,IND,@,KAN,W 20-13,,0,0,0.0,4,0
40,2012,2012-12-30,16,24.139,IND,,HOU,W 28-16,,0,0,0.0,1,0
41,2013,2013-09-08,1,25.026,BUF,,NWE,L 21-23,,0,0,0.5,2,1
42,2013,2013-09-15,2,25.033,BUF,,CAR,W 24-23,,0,0,0.0,3,1
43,2013,2013-09-22,3,25.040,BUF,@,NYJ,L 20-27,,0,0,0.0,1,1
44,2013,2013-09-29,4,25.047,BUF,,BAL,W 23-20,,0,0,0.0,0,0
45,2013,2013-10-03,5,25.051,BUF,@,CLE,L 24-37,,0,0,1.5,2,3
46,2013,2013-10-13,6,25.061,BUF,,CIN,L 24-27,,0,0,0.0,5,6
47,2013,2013-10-20,7,25.068,BUF,@,MIA,W 23-21,,0,0,0.0,1,0
48,2013,2013-10-27,8,25.075,BUF,@,NOR,L 17-35,*,0,0,1.0,2,0
49,2013,2013-11-03,9,25.082,BUF,,KAN,L 13-23,,0,0,1.0,1,0
