ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1970,1970-10-12,4,21.359,GNB,@,SDG,W 22-20,,,,,,,,,
2,1970,1970-10-18,5,22.000,GNB,,RAM,L 21-31,,,,,,,,,
3,1970,1970-10-25,6,22.007,GNB,,PHI,W 30-17,,,,,,,,,
4,1970,1970-11-01,7,22.014,GNB,@,SFO,L 10-26,,,,,,,,,
5,1970,1970-11-09,8,22.022,GNB,,BAL,L 10-13,,,,,,,,,
6,1970,1970-11-15,9,22.028,GNB,,CHI,W 20-19,,,,,,,,,
7,1970,1970-11-22,10,22.035,GNB,@,MIN,L 3-10,,,,,,,,,
8,1970,1970-11-26,11,22.039,GNB,@,DAL,L 3-16,,,,,,,,,
9,1970,1970-12-06,12,22.049,GNB,@,PIT,W 20-12,,,,,,,,,
10,1970,1970-12-13,13,22.056,GNB,@,CHI,L 17-35,,,,,,,,,
11,1970,1970-12-20,14,22.063,GNB,@,DET,L 0-20,,,,,,,,,
12,1971,1971-09-26,2,22.343,GNB,,DEN,W 34-13,1,5,5.00,0,0,0,0,0,0
13,1971,1971-10-03,3,22.350,GNB,,CIN,W 20-17,,,,,,,,,
14,1971,1971-10-10,4,22.357,GNB,@,DET,L 28-31,,,,,,,,,
15,1971,1971-10-17,5,22.364,GNB,,MIN,L 13-24,,,,,,,,,
16,1971,1971-10-24,6,23.006,GNB,@,RAM,L 13-30,,,,,,,,,
17,1971,1971-11-01,7,23.014,GNB,,DET,T 14-14,,,,,,,,,
18,1971,1971-11-07,8,23.020,GNB,@,CHI,W 17-14,,,,,,,,,
19,1971,1971-11-14,9,23.027,GNB,@,MIN,L 0-3,,,,,,,,,
20,1971,1971-11-22,10,23.035,GNB,@,ATL,L 21-28,,,,,,,,,
21,1971,1971-11-28,11,23.041,GNB,,NOR,L 21-29,,,,,,,,,
22,1971,1971-12-05,12,23.048,GNB,@,STL,T 16-16,,,,,,,,,
23,1971,1971-12-12,13,23.055,GNB,,CHI,W 31-10,0,0,,0,0,0,1,16,0
24,1971,1971-12-19,14,23.062,GNB,@,MIA,L 6-27,,,,,,,,,
25,1972,1972-09-17,1,23.335,GNB,@,CLE,W 26-10,,,,,,,,,
26,1972,1972-09-24,2,23.342,GNB,,OAK,L 14-20,,,,,,,,,
