ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1988,1988-09-04,1,23.358,DEN,,SEA,L 14-21
2,1988,1988-09-11,2,23.365,DEN,,SDG,W 34-3
3,1988,1988-09-18,3,24.006,DEN,@,KAN,L 13-20
4,1988,1988-09-26,4,24.014,DEN,,RAI,L 27-30
5,1988,1988-10-02,5,24.020,DEN,@,SDG,W 12-0
6,1988,1988-10-09,6,24.027,DEN,@,SFO,W 16-13
7,1988,1988-10-16,7,24.034,DEN,,ATL,W 30-14
8,1988,1988-10-23,8,24.041,DEN,@,PIT,L 21-39
9,1988,1988-10-31,9,24.049,DEN,@,IND,L 23-55
10,1988,1988-11-06,10,24.055,DEN,,KAN,W 17-11
11,1988,1988-11-13,11,24.062,DEN,,CLE,W 30-7
12,1988,1988-11-20,12,24.069,DEN,@,NOR,L 0-42
13,1988,1988-11-27,13,24.076,DEN,,RAM,W 35-24
14,1988,1988-12-04,14,24.083,DEN,@,RAI,L 20-21
15,1988,1988-12-11,15,24.090,DEN,@,SEA,L 14-42
16,1988,1988-12-17,16,24.096,DEN,,NWE,W 21-10
17,1989,1989-09-10,1,24.363,DEN,,KAN,W 34-20
18,1989,1989-09-18,2,25.006,DEN,@,BUF,W 28-14
19,1989,1989-09-24,3,25.012,DEN,,RAI,W 31-21
20,1989,1989-10-01,4,25.019,DEN,@,CLE,L 13-16
21,1989,1989-10-08,5,25.026,DEN,,SDG,W 16-10
22,1989,1989-10-15,6,25.033,DEN,,IND,W 14-3
23,1989,1989-10-22,7,25.040,DEN,@,SEA,W 24-21
24,1989,1989-10-29,8,25.047,DEN,,PHI,L 24-28
25,1989,1989-11-05,9,25.054,DEN,,PIT,W 34-7
26,1989,1989-11-12,10,25.061,DEN,@,KAN,W 16-13
27,1989,1989-11-20,11,25.069,DEN,@,WAS,W 14-10
28,1989,1989-11-26,12,25.075,DEN,,SEA,W 41-14
29,1989,1989-12-03,13,25.082,DEN,@,RAI,L 13-16
30,1989,1989-12-10,14,25.089,DEN,,NYG,L 7-14
31,1989,1989-12-16,15,25.095,DEN,@,PHO,W 37-0
32,1989,1989-12-24,16,25.103,DEN,@,SDG,L 16-19
33,1990,1990-09-09,1,25.362,DEN,@,RAI,L 9-14
34,1990,1990-09-17,2,26.005,DEN,,KAN,W 24-23
35,1990,1990-09-23,3,26.011,DEN,,SEA,W 34-31
36,1990,1990-09-30,4,26.018,DEN,@,BUF,L 28-29
37,1990,1990-10-08,5,26.026,DEN,,CLE,L 29-30
38,1990,1990-10-14,6,26.032,DEN,,PIT,L 17-34
39,1990,1990-10-21,7,26.039,DEN,@,IND,W 27-17
40,1990,1990-11-04,8,26.053,DEN,@,MIN,L 22-27
41,1990,1990-11-11,9,26.060,DEN,@,SDG,L 7-19
42,1990,1990-11-18,10,26.067,DEN,,CHI,L 13-16
43,1990,1990-11-22,11,26.071,DEN,@,DET,L 27-40
44,1990,1990-12-09,13,26.088,DEN,@,KAN,L 20-31
