ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1978,1978-09-02,1,22.287,NYG,@,TAM,W 19-13
2,1978,1978-09-10,2,22.295,NYG,,DAL,L 24-34
3,1978,1978-09-17,3,22.302,NYG,,KAN,W 26-10
4,1978,1978-09-24,4,22.309,NYG,,SFO,W 27-10
5,1978,1978-10-01,5,22.316,NYG,@,ATL,L 20-23
6,1978,1978-10-08,6,22.323,NYG,@,DAL,L 3-24
7,1978,1978-10-15,7,22.330,NYG,,TAM,W 17-14
8,1978,1978-10-22,8,22.337,NYG,,WAS,W 17-6
9,1978,1978-10-29,9,22.344,NYG,@,NOR,L 17-28
10,1978,1978-11-05,10,22.351,NYG,@,STL,L 10-20
11,1978,1978-11-12,11,22.358,NYG,@,WAS,L 13-16
12,1978,1978-11-19,12,23.000,NYG,,PHI,L 17-19
13,1978,1978-11-26,13,23.007,NYG,@,BUF,L 17-41
14,1978,1978-12-03,14,23.014,NYG,,RAM,L 17-20
15,1978,1978-12-10,15,23.021,NYG,,STL,W 17-0
16,1978,1978-12-17,16,23.028,NYG,@,PHI,L 3-20
17,1979,1979-12-16,16,24.027,BAL,@,NYG,W 31-7
18,1980,1980-09-07,1,24.293,BAL,@,NYJ,W 17-14
19,1980,1980-09-14,2,24.300,BAL,,PIT,L 17-20
20,1980,1980-09-28,4,24.314,SFO,,ATL,L 17-20
21,1980,1980-10-05,5,24.321,SFO,@,RAM,L 26-48
