ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1965,1965-12-12,13,23.300,PHI,@,PIT,W 47-13,0,0,,0,1,6,3,84,1
2,1966,1966-09-11,1,24.208,PHI,@,STL,L 13-16,0,0,,0,0,0,1,23,0
3,1966,1966-11-20,11,24.278,PHI,@,SFO,W 35-34,0,0,,0,1,6,1,34,1
4,1966,1966-12-11,13,24.299,PHI,,CLE,W 33-21,0,0,,0,0,0,1,0,0
5,1967,1967-10-01,3,25.228,PHI,,PIT,W 34-24,0,0,,0,0,0,1,18,0
6,1967,1967-10-08,4,25.235,PHI,@,ATL,W 38-7,0,0,,0,0,0,1,0,0
7,1967,1967-11-12,9,25.270,PHI,@,RAM,L 17-33,0,0,,0,0,0,1,0,0
8,1967,1967-12-17,14,25.305,PHI,,CLE,W 28-24,0,0,,0,0,0,1,34,0
9,1969,1969-11-30,11,27.288,RAM,@,WAS,W 24-13,0,0,,0,0,0,1,25,0
10,1969,1969-12-21,14,27.309,RAM,,BAL,L 7-13,0,0,,0,0,0,1,12,0
11,1970,1970-09-18,1,28.215,RAM,,STL,W 34-13,,,,,,,,,
12,1970,1970-09-27,2,28.224,RAM,@,BUF,W 19-0,,,,,,,,,
13,1970,1970-10-04,3,28.231,RAM,,SDG,W 37-10,,,,,,,,,
14,1970,1970-10-11,4,28.238,RAM,,SFO,L 6-20,,,,,,,,,
15,1970,1970-10-18,5,28.245,RAM,@,GNB,W 31-21,,,,,,,,,
16,1970,1970-10-26,6,28.253,RAM,@,MIN,L 3-13,,,,,,,,,
17,1970,1970-11-01,7,28.259,RAM,@,NOR,W 30-17,0,0,,0,0,0,1,32,0
18,1970,1970-11-08,8,28.266,RAM,,ATL,T 10-10,,,,,,,,,
19,1970,1970-11-15,9,28.273,RAM,,NYJ,L 20-31,2,4,2.00,0,0,0,0,0,0
20,1970,1970-11-22,10,28.280,RAM,@,ATL,W 17-7,,,,,,,,,
21,1970,1970-11-29,11,28.287,RAM,@,SFO,W 30-13,0,0,,0,0,0,2,22,0
22,1970,1970-12-06,12,28.294,RAM,,NOR,W 34-16,,,,,,,,,
23,1970,1970-12-14,13,28.302,RAM,,DET,L 23-28,,,,,,,,,
24,1970,1970-12-20,14,28.308,RAM,@,NYG,W 31-3,,,,,,,,,
25,1971,1971-09-19,1,29.216,RAM,@,NOR,L 20-24,0,0,,0,0,0,1,24,0
26,1971,1971-09-26,2,29.223,RAM,,ATL,T 20-20,,,,,,,,,
27,1971,1971-10-03,3,29.230,RAM,,CHI,W 17-3,0,0,,0,0,0,1,0,0
28,1971,1971-10-10,4,29.237,RAM,@,SFO,W 20-13,,,,,,,,,
29,1971,1971-10-17,5,29.244,RAM,@,ATL,W 24-16,,,,,,,,,
30,1971,1971-10-24,6,29.251,RAM,,GNB,W 30-13,,,,,,,,,
31,1971,1971-10-31,7,29.258,RAM,,MIA,L 14-20,,,,,,,,,
32,1971,1971-11-08,8,29.266,RAM,@,BAL,L 17-24,,,,,,,,,
33,1971,1971-11-14,9,29.272,RAM,@,DET,W 21-13,,,,,,,,,
34,1971,1971-11-21,10,29.279,RAM,,SFO,W 17-6,0,0,,0,1,6,1,29,1
35,1971,1971-11-25,11,29.283,RAM,@,DAL,L 21-28,,,,,,,,,
36,1971,1971-12-05,12,29.293,RAM,,NOR,W 45-28,0,0,,0,0,0,1,0,0
37,1971,1971-12-13,13,29.301,RAM,,WAS,L 24-38,,,,,,,,,
38,1971,1971-12-19,14,29.307,RAM,@,PIT,W 23-14,0,0,,0,0,0,1,44,0
39,1972,1972-09-17,1,30.215,RAM,,NOR,W 34-14,0,0,,0,0,0,1,31,0
40,1972,1972-09-24,2,30.222,RAM,@,CHI,T 13-13,,,,,,,,,
41,1972,1972-10-01,3,30.229,RAM,@,ATL,L 3-31,0,0,,0,0,0,1,19,0
42,1972,1972-10-08,4,30.236,RAM,,SFO,W 31-7,,,,,,,,,
43,1972,1972-10-15,5,30.243,RAM,@,PHI,W 34-3,0,0,,0,0,0,1,26,0
44,1972,1972-10-22,6,30.250,RAM,,CIN,W 15-12,,,,,,,,,
45,1972,1972-10-29,7,30.257,RAM,@,OAK,L 17-45,,,,,,,,,
46,1972,1972-11-05,8,30.264,RAM,,ATL,W 20-7,,,,,,,,,
47,1972,1972-11-12,9,30.271,RAM,,DEN,L 10-16,,,,,,,,,
48,1972,1972-11-19,10,30.278,RAM,,MIN,L 41-45,,,,,,,,,
49,1972,1972-11-26,11,30.285,RAM,@,NOR,L 16-19,,,,,,,,,
50,1972,1972-12-04,12,30.293,RAM,@,SFO,W 26-16,0,0,,0,0,0,2,49,0
51,1972,1972-12-10,13,30.299,RAM,@,STL,L 14-24,,,,,,,,,
52,1972,1972-12-17,14,30.306,RAM,,DET,L 17-34,0,0,,0,0,0,1,43,0
