ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1969,1969-10-12,4,22.203,SFO,,RAM,L 21-27,1,0,0.00,0,0,0,0
2,1970,1970-09-20,1,23.181,SFO,,WAS,W 26-17,,,,,,,
3,1970,1970-09-27,2,23.188,SFO,,CLE,W 34-31,,,,,,,
4,1970,1970-10-04,3,23.195,SFO,@,ATL,L 20-21,,,,,,,
5,1970,1970-10-11,4,23.202,SFO,@,RAM,W 20-6,,,,,,,
6,1970,1970-10-18,5,23.209,SFO,,NOR,T 20-20,,,,,,,
7,1970,1970-10-25,6,23.216,SFO,,DEN,W 19-14,,,,,,,
8,1970,1970-11-01,7,23.223,SFO,,GNB,W 26-10,,,,,,,
9,1970,1970-11-08,8,23.230,SFO,@,CHI,W 37-16,,,,,,,
10,1970,1970-11-15,9,23.237,SFO,@,HOU,W 30-20,,,,,,,
11,1970,1970-11-22,10,23.244,SFO,@,DET,L 7-28,,,,,,,
12,1970,1970-11-29,11,23.251,SFO,,RAM,L 13-30,,,,,,,
13,1970,1970-12-06,12,23.258,SFO,,ATL,W 24-20,,,,,,,
14,1970,1970-12-13,13,23.265,SFO,@,NOR,W 38-27,,,,,,,
15,1970,1970-12-20,14,23.272,SFO,@,OAK,W 38-7,,,,,,,
16,1971,1971-09-19,1,24.180,SFO,@,ATL,L 17-20,,,,,,,
17,1971,1971-09-26,2,24.187,SFO,@,NOR,W 38-20,,,,,,,
18,1971,1971-10-03,3,24.194,SFO,@,PHI,W 31-3,,,,,,,
19,1971,1971-10-10,4,24.201,SFO,,RAM,L 13-20,,,,,,,
20,1971,1971-10-17,5,24.208,SFO,,CHI,W 13-0,,,,,,,
21,1971,1971-10-24,6,24.215,SFO,@,STL,W 26-14,,,,,,,
22,1971,1971-10-31,7,24.222,SFO,,NWE,W 27-10,,,,,,,
23,1971,1971-11-07,8,24.229,SFO,@,MIN,W 13-9,,,,,,,
24,1971,1971-11-14,9,24.236,SFO,,NOR,L 20-26,,,,,,,
25,1971,1971-11-21,10,24.243,SFO,@,RAM,L 6-17,,,,,,,
26,1971,1971-11-28,11,24.250,SFO,@,NYJ,W 24-21,,,,,,,
27,1971,1971-12-06,12,24.258,SFO,,KAN,L 17-26,,,,,,,
28,1971,1971-12-12,13,24.264,SFO,,ATL,W 24-3,,,,,,,
29,1971,1971-12-19,14,24.271,SFO,,DET,W 31-27,,,,,,,
30,1972,1972-09-17,1,25.178,SFO,,SDG,W 34-3,,,,,,,
31,1972,1972-09-24,2,25.185,SFO,@,BUF,L 20-27,,,,,,,
32,1973,1973-09-16,1,26.177,SFO,@,MIA,L 13-21,,,,,,,
33,1973,1973-09-23,2,26.184,SFO,@,DEN,W 36-34,,,,,,,
34,1973,1973-09-30,3,26.191,SFO,,RAM,L 20-40,,,,,,,
35,1973,1973-10-07,4,26.198,SFO,@,ATL,W 13-9,1,0,0.00,0,0,0,0
36,1973,1973-10-14,5,26.205,SFO,,MIN,L 13-17,,,,,,,
37,1973,1973-10-21,6,26.212,SFO,,NOR,W 40-0,,,,,,,
38,1973,1973-10-28,7,26.219,SFO,,ATL,L 3-17,,,,,,,
39,1973,1973-11-04,8,26.226,SFO,@,DET,L 20-30,0,0,,0,1,11,0
40,1973,1973-11-11,9,26.233,SFO,@,WAS,L 9-33,,,,,,,
41,1973,1973-11-18,10,26.240,SFO,@,RAM,L 13-31,,,,,,,
42,1973,1973-11-26,11,26.248,SFO,,GNB,W 20-6,,,,,,,
43,1973,1973-12-02,12,26.254,SFO,,PHI,W 38-28,,,,,,,
44,1973,1973-12-09,13,26.261,SFO,@,NOR,L 10-16,,,,,,,
45,1973,1973-12-15,14,26.267,SFO,,PIT,L 14-37,,,,,,,
