ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1964,1964-09-12,1,23.168,NYJ,,DEN,W 30-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,3,3,100.0,0,12
2,1964,1964-09-27,2,23.183,NYJ,@,BOS,L 10-26,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
3,1964,1964-10-03,3,23.189,NYJ,,SDG,T 17-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,4,25.0,0,5
4,1964,1964-10-10,4,23.196,NYJ,,OAK,W 35-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,,2,0.0,0,5
5,1964,1964-10-17,5,23.203,NYJ,,HOU,W 24-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6
6,1964,1964-10-24,6,23.210,NYJ,@,BUF,L 24-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6
7,1964,1964-10-31,7,23.217,NYJ,,BOS,W 35-14,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,5,5,100.0,,,,0,5
8,1964,1964-11-08,8,23.225,NYJ,,BUF,L 7-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,0,1
9,1964,1964-11-15,9,23.232,NYJ,@,DEN,L 16-20,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
10,1964,1964-11-22,10,23.239,NYJ,@,OAK,L 26-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,4,50.0,0,8
11,1964,1964-11-29,11,23.246,NYJ,,KAN,W 27-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,2,2,100.0,0,9
12,1964,1964-12-06,12,23.253,NYJ,@,SDG,L 3-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,1,1,100.0,0,3
13,1964,1964-12-13,13,23.260,NYJ,@,HOU,L 17-33,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5
14,1964,1964-12-20,14,23.267,NYJ,@,KAN,L 7-24,,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,1,1,100.0,,3,0.0,0,1
15,1965,1965-09-12,1,24.168,NYJ,@,HOU,L 21-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,2,0.0,0,3
16,1965,1965-09-18,2,24.174,NYJ,,KAN,L 10-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,4,25.0,0,4
17,1965,1965-09-26,3,24.182,NYJ,@,BUF,L 21-33,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
18,1965,1965-10-03,4,24.189,NYJ,@,DEN,L 13-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
19,1965,1965-10-16,5,24.202,NYJ,,OAK,T 24-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6
20,1965,1965-10-23,6,24.209,NYJ,,SDG,L 9-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,3,5,60.0,0,9
21,1965,1965-10-31,7,24.217,NYJ,,DEN,W 45-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,6,6,100.0,1,3,33.3,0,9
22,1965,1965-11-07,8,24.224,NYJ,@,KAN,W 13-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
23,1965,1965-11-14,9,24.231,NYJ,@,BOS,W 30-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,3,3,100.0,0,12
24,1965,1965-11-21,10,24.238,NYJ,,HOU,W 41-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,2,2,100.0,0,11
25,1965,1965-11-28,11,24.245,NYJ,,BOS,L 23-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,4,75.0,0,11
26,1965,1965-12-04,12,24.251,NYJ,@,SDG,L 7-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,2,0.0,0,1
27,1965,1965-12-12,13,24.259,NYJ,@,OAK,L 14-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
28,1965,1965-12-19,14,24.266,NYJ,,BUF,W 14-12,,0,0,,0,0,,,,,,,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
29,1966,1966-09-09,1,25.165,NYJ,@,MIA,W 19-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5
30,1966,1966-09-18,2,25.174,NYJ,,HOU,W 52-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,7,7,100.0,1,1,100.0,0,10
31,1966,1966-09-25,3,25.181,NYJ,@,DEN,W 16-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,3,6,50.0,0,10
32,1966,1966-10-02,4,25.188,NYJ,@,BOS,T 24-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,4,25.0,0,6
33,1966,1966-10-08,5,25.194,NYJ,,SDG,W 17-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,1,100.0,0,5
34,1966,1966-10-16,6,25.202,NYJ,@,HOU,L 0-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,2,0.0,0,0
35,1966,1966-10-23,7,25.209,NYJ,,OAK,L 21-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,2,0.0,0,3
36,1966,1966-10-30,8,25.216,NYJ,,BUF,L 23-33,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5
37,1966,1966-11-13,9,25.230,NYJ,@,BUF,L 3-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,1,3,33.3,0,3
38,1966,1966-11-20,10,25.237,NYJ,,MIA,W 30-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,3,5,60.0,0,12
39,1966,1966-11-27,11,25.244,NYJ,,KAN,L 24-32,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6
